method,metric,value,ci_low,ci_high,n,positive_rate
1d_cnn,roc_auc,0.9543390479748268,0.9460419064473151,0.9625195558582745,42370,0.25133349067736604
1d_cnn,average_precision,0.8329919044199215,0.7936023597035333,0.8705923047135622,42370,0.25133349067736604
1d_cnn,brier,0.11061692856786812,0.09448901543591527,0.12478336762822792,42370,0.25133349067736604
1d_cnn,ece,0.12892681922638838,0.11259893111423722,0.14598191503864338,42370,0.25133349067736604
amplitude_only_sentinel,roc_auc,0.5963231167988872,0.5553692516893243,0.6387636455748122,42370,0.25133349067736604
amplitude_only_sentinel,average_precision,0.32114391881000687,0.28233248236845393,0.36190127345889134,42370,0.25133349067736604
amplitude_only_sentinel,brier,0.1793930478315354,0.16883359990416436,0.1889001986553113,42370,0.25133349067736604
amplitude_only_sentinel,ece,0.08423491439588204,0.07164930766492568,0.09828884892305394,42370,0.25133349067736604
gradient_boosted_trees,roc_auc,0.9745795849868718,0.9681034341806966,0.9805061208348229,42370,0.25133349067736604
gradient_boosted_trees,average_precision,0.9211861618045283,0.8974606006677719,0.9413793262914243,42370,0.25133349067736604
gradient_boosted_trees,brier,0.09957816963349604,0.08595278624400872,0.11411174651257855,42370,0.25133349067736604
gradient_boosted_trees,ece,0.1206736545471689,0.1057568289797926,0.13738285634448646,42370,0.25133349067736604
mlp,roc_auc,0.9677786024471513,0.9586594569585324,0.9753696772961082,42370,0.25133349067736604
mlp,average_precision,0.9018864757286359,0.8736246324948096,0.9276678132003454,42370,0.25133349067736604
mlp,brier,0.09598633516131556,0.08361873365586507,0.10879982461599773,42370,0.25133349067736604
mlp,ece,0.12134999422502492,0.10797698062463691,0.13415672998491476,42370,0.25133349067736604
ridge_logistic,roc_auc,0.942923121804979,0.9311792906784118,0.9528739546543344,42370,0.25133349067736604
ridge_logistic,average_precision,0.8230759912713322,0.7830904290710862,0.8583737670837381,42370,0.25133349067736604
ridge_logistic,brier,0.10911440387379132,0.09579406932563526,0.1232529890001837,42370,0.25133349067736604
ridge_logistic,ece,0.1267364204495107,0.11255901172116414,0.1413524648434326,42370,0.25133349067736604
run_only_sentinel,roc_auc,0.5,0.5,0.5,42370,0.25133349067736604
run_only_sentinel,average_precision,0.24335863468654526,0.2199533918917753,0.26627951939444905,42370,0.25133349067736604
run_only_sentinel,brier,0.18947444528673618,0.17958924045846264,0.1992506345764987,42370,0.25133349067736604
run_only_sentinel,ece,0.08256308510029764,0.06479740151364675,0.10242089278742512,42370,0.25133349067736604
shape_gated_cnn,roc_auc,0.9643016657875726,0.9554137683027025,0.9716304104195862,42370,0.25133349067736604
shape_gated_cnn,average_precision,0.8847649605811919,0.8451870211515919,0.9137227463648561,42370,0.25133349067736604
shape_gated_cnn,brier,0.10444159927120288,0.09174904612114573,0.1189619705620004,42370,0.25133349067736604
shape_gated_cnn,ece,0.12826445694774025,0.11271012401880942,0.143081462992887,42370,0.25133349067736604
shuffled_label_sentinel,roc_auc,0.4645213157176898,0.43260895863085447,0.49160031459462383,42370,0.25133349067736604
shuffled_label_sentinel,average_precision,0.2924457948146486,0.26168582624156955,0.3244136925927976,42370,0.25133349067736604
shuffled_label_sentinel,brier,0.19221163450020534,0.1824905170366341,0.20252971383241244,42370,0.25133349067736604
shuffled_label_sentinel,ece,0.1117159257351985,0.09279654656990786,0.13248533802144577,42370,0.25133349067736604
topology_only_sentinel,roc_auc,0.6344999682853064,0.5943146063964727,0.6767770560764147,42370,0.25133349067736604
topology_only_sentinel,average_precision,0.3336744744597004,0.29739694326700994,0.37792694664017223,42370,0.25133349067736604
topology_only_sentinel,brier,0.17399977776849027,0.16349041957768978,0.1837972669045354,42370,0.25133349067736604
topology_only_sentinel,ece,0.08117157216834131,0.06817193584684006,0.09374031150691961,42370,0.25133349067736604
traditional_atom_score,roc_auc,0.8248183340734783,0.8008588458420953,0.8524526590651058,42370,0.25133349067736604
traditional_atom_score,average_precision,0.5441843193422519,0.47321176330656667,0.6085778377491812,42370,0.25133349067736604
traditional_atom_score,brier,0.1574030314139843,0.1366037561937497,0.17766780677173466,42370,0.25133349067736604
traditional_atom_score,ece,0.15379999315365855,0.13696527777528472,0.17244364413565935,42370,0.25133349067736604
