method,metric,delta,ci_low,ci_high
ridge_logistic,average_precision,0.2788916719290802,0.21767751008096387,0.3350056364107302
ridge_logistic,roc_auc,0.11810478773150074,0.09401225152265985,0.14010984073974647
ridge_logistic,brier,-0.04828862754019299,-0.060472589226115224,-0.03602758328033258
ridge_logistic,ece,-0.027063572704147817,-0.03874537096852559,-0.01713347426037657
gradient_boosted_trees,average_precision,0.37700184246227636,0.3087885407065654,0.44480039733807225
gradient_boosted_trees,roc_auc,0.14976125091339365,0.12179700056853487,0.175071808886567
gradient_boosted_trees,brier,-0.05782486178048827,-0.07051371798462622,-0.04302343303709535
gradient_boosted_trees,ece,-0.03312633860648962,-0.04419695571206264,-0.02130666430737527
mlp,average_precision,0.35770215638638375,0.2828203170256836,0.4211832791922402
mlp,roc_auc,0.14296026837367298,0.1169073364796806,0.17092222082708317
mlp,brier,-0.06141669625266871,-0.07730053860614179,-0.04371135235101203
mlp,ece,-0.032449998928633615,-0.04909645574265761,-0.016643019372212305
1d_cnn,average_precision,0.28880758507766957,0.21397778094321604,0.3496974246661524
1d_cnn,roc_auc,0.12952071390134862,0.10598678155526578,0.1520495113162377
1d_cnn,brier,-0.04678610284611617,-0.05758318680584995,-0.034871361693207314
1d_cnn,ece,-0.024873173927270155,-0.034812432888547955,-0.014730583520856332
shape_gated_cnn,average_precision,0.3405806412389398,0.2712976075974319,0.4050399603837243
shape_gated_cnn,roc_auc,0.13948333171409438,0.11198589772807009,0.16290054084137948
shape_gated_cnn,brier,-0.052961432142781435,-0.06525239100430054,-0.03971045883384891
shape_gated_cnn,ece,-0.025535536205918283,-0.03778273818611175,-0.013372679421001427
