method,target,metric,value,ci_low,ci_high,folds,min_fold,max_fold,benchmark_role
ML P01b train-only AE embedding,manual_flag,adjusted_mutual_info,0.445835266358052,0.4043554258826882,0.4842956967095186,33,0.1427328161115061,0.6878941206398085,claim
ML P01b train-only AE embedding,manual_flag,purity,0.8691395421010153,0.8487184539838308,0.8867471318371749,33,0.7427997320830543,0.961038961038961,claim
ML P01b train-only AE embedding,peak_group,adjusted_mutual_info,0.2831678379650219,0.2529725891414411,0.3145583159503781,33,0.0715885479297089,0.5695767098241076,claim
ML P01b train-only AE embedding,peak_group,purity,0.6969733868041085,0.6750907946279608,0.7202945368296023,33,0.5365036838580041,0.8205555555555556,claim
forbidden all-data release-style embedding,manual_flag,adjusted_mutual_info,0.472689750731469,0.4494427518223561,0.4939589800999295,33,0.2653136193090456,0.5607620657683687,forbidden_release_diagnostic
forbidden all-data release-style embedding,manual_flag,purity,0.9458173842780492,0.9423461439509452,0.9497097697801586,33,0.9245283018867924,0.967503692762186,forbidden_release_diagnostic
forbidden all-data release-style embedding,peak_group,adjusted_mutual_info,0.5020217680130424,0.4844340085562995,0.5169942582954229,33,0.3496166661755793,0.5799637710753852,forbidden_release_diagnostic
forbidden all-data release-style embedding,peak_group,purity,0.8434590997220668,0.8322709003837269,0.8553951138692244,33,0.7575757575757576,0.9091608929946112,forbidden_release_diagnostic
traditional hand+PCA morphology,manual_flag,adjusted_mutual_info,0.5148756298601633,0.497813853537004,0.5314640041253212,33,0.381963352750873,0.5935375171737298,claim
traditional hand+PCA morphology,manual_flag,purity,0.943100132267277,0.9384966443505292,0.9484320637471252,33,0.916289592760181,0.9783549783549784,claim
traditional hand+PCA morphology,peak_group,adjusted_mutual_info,0.4749195659621112,0.4542611508278383,0.4939157169191717,33,0.272179158769995,0.5620913497882403,claim
traditional hand+PCA morphology,peak_group,purity,0.8387445269951226,0.8254474812672431,0.8508353052554669,33,0.7402597402597403,0.9091608929946112,claim
