method,winner_score,q_template_mse,timing_sigma68_ns,abs_timing_bias_ns
gradient_boosted_trees,0.006347202124646133,0.006333968111269185,0.10921403098373371,0.04625220557148551
mlp,0.00649314667921353,0.0064720139499603434,0.20222749575274468,0.018199593558244367
empirical_residual_boosted_fusion_new,0.007896080048369876,0.007883276206021078,0.10546604152814239,0.04514476391963562
1d_cnn,0.01727017339219374,0.017090343915673413,0.7566155934884603,2.083358343429624
ridge,0.022479161507781956,0.022413669395845152,0.4715829800140259,0.366676278708029
traditional_empirical_ampbin,0.08095096171197359,0.08094055287248997,0.09822487490439798,0.011727039863585661
