method,metric,value,ci_low,ci_high,n_runs,n_rows
1d_cnn,q_template_mse,0.017090343915673413,0.014876947193675443,0.019510029530267554,21,377362
1d_cnn,q_template_rmse,0.1288709383579058,0.11920070365256373,0.13786128227082817,21,377362
1d_cnn,timing_bias_ns,-2.083358343429624,-2.244275936320957,-1.9416905115795882,21,377362
1d_cnn,timing_sigma68_ns,0.7566155934884603,0.7014589276161882,0.8075851217169323,21,377362
empirical_residual_boosted_fusion_new,q_template_mse,0.007883276206021078,0.006702987760108251,0.009053476788906811,21,377362
empirical_residual_boosted_fusion_new,q_template_rmse,0.08739797243867568,0.08084391299991495,0.09433628414206711,21,377362
empirical_residual_boosted_fusion_new,timing_bias_ns,-0.04514476391963562,-0.04663247141191513,-0.043682043694141005,21,377362
empirical_residual_boosted_fusion_new,timing_sigma68_ns,0.10546604152814239,0.10219896948735935,0.10897512539339653,21,377362
gradient_boosted_trees,q_template_mse,0.006333968111269185,0.0053321511259153695,0.00726212694974722,21,377362
gradient_boosted_trees,q_template_rmse,0.07816318068366176,0.07198913567122783,0.08417422841746115,21,377362
gradient_boosted_trees,timing_bias_ns,-0.04625220557148551,-0.05322931052248272,-0.03917906027704727,21,377362
gradient_boosted_trees,timing_sigma68_ns,0.10921403098373371,0.1049334946272772,0.11386040411929628,21,377362
mlp,q_template_mse,0.0064720139499603434,0.0054110316767413975,0.007437353064588244,21,377362
mlp,q_template_rmse,0.07905392844948891,0.07220947721821883,0.08522262881134592,21,377362
mlp,timing_bias_ns,0.018199593558244367,0.0013413159996696058,0.03640598012232513,21,377362
mlp,timing_sigma68_ns,0.20222749575274468,0.1748992849719556,0.23109659153993314,21,377362
ridge,q_template_mse,0.022413669395845152,0.019375143837562874,0.02566392631496752,21,377362
ridge,q_template_rmse,0.14750945289076434,0.13767059208114277,0.15873999614873985,21,377362
ridge,timing_bias_ns,-0.366676278708029,-0.4172694134552411,-0.31530711286082297,21,377362
ridge,timing_sigma68_ns,0.4715829800140259,0.4424642261402009,0.4987501350072348,21,377362
traditional_empirical_ampbin,q_template_mse,0.08094055287248997,0.06725333995632705,0.09465700328732671,21,377362
traditional_empirical_ampbin,q_template_rmse,0.2786679386496137,0.2529191331941501,0.3016578441468623,21,377362
traditional_empirical_ampbin,timing_bias_ns,-0.011727039863585661,-0.015011151855183789,-0.00886541607855453,21,377362
traditional_empirical_ampbin,timing_sigma68_ns,0.09822487490439798,0.09622782385031103,0.10009776526131427,21,377362
