source,path,rows_loaded,rows_before_merge,rows_after_merge,available,note
S14g,/home/billy/.tb-workers/testbeam-laptop-2/reports/1781051226.621.082271da__s14g_veto_ladder_energy_acceptance/selector_oof.csv.gz,0,31462,31462,False,
P07j,/home/billy/.tb-workers/testbeam-laptop-2/reports/1781052602.655.4be6114e__p07j_saturation_knee_family_action_bands/predictions.csv.gz,177508,31462,31462,True,
P04s,generated_from_raw_waveform_features,31462,31462,31462,True,No tracked P04s artifact exists in this checkout; P08d reconstructs a transparent leave-one-run-held-out dropout-phase proxy from B2 waveform shape quantiles.
