task,description,class_names,train_runs,heldout_runs,train_rows,heldout_rows,train_class_counts,heldout_class_counts,pca_reconstruction_mse,ae_reconstruction_mse,ae_final_training_loss,ae_device
adjacent_run_pair_side,"Classify the later run versus the earlier run inside adjacent available-run pairs; held out pairs include within-Sample-I, boundary, and within-Sample-II checks.","{0: 'earlier_run_in_pair', 1: 'later_run_in_pair'}","[31, 32, 33, 34, 37, 39, 40, 41, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 59, 60, 61, 62]","[35, 36, 42, 44, 57, 58, 63, 64]",69186,22160,"{'earlier_run_in_pair': 35538, 'later_run_in_pair': 33648}","{'earlier_run_in_pair': 11938, 'later_run_in_pair': 10222}",0.005221629049628973,0.028624366968870163,0.031213371850111905,cpu
sample_i_local_transition,"Within Sample I only, classify local calibration-era runs 31-42 versus analysis-era runs 44-57.","{0: 'sample_i_calib_era', 1: 'sample_i_analysis_era'}","[31, 32, 33, 34, 35, 36, 37, 39, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]","[40, 41, 42, 55, 56, 57]",42802,15580,"{'sample_i_calib_era': 19412, 'sample_i_analysis_era': 23390}","{'sample_i_calib_era': 7951, 'sample_i_analysis_era': 7629}",0.006519049406051636,0.055981460958719254,0.05421565371480855,cpu
sample_ii_adjacent_era,"Within Sample II only, classify early runs 58-61 versus later neighboring runs 62-65.","{0: 'sample_ii_early', 1: 'sample_ii_late'}","[58, 59, 62, 63]","[60, 61, 64, 65]",17944,17790,"{'sample_ii_early': 7909, 'sample_ii_late': 10035}","{'sample_ii_early': 10986, 'sample_ii_late': 6804}",0.0035083754919469357,0.04706448316574097,0.05056931152939796,cpu
