method,n,pred_mean_ns,target_mean_ns
s03b_binned_timewalk,93,-2.5744829469723673,-2.6237708006792895
s03b_binned_timewalk,39,1.5532462043039317,2.123759024816747
s03b_binned_timewalk,9,2.6391527650806115,2.0280416539695016
s03b_binned_timewalk,57,2.639152765080613,2.507573817712192
ml_ridge_on_template_phase,29,-4.354802498574984,-4.744123107315584
ml_ridge_on_template_phase,28,-3.865810520514161,-4.165613255098828
ml_ridge_on_template_phase,28,-0.13963036114483168,0.12607454133263854
ml_ridge_on_template_phase,28,1.7428259784128142,2.169869038756077
ml_ridge_on_template_phase,28,2.183035337879034,1.986264239033463
ml_ridge_on_template_phase,28,2.5069392731380513,2.141118044775483
ml_ridge_on_template_phase,29,3.067025981876034,2.564262657440842
