run,depth_idx,negative_rows,positive_rows,matched_pairs,median_distance,p90_distance
31,0,6588,6588,24,0.6226584460385716,0.7635215992967431
31,1,94,94,3,0.6417610190847158,0.7171400769171046
31,2,34,34,0,,
31,3,18,18,0,,
32,0,6680,6680,28,0.546110748327466,0.6789004351173302
32,1,99,99,4,0.6393353141483071,0.7289578784628046
32,2,31,31,0,,
32,3,18,18,0,,
33,0,11789,11789,15,0.7491868589900418,0.7905175622857397
33,1,83,83,2,0.7269106260965839,0.7758785531685823
33,2,37,37,2,0.7561592019978927,0.7638521021215069
33,3,24,24,0,,
34,0,8240,8240,10,0.7404246613819789,0.7817114774138707
34,1,58,58,3,0.5372742307624698,0.5465036614244191
34,2,29,29,0,,
34,3,18,18,1,0.4492853668806234,0.4492853668806234
35,0,2664,2664,28,0.5675985460869292,0.703079721930971
35,1,59,59,1,0.7865225224285852,0.7865225224285852
35,2,22,22,1,0.7880666212652548,0.7880666212652548
35,3,12,12,1,0.6768003972989349,0.6768003972989349
36,0,2380,2380,14,0.595548708562128,0.7792743770443135
36,1,49,49,2,0.6004768025316268,0.6898704421914784
36,2,23,23,0,,
37,0,5491,5491,33,0.5318763723519324,0.7487548400149089
37,1,151,151,5,0.6708891963940012,0.7552331137575388
37,2,62,62,0,,
37,3,30,30,0,,
39,0,3138,3138,24,0.5499218810660037,0.7526197080318887
39,1,97,97,3,0.5916772392055809,0.6690129478155425
39,2,37,37,0,,
39,3,19,19,0,,
40,0,3232,3232,29,0.5839800176249761,0.6564203296177187
40,1,100,100,1,0.6945092675306516,0.6945092675306516
40,2,42,42,2,0.6990865364851118,0.7132766481433965
40,3,20,20,0,,
41,0,3560,3560,28,0.5881794798086214,0.7637671906379001
41,1,116,116,3,0.7043215674448294,0.7618234604520462
41,2,42,42,1,0.6873942705967481,0.6873942705967481
41,3,22,22,0,,
42,0,4072,4072,27,0.6728671891193779,0.7822505562180762
42,1,106,106,1,0.7136726715066778,0.7136726715066778
42,2,43,43,1,0.7503420668707589,0.7503420668707589
42,3,22,22,0,,
44,0,449,449,10,0.5910316601600434,0.7166577761980938
44,1,13,13,0,,
45,0,5463,5463,27,0.5966414222915951,0.728295749777534
45,1,148,148,0,,
45,2,53,53,0,,
45,3,30,30,0,,
46,0,167,167,1,0.7084421748594918,0.7084421748594918
47,0,1259,1259,9,0.7488555879707414,0.7869032453274847
47,1,12,12,0,,
48,0,3117,3117,29,0.5775882422763176,0.7306051927189194
48,1,91,91,1,0.7190232606203221,0.7190232606203221
48,2,36,36,0,,
48,3,17,17,0,,
49,0,3288,3288,28,0.5225985513802626,0.7363483360195686
49,1,94,94,0,,
49,2,41,41,0,,
49,3,19,19,0,,
50,0,8351,8351,28,0.5433605974930562,0.7024060406314107
50,1,101,101,1,0.672974848569636,0.672974848569636
50,2,45,45,2,0.7449279875829737,0.7500237344913049
50,3,26,26,2,0.6009602825290412,0.6170148185354276
51,0,3474,3474,20,0.5652787335243328,0.7316166658227485
51,1,44,44,1,0.7929319970869969,0.7929319970869969
51,2,21,21,0,,
51,3,12,12,0,,
52,0,1687,1687,13,0.6738735115093366,0.7579958317553254
52,1,22,22,0,,
53,0,7664,7664,19,0.5612490848914592,0.6580185771082272
53,1,84,84,4,0.5918430997803446,0.716737334624807
53,2,37,37,0,,
53,3,22,22,1,0.7760951326085639,0.7760951326085639
54,0,7238,7238,13,0.6385867974828456,0.7255481892120134
54,1,79,79,1,0.49935943223648693,0.49935943223648693
54,2,38,38,1,0.6353096564790833,0.6353096564790833
54,3,20,20,0,,
55,0,4090,4090,26,0.48722819443020093,0.6997948215407247
55,1,55,55,3,0.6567087202155812,0.7221247600119551
