support_island,n_rows,n_runs,negative_rows,positive_rows,eligible_for_promotion_test,promoted,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,purity_at_fixed_efficiency,purity_at_fixed_efficiency_ci_low,purity_at_fixed_efficiency_ci_high,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,traditional_auc,traditional_auc_ci_low,traditional_auc_ci_high,nuisance_auc,nuisance_auc_ci_low,nuisance_auc_ci_high,shuffled_auc,shuffled_auc_ci_low,shuffled_auc_ci_high,waveform_minus_traditional_auc_lift,waveform_minus_traditional_auc_lift_ci_low,waveform_minus_traditional_auc_lift_ci_high,bootstrap_valid
sample_i_calib|d1|topo1|sat0|q2_of_3,3,3,3,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d1|topo1|sat1|q2_of_3,3,2,2,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d1|topo1|sat0|q3_of_3,2,2,0,2,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d3|topo7|sat1|q2_of_3,2,1,1,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d1|topo1|sat0|q1_of_3,2,2,2,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d1|topo1|sat1|q1_of_3,2,2,2,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d0|topo0|sat1|q1_of_3,2,1,2,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d0|topo0|sat1|q2_of_3,2,2,1,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_calib|d1|topo1|sat0|q1_of_3,2,1,2,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_calib|d1|topo1|sat0|q3_of_3,2,1,0,2,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d1|topo1|sat0|q1_of_3,1,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d1|topo1|sat0|q2_of_3,1,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d3|topo7|sat0|q1_of_3,1,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d3|topo7|sat0|q3_of_3,1,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d2|topo3|sat0|q2_of_3,1,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d2|topo3|sat0|q3_of_3,1,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d3|topo7|sat1|q2_of_3,1,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d3|topo7|sat1|q3_of_3,1,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_calib|d2|topo3|sat0|q2_of_3,1,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_calib|d2|topo3|sat0|q3_of_3,1,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
