heldout_run,status,train_negative,train_positive,test_negative,test_positive
31,evaluated,496,496,18,18
32,evaluated,499,499,15,15
33,evaluated,510,510,4,4
34,evaluated,508,508,6,6
35,evaluated,498,498,16,16
36,evaluated,504,504,10,10
37,evaluated,493,493,21,21
39,evaluated,501,501,13,13
40,evaluated,493,493,21,21
41,evaluated,501,501,13,13
42,evaluated,503,503,11,11
44,evaluated,509,509,5,5
45,evaluated,498,498,16,16
47,skipped,512,512,2,2
48,evaluated,497,497,17,17
49,evaluated,495,495,19,19
50,evaluated,492,492,22,22
51,evaluated,501,501,13,13
52,evaluated,508,508,6,6
53,evaluated,503,503,11,11
54,evaluated,506,506,8,8
55,evaluated,496,496,18,18
56,evaluated,498,498,16,16
57,evaluated,494,494,20,20
59,evaluated,486,486,28,28
60,evaluated,469,469,45,45
61,evaluated,474,474,40,40
62,evaluated,485,485,29,29
63,evaluated,491,491,23,23
64,evaluated,499,499,15,15
65,evaluated,501,501,13,13
