stratum,level,n_rows,n_runs,negative_rows,positive_rows,roc_auc,average_precision,purity_at_fixed_efficiency,calibration_slope,traditional_auc,nuisance_auc,shuffled_auc,waveform_minus_traditional_auc_lift
saturation,0,556,22,278,278,0.9998964856891465,0.9998987103388097,1.0,0.0552902278003333,0.998770767558615,0.982324931421769,0.46573029346307127,0.0011257181305314168
saturation,1,468,25,234,234,0.9987216012857039,0.998867029141327,1.0,0.055090440197271565,0.9403353057199211,0.7815216597267879,0.3959383446562934,0.058386295565782786
q_template,q2_of_3,341,30,161,180,0.996031746031746,0.9969428504151764,1.0,0.05613889689777835,0.9283988957902002,0.8742926155969635,0.3252415458937198,0.06763285024154586
q_template,q3_of_3,342,30,10,332,1.0,1.0,1.0,0.05672340753741988,0.48132530120481926,0.28855421686746985,0.694578313253012,0.5186746987951807
run_family,sample_i_analysis,342,12,171,171,0.9983242707157758,0.9985425684837611,1.0,0.0548818357923314,0.9718545877363975,0.8343763893163707,0.2900721589548921,0.02646968297937824
run_family,sample_i_calib,296,11,148,148,0.9999086924762601,0.9999099099099099,1.0,0.0554849471255873,0.9607377647918188,0.8809349890430972,0.5488038714390066,0.0391709276844413
run_family,sample_ii_analysis,356,6,178,178,0.9998106299709633,0.9998168050806058,1.0,0.05526168152323396,0.9925198838530489,0.9804317636662038,0.46922737028153017,0.0072907461179143596
run_family,sample_ii_calib,30,1,15,15,1.0,1.0,1.0,0.055236316102511174,1.0,0.9822222222222223,0.42666666666666664,0.0
topology,0,794,30,397,397,0.9993655184665851,0.9994177784200797,1.0,0.05499177614563992,0.9768033551383486,0.8857235310166298,0.4115120329422812,0.022562163328236462
topology,1,130,19,65,65,0.9988165680473373,0.9989010989010988,1.0,0.05660453344018599,0.9876923076923078,0.9706508875739644,0.5291124260355029,0.011124260355029558
topology,3,48,8,24,24,1.0,1.0,1.0,0.05497560340480482,0.9913194444444444,0.9791666666666667,0.501736111111111,0.00868055555555558
topology,7,52,7,26,26,1.0,1.0,1.0,0.05529239662824472,1.0,0.9955621301775148,0.48520710059171596,0.0
depth,0,794,30,397,397,0.9993655184665851,0.9994177784200797,1.0,0.05499177614563992,0.9768033551383486,0.8857235310166298,0.4115120329422812,0.022562163328236462
depth,1,130,19,65,65,0.9988165680473373,0.9989010989010988,1.0,0.05660453344018599,0.9876923076923078,0.9706508875739644,0.5291124260355029,0.011124260355029558
depth,2,48,8,24,24,1.0,1.0,1.0,0.05497560340480482,0.9913194444444444,0.9791666666666667,0.501736111111111,0.00868055555555558
depth,3,52,7,26,26,1.0,1.0,1.0,0.05529239662824472,1.0,0.9955621301775148,0.48520710059171596,0.0
