run,depth_idx,negative_rows,positive_rows,matched_pairs,median_distance,p90_distance
31,0,6588,6588,1,0.308315905503036,0.308315905503036
31,1,94,94,0,,
31,2,34,34,0,,
31,3,18,18,0,,
32,0,6680,6680,3,0.2831939269553891,0.29520828730866905
32,1,99,99,0,,
32,2,31,31,0,,
32,3,18,18,0,,
33,0,11789,11789,2,0.25845299662161114,0.2606733806660934
33,1,83,83,0,,
33,2,37,37,0,,
33,3,24,24,0,,
34,0,8240,8240,3,0.3037098808431602,0.31402996011643874
34,1,58,58,0,,
34,2,29,29,0,,
34,3,18,18,0,,
35,0,2664,2664,7,0.27065915367874344,0.28800080570875475
35,1,59,59,0,,
35,2,22,22,0,,
35,3,12,12,0,,
36,0,2380,2380,4,0.28836219637635524,0.3100696590209164
36,1,49,49,0,,
36,2,23,23,0,,
37,0,5491,5491,7,0.3127156966119193,0.33076446671426646
37,1,151,151,0,,
37,2,62,62,0,,
37,3,30,30,0,,
39,0,3138,3138,9,0.269095053914461,0.3272725246556626
39,1,97,97,0,,
39,2,37,37,0,,
39,3,19,19,0,,
40,0,3232,3232,11,0.2399839004989801,0.2994013671285314
40,1,100,100,0,,
40,2,42,42,0,,
40,3,20,20,0,,
41,0,3560,3560,5,0.3245602194415583,0.34590999961939156
41,1,116,116,0,,
41,2,42,42,0,,
41,3,22,22,0,,
42,0,4072,4072,3,0.22011999503035878,0.3049695525629288
42,1,106,106,0,,
42,2,43,43,0,,
42,3,22,22,0,,
44,0,449,449,1,0.23951106117620793,0.23951106117620793
44,1,13,13,0,,
45,0,5463,5463,8,0.3107683724165323,0.3389681806872294
45,1,148,148,0,,
45,2,53,53,0,,
45,3,30,30,0,,
46,0,167,167,0,,
47,0,1259,1259,0,,
47,1,12,12,0,,
48,0,3117,3117,7,0.2673739208770299,0.33220321378635376
48,1,91,91,0,,
48,2,36,36,0,,
48,3,17,17,0,,
49,0,3288,3288,3,0.3019761422359272,0.3343892000220599
49,1,94,94,1,0.32329661473578686,0.32329661473578686
49,2,41,41,0,,
49,3,19,19,0,,
50,0,8351,8351,10,0.22664028843216782,0.32093642249217624
50,1,101,101,0,,
50,2,45,45,0,,
50,3,26,26,0,,
51,0,3474,3474,0,,
51,1,44,44,0,,
51,2,21,21,0,,
51,3,12,12,0,,
52,0,1687,1687,1,0.3470820915473584,0.3470820915473584
52,1,22,22,0,,
53,0,7664,7664,3,0.2720275209683004,0.2811423537084041
53,1,84,84,0,,
53,2,37,37,0,,
53,3,22,22,0,,
54,0,7238,7238,4,0.20561717585947653,0.30325446321679184
54,1,79,79,0,,
54,2,38,38,0,,
54,3,20,20,0,,
55,0,4090,4090,5,0.21903449949221435,0.3268019026058069
55,1,55,55,0,,
55,2,24,24,0,,
55,3,16,16,0,,
56,0,9469,9469,7,0.24224454942952514,0.3073573407826293
56,1,125,125,0,,
56,2,53,53,0,,
56,3,35,35,0,,
57,0,3038,3038,7,0.2946139973350781,0.32688646357004436
57,1,96,96,0,,
57,2,38,38,0,,
57,3,20,20,0,,
58,0,3803,3803,0,,
58,1,89,89,0,,
58,2,35,35,0,,
58,3,22,22,0,,
59,0,2260,2260,11,0.2701808649585956,0.3022508694442857
59,1,566,566,3,0.30543175558637825,0.32900260209486976
59,2,359,359,0,,
59,3,208,208,3,0.26327563940832677,0.3077350649353324
60,0,1468,1468,7,0.25411071146305597,0.31393046229993843
60,1,484,484,8,0.24848117469604808,0.3371800982857138
60,2,307,307,0,,
60,3,209,209,3,0.17807542485866756,0.2649363282361088
61,0,1663,1663,8,0.22906379602269483,0.2814541704874004
61,1,500,500,6,0.21150584220432544,0.3197061571571072
61,2,350,350,0,,
61,3,243,243,2,0.1375021369475829,0.140767563823783
62,0,1871,1871,6,0.17703492649744895,0.25324137335911967
62,1,489,489,3,0.301959198743794,0.3068141457277843
62,2,339,339,1,0.2459120457394109,0.2459120457394109
62,3,211,211,0,,
63,0,2994,2994,6,0.17576978886430827,0.18940661039600182
63,1,373,373,0,,
63,2,176,176,0,,
63,3,100,100,0,,
64,0,2560,2560,6,0.2701739328770457,0.31650533629600636
64,1,248,248,0,,
64,2,110,110,0,,
64,3,60,60,0,,
65,0,2742,2742,9,0.2719244255981023,0.3077634203399741
65,1,132,132,0,,
65,2,50,50,0,,
65,3,20,20,0,,
