run,depth_idx,negative_rows,positive_rows,matched_pairs,median_distance,p90_distance
31,0,6588,6588,18,0.4558201019826362,0.5294268233215134
31,1,94,94,0,,
31,2,34,34,0,,
31,3,18,18,0,,
32,0,6680,6680,14,0.46358862222301034,0.5232528595332299
32,1,99,99,1,0.5245343690606692,0.5245343690606692
32,2,31,31,0,,
32,3,18,18,0,,
33,0,11789,11789,2,0.40535289131930324,0.44610008815921615
33,1,83,83,1,0.5370072404803564,0.5370072404803564
33,2,37,37,1,0.5146625338038839,0.5146625338038839
33,3,24,24,0,,
34,0,8240,8240,3,0.49944247815826937,0.5353443439983953
34,1,58,58,2,0.5430426249261882,0.5476573402571627
34,2,29,29,0,,
34,3,18,18,1,0.4492853668806234,0.4492853668806234
35,0,2664,2664,16,0.4256713327343349,0.48947552419731577
35,1,59,59,0,,
35,2,22,22,0,,
35,3,12,12,0,,
36,0,2380,2380,9,0.3233500615716374,0.44234946770920586
36,1,49,49,1,0.4887347529568123,0.4887347529568123
36,2,23,23,0,,
37,0,5491,5491,19,0.4657088028490317,0.5281605642105396
37,1,151,151,2,0.39318676396443375,0.4977376689133116
37,2,62,62,0,,
37,3,30,30,0,,
39,0,3138,3138,13,0.38520791258282155,0.520054469417048
39,1,97,97,0,,
39,2,37,37,0,,
39,3,19,19,0,,
40,0,3232,3232,20,0.40044499174797965,0.5296967821254452
40,1,100,100,1,0.5349323026603784,0.5349323026603784
40,2,42,42,0,,
40,3,20,20,0,,
41,0,3560,3560,12,0.48749432987320207,0.5270851757146086
41,1,116,116,1,0.505626944080589,0.505626944080589
41,2,42,42,0,,
41,3,22,22,0,,
42,0,4072,4072,10,0.5146785280929782,0.5399662744805876
42,1,106,106,1,0.4685118332174334,0.4685118332174334
42,2,43,43,0,,
42,3,22,22,0,,
44,0,449,449,5,0.41474287199918397,0.46623482700514546
44,1,13,13,0,,
45,0,5463,5463,16,0.43346557539729214,0.5229392434072433
45,1,148,148,0,,
45,2,53,53,0,,
45,3,30,30,0,,
46,0,167,167,0,,
47,0,1259,1259,2,0.46871931753787194,0.4958653035207489
47,1,12,12,0,,
48,0,3117,3117,17,0.3879067810800496,0.49676614082322434
48,1,91,91,0,,
48,2,36,36,0,,
48,3,17,17,0,,
49,0,3288,3288,18,0.46607913984601745,0.5048113392192274
49,1,94,94,1,0.32177443534281924,0.32177443534281924
49,2,41,41,0,,
49,3,19,19,0,,
50,0,8351,8351,21,0.428953000404208,0.540953952602428
50,1,101,101,0,,
50,2,45,45,0,,
50,3,26,26,1,0.5493526276979787,0.5493526276979787
51,0,3474,3474,13,0.5204901606446224,0.5361542153662253
51,1,44,44,0,,
51,2,21,21,0,,
51,3,12,12,0,,
52,0,1687,1687,6,0.5239681342874671,0.5374378150993011
52,1,22,22,0,,
53,0,7664,7664,10,0.48659836987812566,0.5432971229871135
53,1,84,84,1,0.5453798738531026,0.5453798738531026
53,2,37,37,0,,
53,3,22,22,0,,
54,0,7238,7238,7,0.29870445278490615,0.5074676874656631
54,1,79,79,1,0.49935943223648693,0.49935943223648693
54,2,38,38,0,,
54,3,20,20,0,,
55,0,4090,4090,18,0.4640596220915232,0.5004387310023732
55,1,55,55,0,,
55,2,24,24,0,,
55,3,16,16,0,,
56,0,9469,9469,15,0.47317324623455204,0.5274922975275089
56,1,125,125,1,0.4628230873725189,0.4628230873725189
56,2,53,53,0,,
56,3,35,35,0,,
57,0,3038,3038,19,0.4085900248623269,0.5099492839292165
57,1,96,96,0,,
57,2,38,38,0,,
57,3,20,20,1,0.37528991046488225,0.37528991046488225
58,0,3803,3803,0,,
58,1,89,89,0,,
58,2,35,35,0,,
58,3,22,22,0,,
59,0,2260,2260,11,0.39125268658485574,0.5105268661003858
59,1,566,566,10,0.408564080173855,0.5005154902637938
59,2,359,359,2,0.4570622735458436,0.500402614732637
59,3,208,208,5,0.44272311539509546,0.5307928001932243
60,0,1468,1468,13,0.3697010931474018,0.4964807562342152
60,1,484,484,16,0.4469822277669014,0.4970431385581692
60,2,307,307,7,0.38066156036410015,0.5385397233087037
60,3,209,209,9,0.5128026862166591,0.5426721348326947
61,0,1663,1663,15,0.3683262289568342,0.5002402617311513
61,1,500,500,15,0.4353596525662089,0.5377473996236547
61,2,350,350,4,0.5185028404942145,0.5274816397979287
61,3,243,243,6,0.470079536685277,0.5218029696508281
62,0,1871,1871,15,0.32672931893369983,0.4672590958617104
62,1,489,489,5,0.4212240984944251,0.5234423511516241
62,2,339,339,6,0.4032902816898586,0.5336071792398912
62,3,211,211,3,0.4250372928616119,0.5219937095002078
63,0,2994,2994,19,0.435069600864697,0.5088253064290802
63,1,373,373,2,0.5327792663891432,0.5440658340131053
63,2,176,176,2,0.49727201495405393,0.5042888120394697
63,3,100,100,0,,
64,0,2560,2560,12,0.45560303070022723,0.5113464498270048
64,1,248,248,2,0.49588473842582537,0.5054679263467498
64,2,110,110,1,0.2836226578715453,0.2836226578715453
64,3,60,60,0,,
65,0,2742,2742,11,0.4083238192899457,0.5179164905042448
65,1,132,132,1,0.5011372349196958,0.5011372349196958
65,2,50,50,1,0.4929808916103328,0.4929808916103328
65,3,20,20,0,,
