covariate,negative_mean,positive_mean,standardized_mean_difference
log_b2_area,10.773101995891171,10.806025933662742,0.10263630901515214
log_even_total_charge,10.99194942838023,11.02835955601258,0.1579263426659983
event_fraction,0.5080151104609254,0.5070189268247053,-0.0036311734185592174
depth_idx,0.3715953307392996,0.3715953307392996,0.0
multiplicity,1.3715953307392996,1.3715953307392996,0.0
topology_code,0.6206225680933852,0.6206225680933852,0.0
downstream_charge_fraction,0.14039328967494907,0.1407839218970476,0.0015188999164915849
saturated_count,0.4571984435797665,0.4571984435797665,0.0
b2_saturated,0.4571984435797665,0.4571984435797665,0.0
b2_width20,13.45330739299611,13.153696498054474,-0.23954057438760878
b2_tail_fraction,0.2519140482489708,0.33789510233508935,1.21172679097235
propensity_logit,1.5210495797351113,2.6070530118415087,0.4396319384097585
