method,param,val_auc,val_average_precision
ridge,C=0.1,0.9949896226545294,0.9418907202520441
ridge,C=1.0,0.995304966187587,0.9449007601627716
ridge,C=10.0,0.995337579751259,0.9453635113174945
gradient_boosted_trees,learning_rate=0.04,0.9999947428277864,0.9999308140850226
gradient_boosted_trees,learning_rate=0.08,0.9999993981883213,0.9999922483939944
mlp,"hidden=(64, 32)",0.9999079314931147,0.9987532374184844
1d_cnn,waveform_plus_aux=False,0.9594309893723241,0.7991112659638454
morphology_gated_cnn_new,waveform_plus_aux=True,0.9601069251540415,0.8511598371394463
