stave,bin,amp_low_adc,amp_high_adc,n_train,source,heldout_run
B4,0,1000.0,1500.0,337,train_bin,58
B4,1,1500.0,2200.0,1147,train_bin,58
B4,2,2200.0,3200.0,2120,train_bin,58
B4,3,3200.0,4700.0,123,train_bin,58
B4,4,4700.0,6800.0,19,train_stave_fallback,58
B4,5,6800.0,10000.0,1,train_stave_fallback,58
B4,6,10000.0,15000.0,0,train_stave_fallback,58
B4,7,15000.0,25000.0,0,train_stave_fallback,58
B6,0,1000.0,1500.0,183,train_bin,58
B6,1,1500.0,2200.0,1086,train_bin,58
B6,2,2200.0,3200.0,2187,train_bin,58
B6,3,3200.0,4700.0,284,train_bin,58
B6,4,4700.0,6800.0,6,train_stave_fallback,58
B6,5,6800.0,10000.0,1,train_stave_fallback,58
B6,6,10000.0,15000.0,0,train_stave_fallback,58
B6,7,15000.0,25000.0,0,train_stave_fallback,58
B8,0,1000.0,1500.0,90,train_bin,58
B8,1,1500.0,2200.0,296,train_bin,58
B8,2,2200.0,3200.0,1251,train_bin,58
B8,3,3200.0,4700.0,1633,train_bin,58
B8,4,4700.0,6800.0,465,train_bin,58
B8,5,6800.0,10000.0,12,train_stave_fallback,58
B8,6,10000.0,15000.0,0,train_stave_fallback,58
B8,7,15000.0,25000.0,0,train_stave_fallback,58
B4,0,1000.0,1500.0,265,train_bin,59
B4,1,1500.0,2200.0,874,train_bin,59
B4,2,2200.0,3200.0,1792,train_bin,59
B4,3,3200.0,4700.0,107,train_bin,59
B4,4,4700.0,6800.0,18,train_stave_fallback,59
B4,5,6800.0,10000.0,1,train_stave_fallback,59
B4,6,10000.0,15000.0,0,train_stave_fallback,59
B4,7,15000.0,25000.0,0,train_stave_fallback,59
B6,0,1000.0,1500.0,124,train_bin,59
B6,1,1500.0,2200.0,807,train_bin,59
B6,2,2200.0,3200.0,1854,train_bin,59
B6,3,3200.0,4700.0,265,train_bin,59
B6,4,4700.0,6800.0,6,train_stave_fallback,59
B6,5,6800.0,10000.0,1,train_stave_fallback,59
B6,6,10000.0,15000.0,0,train_stave_fallback,59
B6,7,15000.0,25000.0,0,train_stave_fallback,59
B8,0,1000.0,1500.0,75,train_bin,59
B8,1,1500.0,2200.0,232,train_bin,59
B8,2,2200.0,3200.0,980,train_bin,59
B8,3,3200.0,4700.0,1356,train_bin,59
B8,4,4700.0,6800.0,403,train_bin,59
B8,5,6800.0,10000.0,11,train_stave_fallback,59
B8,6,10000.0,15000.0,0,train_stave_fallback,59
B8,7,15000.0,25000.0,0,train_stave_fallback,59
B4,0,1000.0,1500.0,299,train_bin,60
B4,1,1500.0,2200.0,1018,train_bin,60
B4,2,2200.0,3200.0,1605,train_bin,60
B4,3,3200.0,4700.0,79,train_bin,60
B4,4,4700.0,6800.0,10,train_stave_fallback,60
B4,5,6800.0,10000.0,1,train_stave_fallback,60
B4,6,10000.0,15000.0,0,train_stave_fallback,60
B4,7,15000.0,25000.0,0,train_stave_fallback,60
B6,0,1000.0,1500.0,173,train_bin,60
B6,1,1500.0,2200.0,961,train_bin,60
B6,2,2200.0,3200.0,1690,train_bin,60
B6,3,3200.0,4700.0,184,train_bin,60
B6,4,4700.0,6800.0,3,train_stave_fallback,60
B6,5,6800.0,10000.0,1,train_stave_fallback,60
B6,6,10000.0,15000.0,0,train_stave_fallback,60
B6,7,15000.0,25000.0,0,train_stave_fallback,60
B8,0,1000.0,1500.0,79,train_bin,60
B8,1,1500.0,2200.0,239,train_bin,60
B8,2,2200.0,3200.0,1056,train_bin,60
B8,3,3200.0,4700.0,1298,train_bin,60
B8,4,4700.0,6800.0,334,train_bin,60
B8,5,6800.0,10000.0,6,train_stave_fallback,60
B8,6,10000.0,15000.0,0,train_stave_fallback,60
B8,7,15000.0,25000.0,0,train_stave_fallback,60
B4,0,1000.0,1500.0,258,train_bin,61
B4,1,1500.0,2200.0,912,train_bin,61
B4,2,2200.0,3200.0,1603,train_bin,61
B4,3,3200.0,4700.0,96,train_bin,61
B4,4,4700.0,6800.0,17,train_stave_fallback,61
B4,5,6800.0,10000.0,1,train_stave_fallback,61
B4,6,10000.0,15000.0,0,train_stave_fallback,61
