heldout_run,residual_method,veto_method,keep_fraction,value,ci_low,ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
58,s03b_monotone_binned,no_veto,1.0,1.3214015519560292,1.321401551956022,1.5868803147697572,219,1.7731729385950459,1.3214015519560292,2.78333085903108,0.0319634703196347,1.0677293270154493,4.425196113314423
58,s03b_monotone_binned,traditional_q_threshold,0.9178082191780822,1.321401551956022,1.321401551956022,1.6653398839807476,201,1.4035427732780477,1.321401551956022,1.7923385488279955,0.01990049751243781,1.5825827135319965,4.3681167822966325
58,s03b_monotone_binned,ml_q_rf,0.9223744292237442,1.321401551956022,1.321401551956022,1.5798541282609153,202,1.5169563039805247,1.321401551956022,1.7726199079247869,0.019801980198019802,1.793780439037947,4.440563920567513
58,s03b_monotone_binned,shuffled_ml_q_rf_control,0.9908675799086758,1.3214015519560292,1.321401551956022,1.5787874936319608,217,1.7731729385950459,1.3214015519560292,2.7946458259019757,0.03225806451612903,1.0584169090311928,4.376940181598387
59,s03b_monotone_binned,no_veto,1.0,1.5,1.3674159215588872,1.561663372526251,2289,1.1189925239103076,1.5,2.593825489249465,0.015727391874180863,1.1965835193810963,38.50234007877262
59,s03b_monotone_binned,traditional_q_threshold,0.8986456968108344,1.5616633725262477,1.4405037380448569,1.5629596052324775,2057,0.8613117928730958,1.5616633725262477,2.051300266938686,0.008264462809917356,1.1767115596137536,31.77895480191149
59,s03b_monotone_binned,ml_q_rf,0.8658802970729577,1.5,1.3711596344813994,1.561663372526251,1982,0.8613117928731029,1.5,1.9890926570779979,0.007063572149344097,1.139164932599474,31.063569070013596
59,s03b_monotone_binned,shuffled_ml_q_rf_control,0.8947138488422892,1.311663372526258,1.3116633725262545,1.4927450556982484,2048,1.2876603481637439,1.311663372526258,2.5688784279360664,0.01513671875,1.2302797815561095,35.427389139207875
60,s03b_monotone_binned,no_veto,1.0,1.2306517500908687,1.2306517500908676,1.250000000000001,2424,1.3665544761438113,1.2306517500908687,2.421440219611732,0.015676567656765675,1.234111922770928,35.75580014987705
60,s03b_monotone_binned,traditional_q_threshold,0.9018151815181518,1.25,1.2306517500908676,1.3668396360157247,2186,1.202625487981038,1.25,1.6740293887170365,0.0054894784995425435,1.770448865531836,33.956105929467405
60,s03b_monotone_binned,ml_q_rf,0.9170792079207921,1.2306517500908711,1.2306517500908676,1.2693482499091449,2223,1.202625487981038,1.2306517500908711,1.640221074794302,0.005398110661268556,1.7614013212014998,35.28214646721952
60,s03b_monotone_binned,shuffled_ml_q_rf_control,0.9900990099009901,1.2306517500908711,1.2306517500908676,1.250000000000016,2400,1.3665544761438113,1.2306517500908711,2.4317178613751547,0.015833333333333335,1.248385181004456,35.715696642380095
61,s03b_monotone_binned,no_veto,1.0,2.101756513541144,2.1017565135411402,2.2505071648352186,2799,1.9256597686321726,2.101756513541144,3.0764335841402897,0.031082529474812434,1.3164013167934319,52.498966237578514
61,s03b_monotone_binned,traditional_q_threshold,0.8985351911396927,2.201026869708719,2.101756513541144,2.3517565135411362,2515,1.9256597686321726,2.201026869708719,2.4735230570602225,0.022266401590457258,1.3270717029829582,46.36068011774877
61,s03b_monotone_binned,ml_q_rf,0.8967488388710254,2.1381775451091958,2.1017565135411402,2.321233642486424,2510,1.9256597686321726,2.1381775451091958,2.387552230095648,0.021912350597609563,1.339232190689202,46.986565252748356
61,s03b_monotone_binned,shuffled_ml_q_rf_control,1.0,2.101756513541144,2.1017565135411402,2.249999999999997,2799,1.9256597686321726,2.101756513541144,3.0764335841402897,0.031082529474812434,1.3164013167934319,52.498966237578514
62,s03b_monotone_binned,no_veto,1.0,1.437430026970695,1.4123230480159445,1.5887539319246688,2421,1.2763112471519946,1.437430026970695,2.647622489990569,0.014456836018174308,1.4222525399716295,23.357418382589227
62,s03b_monotone_binned,traditional_q_threshold,0.8975629904997935,1.6133952378442658,1.4466494105489347,1.6381556235759938,2173,1.171960355753484,1.6133952378442658,1.7284703848516403,0.006442705936493327,1.4269839859820421,27.277000450975628
62,s03b_monotone_binned,ml_q_rf,0.9318463444857497,1.500000000000007,1.437430026970695,1.6381556235759902,2256,1.2763112471519804,1.500000000000007,2.2014620283383093,0.010195035460992909,1.4278308545989622,29.380210283016012
62,s03b_monotone_binned,shuffled_ml_q_rf_control,0.9334985543163982,1.500000000000007,1.437430026970695,1.6381556235759902,2260,1.1251399460586242,1.500000000000007,2.686331546243798,0.014601769911504425,1.4319484809932184,29.247225396970762
63,s03b_monotone_binned,no_veto,1.0,1.4331122575496877,1.3143583449090173,1.5643583449090086,1110,1.2641346219147778,1.4331122575496877,2.6874603288207513,0.01981981981981982,1.1259861361408872,16.926087135250295
63,s03b_monotone_binned,traditional_q_threshold,0.8783783783783784,1.5212904536031964,1.397969666715252,1.5643583449090102,975,1.1337754849006387,1.5212904536031964,1.9943568682381856,0.010256410256410256,1.1316506620745386,14.152126884062163
63,s03b_monotone_binned,ml_q_rf,0.8747747747747747,1.4999999999999993,1.3181591887604174,1.5643583449090102,971,1.2470851961967568,1.4999999999999993,1.720135954380657,0.009268795056642637,1.3376805413593638,14.289215059826795
