run,entries,selected_b_stave_pulses,selected_events,quiet_proxy_events,selected_event_fraction,quiet_event_fraction,event_max_q05_adc,event_max_median_adc,event_max_q95_adc,pre_mean_adc,pre_std_adc
12,14791,13355,13126,1398,0.8874315462105334,0.09451693597457914,38.5,6839.5,8989.0,6916.862416334257,128.88251301467108
13,50629,45679,44920,4821,0.8872385391771515,0.09522210590768136,39.0,6836.5,9012.5,6918.901321377077,129.97216361917083
14,3479,3154,3106,314,0.8927852831273354,0.0902558206381144,40.0,6892.0,9048.6,6916.202931876976,127.28210333429146
15,103871,92936,91617,10400,0.8820267447121911,0.10012419250801474,38.0,6908.0,9057.0,6917.096860528925,127.73646097081958
16,11533,10272,10134,1167,0.8786959160669383,0.10118789560391919,38.0,6891.0,9125.5,6916.920835862308,128.5722491979537
17,5648,5074,5031,513,0.890757790368272,0.090828611898017,40.67500000000001,6907.5,9051.974999999999,6913.461048158641,123.88938562322946
18,75023,67505,65434,8174,0.8721858630020127,0.10895325433533716,37.5,6696.0,8981.0,6914.672200525172,124.34506712863264
19,73470,65582,63700,7753,0.867020552606506,0.10552606506056894,38.5,6719.25,8976.5,6942.566163059752,159.03560636994692
20,57388,49242,48315,7229,0.8419007458005158,0.12596710113612603,35.5,6736.0,9050.5,6948.028716804907,167.28936798633862
21,0,0,0,0,,,,,,,
22,0,0,0,0,,,,,,,
23,3806,2221,2148,1306,0.5643720441408303,0.34314240672622176,19.625,2344.75,8842.875,6983.520231213873,230.05034813452443
24,24908,14272,13766,8612,0.5526738397302071,0.3457523687168781,22.0,2041.0,8733.149999999998,6999.817568652642,253.77920748353944
25,3315,1645,1584,1370,0.47782805429864256,0.4132730015082956,17.0,637.0,8060.949999999998,5260.247963800905,3069.0711915535444
26,53953,29840,28761,19662,0.5330750838692937,0.36442829870442794,18.0,1645.0,8571.399999999994,5262.555668822864,3069.051581932423
27,34979,21317,20770,11053,0.5937848423339718,0.31598959375625374,19.0,3082.5,8831.5,5257.370536607679,3064.574630492581
28,5203,3298,3189,1517,0.6129156256006151,0.291562560061503,25.0,3392.5,8919.199999999999,6993.858927541803,238.37665769748222
29,25800,14682,14207,8927,0.5506589147286822,0.3460077519379845,23.5,2038.25,8592.025,7004.241007751938,246.94637051841084
30,5265,3202,3103,1655,0.5893637226970561,0.3143399810066477,24.5,2813.5,8737.3,6997.536182336183,235.94510921177587
31,39990,27871,27078,9812,0.677119279819955,0.24536134033508378,27.0,4728.75,8985.774999999998,6984.848212053013,216.73506501625405
32,41921,28240,27461,11088,0.6550654803081988,0.26449750721595383,26.5,4256.0,8926.0,6985.371341332507,223.53401636411346
33,57173,48737,47911,7687,0.8380004547601141,0.13445157679324157,36.5,6036.0,8353.0,6925.775453448306,130.26283385514142
