run,sampled_events,sampled_quiet_fraction,ml_mean_quiet_probability,ml_p95_quiet_probability
12,1000,0.101,0.3795425912446267,0.517164686738676
13,2618,0.09358288770053476,0.3896725461553543,0.5272201806080559
14,1000,0.099,0.38886393717946377,0.5323481213459643
15,5000,0.1028,0.39200835091308583,0.5355335063496438
16,1000,0.106,0.38886052369282137,0.5366689935219235
17,1000,0.097,0.44229281522456637,0.5834553371625569
18,3023,0.11379424412834932,0.43655452095262487,0.5781125019735038
19,3000,0.10833333333333334,0.29913884151178005,0.5524040375098699
20,3000,0.12833333333333333,0.21458849478378542,0.5064820582964603
23,1000,0.372,0.2928918232967243,0.5448154256185093
24,1000,0.384,0.29387901272482425,0.5367835927355299
25,1000,0.458,0.5061050650137499,0.7834902100895977
26,3000,0.367,0.49565891931140915,0.7799946432869094
27,2000,0.3715,0.5118906921865296,0.7805739873704114
28,1000,0.325,0.3229979970815803,0.5634733759016456
29,1667,0.4409118176364727,0.34125757375589755,0.5627816664581959
30,1000,0.367,0.33210215877495675,0.5616528350069746
31,2000,0.2685,0.31535156599915315,0.5712211828666589
32,2000,0.2925,0.3208190884791404,0.5610201387806001
33,3000,0.14233333333333334,0.3920791588816572,0.5960923185211661
34,2000,0.136,0.3765667576576828,0.597311964637825
35,2000,0.5,0.396626941786399,0.6104654773006644
36,1000,0.485,0.3988046362241356,0.6140317416924548
37,2426,0.466199505358615,0.3843733451357455,0.6087641565563213
39,2000,0.4875,0.3859428183187796,0.6105258152859164
40,2000,0.4935,0.4018234734430312,0.6204685966720245
41,2000,0.4655,0.3899661516160655,0.6103249610553894
42,2000,0.4425,0.3836607501775964,0.6184312697419228
43,11,0.5454545454545454,0.4808943377715197,0.6548445384888066
44,1000,0.481,0.3990167082799117,0.6215575667798123
45,2000,0.436,0.3850367379908029,0.6204265310999142
46,1000,0.487,0.39421564329188324,0.6134814205652253
47,1000,0.471,0.3857366263441998,0.6016040127143456
48,2000,0.505,0.4028504796007798,0.6159629418959154
49,2000,0.4685,0.394377108641142,0.6167815242542093
50,2000,0.206,0.33314107768675033,0.5841251869119468
51,1000,0.251,0.3415781202060226,0.5977034756940192
52,1000,0.243,0.34106049173065894,0.5940942374959227
53,2000,0.164,0.3521909209875411,0.5978833754816398
54,2000,0.1655,0.3601285863529968,0.5970755099763542
55,1000,0.27,0.34894955140964606,0.6098904671162964
56,3000,0.191,0.3211357614510484,0.5875219838761672
57,2000,0.4955,0.3869959631116568,0.6129437623506294
58,2000,0.4785,0.452011523090952,0.6180022584694406
59,2000,0.621,0.39521112691756627,0.6025298470770346
60,2000,0.687,0.42253621294225713,0.5998206228892367
61,2000,0.645,0.4257531114379316,0.6107782744474717
62,2000,0.6315,0.4153191355689564,0.6108231262816931
63,2000,0.55,0.4056769658153002,0.5949454147446662
64,2000,0.6305,0.4352964129560805,0.6134488646185747
65,2000,0.632,0.4305245285555875,0.6079826567040284
