slice_dim,slice_value,n,raw_sigma68_ns,corr_sigma68_ns,raw_rms_ns,corr_rms_ns,raw_core_sigma_ns,corr_core_sigma_ns,raw_tail_frac,corr_tail_frac,raw_chi2_ndf,corr_chi2_ndf
species,deuteron,28886,1.168614896789361,1.1682740534553542,2.5538988572811783,2.5072050528249936,1.3006841813569203,1.3052137356281213,0.008585473932008585,0.00958942048050959,193.20633050191094,186.06502426267846
species,pdg_1000010030,213,1.586594451719614,1.5993212718143628,6.465581362499065,6.373484557429613,1.492252181727811,1.5135496428962734,0.06103286384976526,0.056338028169014086,6.72634001826149,13.3351868812382
species,pdg_1000020030,360,1.5989729690068675,1.6101110681438993,8.111769666041384,7.992881247363494,1.3437658171709075,1.4151332730860287,0.1,0.1,49.74532257075653,185.28699045388205
species,pdg_1000020040,6138,2.774803512410002,2.6768515463249756,10.811411116011657,10.677749816635874,1.6252899060826589,1.691288453842297,0.13424568263277942,0.13457152166829586,83939215.29780976,3747292.754798254
species,pdg_1000030060,345,2.276966667895807,2.206010129208555,11.0163388586255,10.851504849472727,1.4247121790270996,1.5011183091858062,0.12173913043478261,0.12173913043478261,1009226.543300598,15149.322388653092
species,pdg_1000030070,118,4.465449229300404,4.155991830294594,8.826824212764272,8.682137975230937,1.8201618793564076,1.8383987587498305,0.11864406779661017,0.11864406779661017,146283171.848331,134502594.20319042
species,pdg_1000040070,100,4.26044194284384,4.000883083822107,11.04172166875094,10.888196934271352,2.0157447711576855,2.0622436044267034,0.15,0.15,83339235.8827234,71429971.45838584
species,pdg_1000040090,26,16.902815852614623,16.811445461205526,15.624516593795244,15.55233442441767,2.0914573190889625,2.3925352781074696,0.0,0.0,nan,nan
species,pdg_1000050080,20,8.495460719196203,8.392787958044067,11.170308525048508,11.099136576958093,43.138038269975404,2.875222393845508,0.05,0.05,nan,nan
species,pdg_1000050100,59,3.35955373645181,3.1611010523666616,11.879933181429637,11.71140367978677,1.5348318133402925,1.7665485609911138,0.11864406779661017,0.11864406779661017,1508.478787950251,183.880512572761
species,pdg_1000050101,78,9.434040194758207,9.161792797340897,11.169469269727996,11.065183208027497,1.8465959391588058,1.9408482587912328,0.0641025641025641,0.0641025641025641,2166670336.0331554,1769231169.464873
species,pdg_1000050110,185,4.804536608584199,4.602951019024173,11.807076550622273,11.669818120561196,1.5302412985146463,1.6026770037416647,0.14054054054054055,0.13513513513513514,740712111.1624625,383599355.9844319
species,pdg_1000060110,165,6.995236846365424,6.766080359595641,13.672516717698722,13.53341622639401,1.6981916023796617,1.6843568083897447,0.14545454545454545,0.14545454545454545,615879776.8373108,833338834.0767864
species,pdg_1000060120,431,15.874731301287376,15.812928013035291,14.70987064562558,14.591648343997006,1.8717657035353372,1.9744225597414262,0.0,0.0,91640298878.78494,90784414507.66222
species,pdg_1000060130,34,14.442992712871362,14.30996539286512,14.574119909535922,14.465847727007727,2.126962230787711,1.924093068347351,0.029411764705882353,0.029411764705882353,2125002794.4606087,2125011326.4265785
species,pdg_1000070130,27,9.298092882402685,9.018306460460975,12.296236375918095,12.214941030296542,2.3622232875915197,2.1643535762204067,0.1111111111111111,0.1111111111111111,nan,nan
species,pdg_11,71,16.982567835599518,16.910993238380893,14.84885467309442,14.771793963956403,2.536608952883781,2.5021792390075306,0.0,0.0,4400000035.746736,4400000176.190073
species,proton,27629,1.7242853236831623,1.7409615610154798,4.305767364441727,4.225596717136885,1.740219251894382,1.7687859155934658,0.019761844438814288,0.020666690795902855,217.97449040293392,186.09903401396923
