heldout_run,target,n_pulses,empirical_mean_ns,empirical_median_ns,observable_end_mean_ns,observable_end_median_ns,censored_last_sample_fraction,final_sample_above_threshold_fraction,final_fraction_median,final_fraction_p90
44,5pct,2038,118.86404668112759,127.72261051785819,129.13391910507264,128.89170565204196,0.8822374877330716,0.8822374877330716,0.2642468813553894,0.4669589180535142
45,5pct,24333,120.02028987642905,128.38587047939444,129.5945306194529,129.55811277330264,0.8897382155919944,0.8897382155919944,0.28560759628720794,0.4655479175183966
46,5pct,687,127.71236331113778,130.65234375,131.7589426415599,131.49359365466748,0.9563318777292577,0.9563318777292577,0.2666043030869972,0.4374002495276895
47,5pct,5276,127.9031735946976,131.0644892956946,131.70719179030033,132.09088106771452,0.9526156178923427,0.9526156178923427,0.27929495110793134,0.4427095954692656
48,5pct,14000,119.22341643937335,127.45411455063922,128.9755592965162,128.7484134346939,0.8817857142857143,0.8817857142857143,0.24119190057121442,0.4606758684063546
49,5pct,14815,119.04977123830737,127.57142857142856,129.20636928083184,128.8555140554354,0.8788390145123186,0.8788390145123186,0.24722686521805196,0.4636591113728318
50,5pct,35217,129.01758052818403,131.125,130.94079942814713,131.65038257798705,0.9747849050174632,0.9747849050174632,0.4064608916915588,0.46441684159394897
51,5pct,14740,127.40180261556372,130.33466835114825,130.68741998327064,131.31036150727942,0.9599728629579376,0.9599728629579376,0.3994105023258532,0.4645188500620802
52,5pct,7152,127.90483571453247,130.55886962577497,131.02424287336916,131.5719586119276,0.9608501118568232,0.9608501118568232,0.4008737745605428,0.4645118509811683
53,5pct,32200,128.15595364936215,129.6708469709228,130.23918346302676,129.82854491482175,0.9727639751552795,0.9727639751552795,0.401723951686064,0.4712195814952991
54,5pct,30440,128.39441326877898,129.7050277365309,130.1687233870444,129.83525979601274,0.9760512483574244,0.9760512483574244,0.4009673932525004,0.4707977599810882
55,5pct,17387,127.03614095074482,130.17754262198707,130.69864742109624,131.2742782152231,0.9553689538160695,0.9553689538160695,0.3989187651159482,0.4668231039119099
56,5pct,40148,129.05655664936867,131.91434164688474,131.2643876745754,132.4479469870564,0.9711318122945103,0.9711318122945103,0.4032909237558868,0.4631336168252843
57,5pct,13833,118.55314166822112,127.33695652173914,128.53145439864838,128.62983840661406,0.8812983445384226,0.8812983445384226,0.2436166276057728,0.466283216706033
44,10pct,2038,116.4450084083111,126.88224894609067,129.13391910507264,128.89170565204196,0.7782139352306182,0.7782139352306182,0.2642468813553894,0.4669589180535142
45,10pct,24333,117.98108385990827,127.74893617021277,129.5945306194529,129.55811277330264,0.8010109727530514,0.8010109727530514,0.28560759628720794,0.4655479175183966
46,10pct,687,124.61192662991508,129.64073672806066,131.7589426415599,131.49359365466748,0.8064046579330422,0.8064046579330422,0.2666043030869972,0.4374002495276895
47,10pct,5276,125.2477528213845,129.62670808262715,131.70719179030033,132.09088106771452,0.8280894617134192,0.8280894617134192,0.27929495110793134,0.4427095954692656
48,10pct,14000,116.6912735822305,126.3638050542292,128.9755592965162,128.7484134346939,0.7689285714285714,0.7689285714285714,0.24119190057121442,0.4606758684063546
49,10pct,14815,116.5334026929142,126.39363143631435,129.20636928083184,128.8555140554354,0.7670604117448532,0.7670604117448532,0.24722686521805196,0.4636591113728318
50,10pct,35217,128.38748710739293,130.86174496644296,130.94079942814713,131.65038257798705,0.9478092966465059,0.9478092966465059,0.4064608916915588,0.46441684159394897
51,10pct,14740,126.59583246631,129.95110194601705,130.68741998327064,131.31036150727942,0.9264586160108548,0.9264586160108548,0.3994105023258532,0.4645188500620802
52,10pct,7152,127.04493638567341,130.1932914355222,131.02424287336916,131.5719586119276,0.9246364653243848,0.9246364653243848,0.4008737745605428,0.4645118509811683
53,10pct,32200,127.62489774874103,129.61053922754897,130.23918346302676,129.82854491482175,0.9511490683229814,0.9511490683229814,0.401723951686064,0.4712195814952991
54,10pct,30440,127.82838173132825,129.63532058256465,130.1687233870444,129.83525979601274,0.9523324572930355,0.9523324572930355,0.4009673932525004,0.4707977599810882
55,10pct,17387,126.23611794505092,129.95513666352497,130.69864742109624,131.2742782152231,0.9224132972910796,0.9224132972910796,0.3989187651159482,0.4668231039119099
56,10pct,40148,128.36461682671253,131.64853179607277,131.2643876745754,132.4479469870564,0.9422387167480323,0.9422387167480323,0.4032909237558868,0.4631336168252843
57,10pct,13833,115.98464604182047,126.08237601569067,128.53145439864838,128.62983840661406,0.7657774886141835,0.7657774886141835,0.2436166276057728,0.466283216706033
44,20pct,2038,110.25266297160844,122.57929380280287,129.13391910507264,128.89170565204196,0.5966633954857704,0.5966633954857704,0.2642468813553894,0.4669589180535142
45,20pct,24333,112.36689736420286,125.13324708926262,129.5945306194529,129.55811277330264,0.6347758188468335,0.6347758188468335,0.28560759628720794,0.4655479175183966
46,20pct,687,117.59591498508247,127.72362787076685,131.7589426415599,131.49359365466748,0.604075691411936,0.604075691411936,0.2666043030869972,0.4374002495276895
47,20pct,5276,118.5627641936362,128.3567687104486,131.70719179030033,132.09088106771452,0.6302122820318423,0.6302122820318423,0.27929495110793134,0.4427095954692656
48,20pct,14000,109.82413072508763,120.44394128242499,128.9755592965162,128.7484134346939,0.5614285714285714,0.5614285714285714,0.24119190057121442,0.4606758684063546
49,20pct,14815,109.85031123155744,120.91242937853107,129.20636928083184,128.8555140554354,0.5710428619642255,0.5710428619642255,0.24722686521805196,0.4636591113728318
50,20pct,35217,126.59772648042303,130.2904073587385,130.94079942814713,131.65038257798705,0.8957037794247097,0.8957037794247097,0.4064608916915588,0.46441684159394897
51,20pct,14740,124.36788131298572,129.72957725763,130.68741998327064,131.31036150727942,0.8617367706919946,0.8617367706919946,0.3994105023258532,0.4645188500620802
52,20pct,7152,124.8469498084922,129.8242603141174,131.02424287336916,131.5719586119276,0.8643736017897091,0.8643736017897091,0.4008737745605428,0.4645118509811683
53,20pct,32200,126.1044008543311,129.4940622293329,130.23918346302676,129.82854491482175,0.906863354037267,0.906863354037267,0.401723951686064,0.4712195814952991
54,20pct,30440,126.33265242778029,129.5227809449877,130.1687233870444,129.83525979601274,0.9085742444152431,0.9085742444152431,0.4009673932525004,0.4707977599810882
55,20pct,17387,124.05575330480245,129.73360655737704,130.69864742109624,131.2742782152231,0.857709783171335,0.857709783171335,0.3989187651159482,0.4668231039119099
56,20pct,40148,126.34359460891834,131.06568590804721,131.2643876745754,132.4479469870564,0.8821610042841487,0.8821610042841487,0.4032909237558868,0.4631336168252843
57,20pct,13833,109.31870228413956,120.32224168126095,128.53145439864838,128.62983840661406,0.5690739535892431,0.5690739535892431,0.2436166276057728,0.466283216706033
44,noise_floor,2038,111.29289849663299,127.4485226630607,129.13391910507264,128.89170565204196,0.8640824337585868,0.8640824337585868,0.2642468813553894,0.4669589180535142
45,noise_floor,24333,112.24730668487848,128.05436337625179,129.5945306194529,129.55811277330264,0.8721489335470349,0.8721489335470349,0.28560759628720794,0.4655479175183966
46,noise_floor,687,124.34991789629062,130.46718419195483,131.7589426415599,131.49359365466748,0.9461426491994177,0.9461426491994177,0.2666043030869972,0.4374002495276895
47,noise_floor,5276,124.6203836022791,130.78296850869535,131.70719179030033,132.09088106771452,0.9465504169825626,0.9465504169825626,0.27929495110793134,0.4427095954692656
48,noise_floor,14000,110.84770215365906,127.01912551659711,128.9755592965162,128.7484134346939,0.8644285714285714,0.8644285714285714,0.24119190057121442,0.4606758684063546
49,noise_floor,14815,110.62992648636677,127.13857677902622,129.20636928083184,128.8555140554354,0.8589942625717178,0.8589942625717178,0.24722686521805196,0.4636591113728318
50,noise_floor,35217,127.18437497404828,130.93416149068324,130.94079942814713,131.65038257798705,0.9678848283499446,0.9678848283499446,0.4064608916915588,0.46441684159394897
51,noise_floor,14740,124.455398273637,129.98458995176594,130.68741998327064,131.31036150727942,0.9513568521031207,0.9513568521031207,0.3994105023258532,0.4645188500620802
52,noise_floor,7152,125.23285584876065,130.33335541175146,131.02424287336916,131.5719586119276,0.9521812080536913,0.9521812080536913,0.4008737745605428,0.4645118509811683
53,noise_floor,32200,126.30253750029382,129.62131744289508,130.23918346302676,129.82854491482175,0.965527950310559,0.965527950310559,0.401723951686064,0.4712195814952991
54,noise_floor,30440,126.66543823592745,129.6415175421323,130.1687233870444,129.83525979601274,0.9687253613666229,0.9687253613666229,0.4009673932525004,0.4707977599810882
55,noise_floor,17387,123.91771914134699,129.95601233299075,130.69864742109624,131.2742782152231,0.945361476965549,0.945361476965549,0.3989187651159482,0.4668231039119099
56,noise_floor,40148,127.01461184514433,131.71296323841727,131.2643876745754,132.4479469870564,0.9635349207930657,0.9635349207930657,0.4032909237558868,0.4631336168252843
57,noise_floor,13833,110.44427157496585,126.89584799437016,128.53145439864838,128.62983840661406,0.863370201691607,0.863370201691607,0.2436166276057728,0.466283216706033
