target,label,sampled_template_cross_mean_ns,sampled_template_cross_ci95_low_ns,sampled_template_cross_ci95_high_ns,last_finite_tail_mean_ns,fit_minus_last_finite_tail_mean_ns,extrapolating_weight
5pct,5%,137.84638349472246,137.45846125252504,138.23314347113418,164.98832642074325,-23.932614626906147,0.0
10pct,10%,137.1550468361713,136.7138984856152,137.58309168422457,164.98832642074325,-40.19814247810857,0.0
20pct,20%,135.057970036469,134.0958339568223,135.87411658685645,164.98832642074325,-63.123116399552934,0.0
noise_floor,noise floor,138.40272940029732,138.03737109806463,138.79994472636045,164.98832642074325,-3.8049687931464127,0.27682261178927253
