target,label,threshold_fraction,traditional_template_mean_ns,traditional_template_ci95_low_ns,traditional_template_ci95_high_ns,train_template_mean_ns,train_template_ci95_low_ns,train_template_ci95_high_ns,empirical_mean_ns,empirical_ci95_low_ns,empirical_ci95_high_ns,ml_pred_mean_ns,ml_pred_ci95_low_ns,ml_pred_ci95_high_ns,ml_mean_mae_ns,ml_mean_r2,rescaled_Rmax_MHz
5pct,5%,0.05,141.0557117938371,139.2315968172613,142.99454639712746,140.69217746156406,139.31639954626522,142.07295331834138,124.87810615613058,122.4652952318232,127.03360197084977,124.75498010671699,122.55143504057398,126.74953403766025,4.019799320644711,0.8840212513190387,2.6939710215733546
10pct,10%,0.1,124.79018394263471,123.3265566127065,126.30942430680561,124.31276321429486,123.20081360839283,125.5521894650513,123.25552601769233,120.60222657362698,125.76330957447175,123.21520754849443,120.67337835175188,125.59994192230515,4.16185060678477,0.8839928589969487,3.045111305987686
20pct,20%,0.2,101.86521002119034,100.92467427658114,102.84508793777903,101.2272754328811,100.38303380131488,102.10454009783503,119.0300244680748,115.3311959353438,122.63347503032237,119.1803543650311,115.67133020727512,122.47234851437909,4.228352460388814,0.8895180479068567,3.73041983539769
noise_floor,noise floor,0.006727491100764061,161.18335762759685,158.8418714824354,163.45665028164387,160.96001262749732,159.3582062351835,162.6786286525306,120.37181019387364,116.47602465440978,123.82582025694612,120.29899988935708,117.01787826977555,123.31591858033971,7.151486322653677,0.8150978473339945,2.3575634953452456
