target,label,template_fit_ns,template_fit_ci95_low_ns,template_fit_ci95_high_ns,empirical_last_above_ns,empirical_ci95_low_ns,empirical_ci95_high_ns,ml_pred_ns,ml_pred_ci95_low_ns,ml_pred_ci95_high_ns,template_minus_empirical_ns,template_minus_ml_ns,sampled_template_cross_ns,last_finite_template_tail_ns,fit_minus_last_finite_tail_ns,observable_end_mean_ns,fit_minus_observable_end_ns,censored_last_sample_fraction,diagnosis
5pct,5%,141.0557117938371,139.2315968172613,142.99454639712746,124.87810615613058,122.4652952318232,127.03360197084977,124.75498010671699,122.55143504057398,126.74953403766025,16.17760563770652,16.30073168712012,137.84638349472246,164.98832642074325,-23.932614626906147,130.28081224020798,10.774899553629126,0.9352692958384735,template exponential extrapolates past the per-pulse acquisition window
10pct,10%,124.79018394263471,123.3265566127065,126.30942430680561,123.25552601769233,120.60222657362698,125.76330957447175,123.21520754849443,120.67337835175188,125.59994192230515,1.5346579249423797,1.574976394140279,137.1550468361713,164.98832642074325,-40.19814247810857,130.28081224020798,-5.4906282975732665,0.8630373869324725,template crossing and empirical operation agree within 10 ns
20pct,20%,101.86521002119034,100.92467427658114,102.84508793777903,119.0300244680748,115.3311959353438,122.63347503032237,119.1803543650311,115.67133020727512,122.47234851437909,-17.164814446884463,-17.31514434384077,135.057970036469,164.98832642074325,-63.123116399552934,130.28081224020798,-28.415602219017643,0.7388853651837736,empirical last-above is inflated by late samples/noise relative to smooth crossing
noise_floor,noise floor,161.18335762759685,158.8418714824354,163.45665028164387,120.37181019387364,116.47602465440978,123.82582025694612,120.29899988935708,117.01787826977555,123.31591858033971,40.811547433723206,40.88435773823977,138.40272940029732,164.98832642074325,-3.8049687931464127,130.28081224020798,30.90254538738887,0.9235921476515753,template exponential extrapolates past the per-pulse acquisition window
