target,label,empirical_mean_ns,empirical_ci95_low_ns,empirical_ci95_high_ns,observable_end_mean_ns,observable_end_ci95_low_ns,observable_end_ci95_high_ns,censored_last_sample_fraction,censored_ci95_low,censored_ci95_high
5pct,5%,124.87810615613061,122.65710690548208,126.96928970739188,130.28081224020798,129.7493077971675,130.80339902228084,0.9352692958384735,0.9134509177287957,0.9551458022071273
10pct,10%,123.25552601769235,120.5558546934962,125.7239820233012,130.28081224020798,129.7499353884694,130.7965731034461,0.8630373869324725,0.8224250790824855,0.9034236282147863
20pct,20%,119.03002446807481,115.35077491299892,122.64885985432899,130.28081224020798,129.741237396548,130.79498250604234,0.7388853651837736,0.6618381595290885,0.8170266854984726
noise_floor,noise floor,120.37181019387366,116.49187071499094,123.88138794549836,130.28081224020798,129.75756252868752,130.79388563037315,0.9235921476515753,0.8999762659786475,0.9459809271709453
