component,run,bin_index,n_bins,run_shrink_strength,deployment_population_weight,log_amp_center,raw_target_ns,shrunk_target_ns,fitted_target_ns,deployment_target_ns,n_train_pulses,stave,heldout_run
population,-1,0,8,320.0,1.0,7.341483852363161,-0.4660873920389683,,1.0746539512964677,,1406,,58
population,-1,1,8,320.0,1.0,7.591357046698551,0.8928031039120512,,1.0746539512964677,,1409,,58
population,-1,2,8,320.0,1.0,7.728635826051634,1.1428031039120654,,1.0746539512964677,,1407,,58
population,-1,3,8,320.0,1.0,7.834788107388194,0.8928031039120583,,1.0746539512964677,,1399,,58
population,-1,4,8,320.0,1.0,7.914983005848394,1.5339126079610423,,1.0746539512964677,,1408,,58
population,-1,5,8,320.0,1.0,7.999594651686632,1.5339126079610423,,1.0746539512964677,,1402,,58
population,-1,6,8,320.0,1.0,8.118951928397392,1.5339126079610423,,1.0746539512964677,,1406,,58
population,-1,7,8,320.0,1.0,8.396267717119336,1.5339126079610423,,1.0746539512964677,,1404,,58
stave_population,-1,0,8,320.0,1.0,7.341483852363161,-4.1767157118730935,-2.5145611201675946,-2.0214110761169377,-2.3457386419224315,691,B4,58
stave_population,-1,1,8,320.0,1.0,7.591357046698551,-4.1767157118730935,-2.444305101342929,-2.0214110761169377,-2.349892345057998,650,B4,58
stave_population,-1,2,8,320.0,1.0,7.728635826051634,-4.1767157118730935,-2.3947026766511854,-2.0214110761169377,-2.3561411794298515,623,B4,58
stave_population,-1,3,8,320.0,1.0,7.834788107388194,-4.1767157118730935,-2.4262591574832397,-2.0214110761169377,-2.3584420065901037,640,B4,58
stave_population,-1,4,8,320.0,1.0,7.914983005848394,-4.1767157118730935,-2.2692942678160457,-2.0214110761169377,-2.3584420065901037,561,B4,58
stave_population,-1,5,8,320.0,1.0,7.999594651686632,-4.1767157118730935,-1.7795141537928376,-2.0214110761169377,-2.3584420065901037,381,B4,58
stave_population,-1,6,8,320.0,1.0,8.118951928397392,-4.1767157118730935,-0.6089061742632005,-2.0214110761169377,-2.3584420065901037,151,B4,58
stave_population,-1,7,8,320.0,1.0,8.396267717119336,-1.17671571187309,0.7704148076249058,-2.0214110761169377,-2.3584420065901037,50,B4,58
run_stave_shrunken,59,0,8,320.0,1.0,7.341483852363161,-4.1767157118730935,-2.8163656459126005,-2.5230654357564037,-2.3457386419224315,187,B4,58
run_stave_shrunken,59,1,8,320.0,1.0,7.591357046698551,-4.1767157118730935,-2.7458080698773055,-2.5230654357564037,-2.349892345057998,162,B4,58
run_stave_shrunken,59,2,8,320.0,1.0,7.728635826051634,-4.1767157118730935,-2.6575582593577414,-2.5230654357564037,-2.3561411794298515,134,B4,58
run_stave_shrunken,59,3,8,320.0,1.0,7.834788107388194,-4.1767157118730935,-2.6056508293173533,-2.5230654357564037,-2.3584420065901037,119,B4,58
run_stave_shrunken,59,4,8,320.0,1.0,7.914983005848394,-4.426715711873086,-2.535567103907564,-2.5230654357564037,-2.3584420065901037,87,B4,58
run_stave_shrunken,59,5,8,320.0,1.0,7.999594651686632,-4.676715711873086,-2.361463713393611,-2.5230654357564037,-2.3584420065901037,47,B4,58
run_stave_shrunken,59,6,8,320.0,1.0,8.118951928397392,-4.1767157118730935,-2.1481937017496526,-2.5230654357564037,-2.3584420065901037,20,B4,58
run_stave_shrunken,59,7,8,320.0,1.0,8.396267717119336,-0.9267157118730793,-1.9979772303991792,-2.5230654357564037,-2.3584420065901037,7,B4,58
run_stave_shrunken,60,0,8,320.0,1.0,7.341483852363161,-4.1767157118730935,-2.4695437231553465,-2.4695437231553465,-2.3457386419224315,84,B4,58
run_stave_shrunken,60,1,8,320.0,1.0,7.591357046698551,-4.1767157118730935,-2.4986196451043106,-2.4986196451043106,-2.349892345057998,91,B4,58
