alpha,fold,sigma68_ns,n_pair_residuals,heldout_run
0.01,0,2.0094337885298494,2997,58
0.01,1,1.3777732986283728,3534,58
0.01,2,1.4624620265720503,4710,58
0.01,-1,1.6165563712434239,0,58
0.1,0,2.0099099950668062,2997,58
0.1,1,1.377297634603472,3534,58
0.1,2,1.4621002383572614,4710,58
0.1,-1,1.6164359560091797,0,58
1.0,0,2.009915243659585,2997,58
1.0,1,1.3737544103087491,3534,58
1.0,2,1.461656881369096,4710,58
1.0,-1,1.6151088451124764,0,58
10.0,0,1.9937436728523636,2997,58
10.0,1,1.3628280649303626,3534,58
10.0,2,1.4512943726703653,4710,58
10.0,-1,1.6026220368176973,0,58
100.0,0,1.9739606370859044,2997,58
100.0,1,1.3095705960057578,3534,58
100.0,2,1.4032369046089965,4710,58
100.0,-1,1.5622560459002195,0,58
0.01,0,2.0430895264100104,2799,59
0.01,1,1.3795485581464633,2841,59
0.01,2,1.4549001728378905,3531,59
0.01,-1,1.6258460857981216,0,59
0.1,0,2.043043982209025,2799,59
0.1,1,1.3788740779734177,2841,59
0.1,2,1.45483687513047,3531,59
0.1,-1,1.6255849784376377,0,59
1.0,0,2.0416732597577436,2799,59
1.0,1,1.3800423320667619,2841,59
1.0,2,1.455303166805649,3531,59
1.0,-1,1.625672919543385,0,59
10.0,0,2.0329603305704342,2799,59
10.0,1,1.367616978536241,2841,59
10.0,2,1.449014411149421,3531,59
10.0,-1,1.616530573418699,0,59
100.0,0,1.9753620907196294,2799,59
100.0,1,1.3036866431107383,2841,59
100.0,2,1.4029107160623517,3531,59
100.0,-1,1.5606531499642398,0,59
0.01,0,1.995407342459968,2799,60
0.01,1,1.3907558863021015,2838,60
0.01,2,1.4081535252765105,3399,60
0.01,-1,1.5981055846795267,0,60
0.1,0,1.9943154881633613,2799,60
0.1,1,1.3910264838350335,2838,60
0.1,2,1.407726780889802,3399,60
0.1,-1,1.5976895842960657,0,60
1.0,0,1.9937826432017118,2799,60
1.0,1,1.3835667409104222,2838,60
1.0,2,1.4041576841303534,3399,60
1.0,-1,1.5938356894141623,0,60
10.0,0,1.9837989769038962,2799,60
10.0,1,1.3681216878558138,2838,60
10.0,2,1.3882014154730602,3399,60
10.0,-1,1.5800406934109235,0,60
100.0,0,1.9539832346201755,2799,60
100.0,1,1.3087211225688216,2838,60
100.0,2,1.3425420401457215,3399,60
100.0,-1,1.535082132444906,0,60
0.01,0,1.4581169609441473,2622,61
0.01,1,1.6195196069864843,2640,61
0.01,2,1.6336751940759227,3399,61
0.01,-1,1.5704372540021847,0,61
0.1,0,1.4588508918234622,2622,61
0.1,1,1.6194840842298603,2640,61
0.1,2,1.6336737347544013,3399,61
0.1,-1,1.5706695702692413,0,61
1.0,0,1.4529388709976212,2622,61
1.0,1,1.6122317200184895,2640,61
1.0,2,1.6319799880522285,3399,61
1.0,-1,1.5657168596894466,0,61
10.0,0,1.4314280094672076,2622,61
10.0,1,1.5879773333668996,2640,61
10.0,2,1.6192678165960965,3399,61
10.0,-1,1.5462243864767347,0,61
100.0,0,1.3660657034865282,2622,61
100.0,1,1.535049277530769,2640,61
100.0,2,1.554003003531738,3399,61
100.0,-1,1.4850393281830119,0,61
0.01,0,2.087172134898665,2799,62
0.01,1,1.3365174348905056,2841,62
0.01,2,1.4691312993021586,3399,62
0.01,-1,1.6309402896971097,0,62
0.1,0,2.086547418072423,2799,62
0.1,1,1.3359981537818824,2841,62
0.1,2,1.4688204487279886,3399,62
0.1,-1,1.630455340194098,0,62
1.0,0,2.081835775046956,2799,62
1.0,1,1.333058653052575,2841,62
1.0,2,1.4663749182649612,3399,62
1.0,-1,1.6270897821214974,0,62
10.0,0,2.064353879934895,2799,62
10.0,1,1.3224531309694725,2841,62
10.0,2,1.455675604194921,3399,62
10.0,-1,1.6141608716997629,0,62
100.0,0,1.9966253575778083,2799,62
100.0,1,1.2576421479782174,2841,62
100.0,2,1.4048847698527522,3399,62
100.0,-1,1.5530507584695927,0,62
0.01,0,2.023563969134302,2799,63
0.01,1,1.3302446710809988,2841,63
0.01,2,1.456632479277829,4710,63
0.01,-1,1.6034803731643763,0,63
0.1,0,2.023836375328421,2799,63
0.1,1,1.3299915438697063,2841,63
0.1,2,1.4567374505535837,4710,63
0.1,-1,1.603521789917237,0,63
1.0,0,2.023776271165718,2799,63
1.0,1,1.3292704607958192,2841,63
1.0,2,1.4584996947681859,4710,63
1.0,-1,1.6038488089099079,0,63
10.0,0,2.0182929745374047,2799,63
10.0,1,1.3095142947217098,2841,63
10.0,2,1.4449481123804395,4710,63
10.0,-1,1.5909184605465179,0,63
100.0,0,1.988862581237273,2799,63
100.0,1,1.2626509051732446,2841,63
100.0,2,1.4012084858910816,4710,63
100.0,-1,1.550907324100533,0,63
0.01,0,1.9948488399171669,3018,65
0.01,1,1.3960708104854946,3534,65
0.01,2,1.4847632385444192,4710,65
0.01,-1,1.625227629649027,0,65
0.1,0,1.9945941697703429,3018,65
0.1,1,1.3960516379977832,3534,65
0.1,2,1.4846033884061876,4710,65
0.1,-1,1.625083065391438,0,65
1.0,0,1.9922194051896955,3018,65
1.0,1,1.3923105257549202,3534,65
1.0,2,1.4851848861741306,4710,65
1.0,-1,1.6232382723729153,0,65
10.0,0,1.9829611083917782,3018,65
10.0,1,1.3724500077330601,3534,65
10.0,2,1.4740626359930944,4710,65
10.0,-1,1.6098245840393108,0,65
100.0,0,1.938312214600422,3018,65
100.0,1,1.3248694982025044,3534,65
100.0,2,1.4386884563267448,4710,65
100.0,-1,1.5672900563765573,0,65
