run,depth_idx,negative_rows,positive_rows,matched_pairs,median_distance,p90_distance
31,0,6588,6588,41,0.5780369663184474,0.7424592060218671
31,1,94,94,5,0.7012586325410578,0.7634953794187499
31,2,34,34,0,,
31,3,18,18,0,,
32,0,6680,6680,49,0.678085742226753,0.7753194540472864
32,1,99,99,6,0.6966250068411719,0.757475074946008
32,2,31,31,0,,
32,3,18,18,0,,
33,0,11789,11789,21,0.7533153703952531,0.790369826547627
33,1,83,83,2,0.5917449734301335,0.6121937671300182
33,2,37,37,2,0.756159167165451,0.7638520624625524
33,3,24,24,0,,
34,0,8240,8240,12,0.7406617919785394,0.7717664026946562
34,1,58,58,4,0.716261172710791,0.774129992294227
34,2,29,29,0,,
34,3,18,18,1,0.44928535837723305,0.44928535837723305
35,0,2664,2664,46,0.529715274103095,0.7502958529553045
35,1,59,59,3,0.7865225307140196,0.7867430459453847
35,2,22,22,1,0.7880666243871345,0.7880666243871345
35,3,12,12,1,0.6768003843409846,0.6768003843409846
36,0,2380,2380,30,0.6292615044491352,0.7729262531457889
36,1,49,49,2,0.6004767982466171,0.6898704357775808
36,2,23,23,0,,
37,0,5491,5491,68,0.5018088379295554,0.7676948817159831
37,1,151,151,9,0.6483640114909943,0.7701564792474849
37,2,62,62,1,0.6566808107417986,0.6566808107417986
37,3,30,30,0,,
39,0,3138,3138,57,0.5730146520893756,0.7659024576907537
39,1,97,97,3,0.688346871929866,0.7604778898946458
39,2,37,37,0,,
39,3,19,19,0,,
40,0,3232,3232,66,0.6264306093143845,0.7702495349352987
40,1,100,100,4,0.6687012324066206,0.7289696584990322
40,2,42,42,2,0.6990865353226123,0.7132766475745542
40,3,20,20,0,,
41,0,3560,3560,55,0.5824018520924477,0.7305146614365499
41,1,116,116,3,0.76259879336952,0.7734789082520956
41,2,42,42,1,0.6873942692344217,0.6873942692344217
41,3,22,22,0,,
42,0,4072,4072,32,0.6379188981859243,0.7660556656832148
42,1,106,106,3,0.5570509821151122,0.6823483270580256
42,2,43,43,1,0.7503420621740511,0.7503420621740511
42,3,22,22,0,,
44,0,449,449,11,0.6469932536294571,0.7832583210826122
44,1,13,13,0,,
45,0,5463,5463,46,0.530339966844793,0.6766692564395724
45,1,148,148,3,0.7660481598346159,0.7931777649032509
45,2,53,53,0,,
45,3,30,30,0,,
46,0,167,167,2,0.7210433563370555,0.7247201060051048
47,0,1259,1259,15,0.6849015368907008,0.7868212579467732
47,1,12,12,0,,
48,0,3117,3117,70,0.5627601986138528,0.7086695376939048
48,1,91,91,1,0.7190232466682883,0.7190232466682883
48,2,36,36,0,,
48,3,17,17,0,,
49,0,3288,3288,64,0.6275476518550995,0.7576730926491148
49,1,94,94,3,0.6986163166044838,0.7451960555589933
49,2,41,41,0,,
49,3,19,19,0,,
50,0,8351,8351,61,0.6446579290959994,0.7574425425309135
50,1,101,101,1,0.6729748275448345,0.6729748275448345
50,2,45,45,2,0.7455789533149517,0.7501538916362619
50,3,26,26,2,0.5651223576641844,0.5777381467593647
51,0,3474,3474,28,0.6338052173165987,0.7664113254831667
51,1,44,44,1,0.7885356932768447,0.7885356932768447
51,2,21,21,0,,
51,3,12,12,0,,
52,0,1687,1687,14,0.7190167458949022,0.7550391244381512
52,1,22,22,0,,
53,0,7664,7664,31,0.6388853946871019,0.754344964550853
53,1,84,84,5,0.7476239522859366,0.7937646986083564
53,2,37,37,0,,
53,3,22,22,1,0.776095111857562,0.776095111857562
54,0,7238,7238,25,0.6265101512965586,0.7494954786955015
54,1,79,79,2,0.5760071970270526,0.6373254211356005
54,2,38,38,1,0.5688414348555717,0.5688414348555717
54,3,20,20,0,,
55,0,4090,4090,37,0.5805852226679161,0.7102204037334463
55,1,55,55,3,0.6567087092717048,0.7221247462542104
55,2,24,24,1,0.7660459142932867,0.7660459142932867
55,3,16,16,0,,
56,0,9469,9469,58,0.5980016711530078,0.7490978916000922
56,1,125,125,4,0.7780444884518379,0.7904366200731583
56,2,53,53,0,,
56,3,35,35,1,0.7037984358486391,0.7037984358486391
57,0,3038,3038,58,0.5936031396491817,0.7627812920906558
57,1,96,96,3,0.6190688679930858,0.6258014045803795
57,2,38,38,0,,
57,3,20,20,1,0.7071140036022537,0.7071140036022537
58,0,3803,3803,7,0.6978697772593015,0.7768101783072697
58,1,89,89,1,0.7649658485767347,0.7649658485767347
