cell,negative_rows,positive_rows,matched_pairs
31|0|1|0|0|0|0|0|5|1|0,34,0,0
31|0|1|0|0|0|0|0|5|1|1,46,0,0
31|0|1|0|0|0|0|0|5|1|2,6,0,0
31|0|1|0|0|0|0|0|5|1|3,2,0,0
31|0|1|0|0|0|1|0|0|0|0,1,0,0
31|0|1|0|0|0|1|0|0|0|1,1,0,0
31|0|1|0|0|0|1|0|0|1|0,5,0,0
31|0|1|0|0|0|1|0|0|1|1,10,0,0
31|0|1|0|0|0|1|0|0|1|2,2,0,0
31|0|1|0|0|0|1|0|0|1|3,1,0,0
31|0|1|0|0|0|1|0|1|0|0,4,0,0
31|0|1|0|0|0|1|0|1|1|0,3,0,0
31|0|1|0|0|0|1|0|1|1|1,7,0,0
31|0|1|0|0|0|1|0|1|1|2,2,0,0
31|0|1|0|0|0|1|0|2|0|0,4,0,0
31|0|1|0|0|0|1|0|2|0|1,2,0,0
31|0|1|0|0|0|1|0|2|1|0,2,0,0
31|0|1|0|0|0|1|0|2|1|1,3,0,0
31|0|1|0|0|0|1|0|3|0|0,5,0,0
31|0|1|0|0|0|1|0|3|0|5,1,0,0
31|0|1|0|0|0|1|0|3|1|0,1,0,0
31|0|1|0|0|0|1|0|3|1|1,6,0,0
31|0|1|0|0|0|1|0|4|0|0,8,0,0
31|0|1|0|0|0|1|0|4|0|1,3,0,0
31|0|1|0|0|0|1|0|4|0|5,1,0,0
31|0|1|0|0|0|1|0|4|1|0,5,0,0
31|0|1|0|0|0|1|0|4|1|1,7,0,0
31|0|1|0|0|0|1|0|4|1|2,2,0,0
31|0|1|0|0|0|1|0|5|0|0,1,0,0
31|0|1|0|0|0|1|0|5|1|0,3,0,0
31|0|1|0|0|0|1|0|5|1|1,5,0,0
31|0|1|0|0|0|1|0|5|1|2,1,0,0
31|0|1|0|0|0|1|1|0|0|0,47,0,0
31|0|1|0|0|0|1|1|0|0|1,6,0,0
31|0|1|0|0|0|1|1|0|0|2,1,0,0
31|0|1|0|0|0|1|1|0|0|5,3,0,0
31|0|1|0|0|0|1|1|0|1|0,102,0,0
31|0|1|0|0|0|1|1|0|1|1,255,0,0
31|0|1|0|0|0|1|1|0|1|2,37,0,0
31|0|1|0|0|0|1|1|0|1|3,3,0,0
31|0|1|0|0|0|1|1|0|1|4,1,0,0
31|0|1|0|0|0|1|1|0|2|0,5,0,0
31|0|1|0|0|0|1|1|0|2|1,51,0,0
31|0|1|0|0|0|1|1|0|2|2,13,0,0
31|0|1|0|0|0|1|1|0|2|3,3,0,0
31|0|1|0|0|0|1|1|0|2|4,2,0,0
31|0|1|0|0|0|1|1|0|3|1,6,0,0
31|0|1|0|0|0|1|1|0|3|2,4,0,0
31|0|1|0|0|0|1|1|0|3|3,2,0,0
31|0|1|0|0|0|1|1|0|3|5,1,0,0
31|0|1|0|0|0|1|1|0|4|4,1,0,0
31|0|1|0|0|0|1|1|1|0|0,38,0,0
31|0|1|0|0|0|1|1|1|0|1,12,0,0
31|0|1|0|0|0|1|1|1|0|2,1,0,0
31|0|1|0|0|0|1|1|1|0|5,3,0,0
31|0|1|0|0|0|1|1|1|1|0,84,0,0
31|0|1|0|0|0|1|1|1|1|1,190,0,0
31|0|1|0|0|0|1|1|1|1|2,26,0,0
31|0|1|0|0|0|1|1|1|1|3,5,0,0
31|0|1|0|0|0|1|1|1|1|4,2,0,0
31|0|1|0|0|0|1|1|1|1|5,1,0,0
31|0|1|0|0|0|1|1|1|2|0,6,0,0
31|0|1|0|0|0|1|1|1|2|1,49,0,0
31|0|1|0|0|0|1|1|1|2|2,14,0,0
31|0|1|0|0|0|1|1|1|2|3,1,0,0
31|0|1|0|0|0|1|1|1|2|4,2,0,0
31|0|1|0|0|0|1|1|1|3|0,2,0,0
31|0|1|0|0|0|1|1|1|3|1,1,0,0
31|0|1|0|0|0|1|1|1|3|2,4,0,0
31|0|1|0|0|0|1|1|1|3|3,2,0,0
31|0|1|0|0|0|1|1|2|0|0,33,0,0
31|0|1|0|0|0|1|1|2|0|1,5,0,0
31|0|1|0|0|0|1|1|2|0|5,2,0,0
31|0|1|0|0|0|1|1|2|1|0,87,0,0
31|0|1|0|0|0|1|1|2|1|1,168,0,0
31|0|1|0|0|0|1|1|2|1|2,44,0,0
31|0|1|0|0|0|1|1|2|1|3,2,0,0
31|0|1|0|0|0|1|1|2|2|0,3,0,0
31|0|1|0|0|0|1|1|2|2|1,46,0,0
31|0|1|0|0|0|1|1|2|2|2,7,0,0
31|0|1|0|0|0|1|1|2|2|3,2,0,0
31|0|1|0|0|0|1|1|2|2|4,5,0,0
31|0|1|0|0|0|1|1|2|2|5,1,0,0
31|0|1|0|0|0|1|1|2|3|0,1,0,0
31|0|1|0|0|0|1|1|2|3|1,3,0,0
