run,depth_idx,negative_rows,positive_rows,matched_pairs,median_distance,p90_distance
31,0,6588,6588,23,0.50061281217326,0.5416803030827465
31,1,94,94,1,0.39104047168154593,0.39104047168154593
31,2,34,34,0,,
31,3,18,18,0,,
32,0,6680,6680,32,0.4898223844004378,0.5364417113727298
32,1,99,99,2,0.5364467431422336,0.5459766520419121
32,2,31,31,0,,
32,3,18,18,0,,
33,0,11789,11789,2,0.411956684167036,0.44850148619244534
33,1,83,83,1,0.5370072408198386,0.5370072408198386
33,2,37,37,1,0.5146625140062626,0.5146625140062626
33,3,24,24,0,,
34,0,8240,8240,3,0.49438574923856793,0.5099133767038401
34,1,58,58,3,0.5372742215172941,0.5465036457809345
34,2,29,29,0,,
34,3,18,18,1,0.4843601616714281,0.4843601616714281
35,0,2664,2664,27,0.4879697169520532,0.5257629114007036
35,1,59,59,1,0.20743549921533316,0.20743549921533316
35,2,22,22,0,,
35,3,12,12,0,,
36,0,2380,2380,20,0.4567285737962816,0.538222507129073
36,1,49,49,1,0.4887347513329125,0.4887347513329125
36,2,23,23,0,,
37,0,5491,5491,50,0.4370476608777659,0.5336250187582214
37,1,151,151,3,0.40671761194689926,0.47572561304901
37,2,62,62,0,,
37,3,30,30,0,,
39,0,3138,3138,37,0.42556532332535074,0.5210975134265504
39,1,97,97,1,0.37472885086666363,0.37472885086666363
39,2,37,37,0,,
39,3,19,19,0,,
40,0,3232,3232,39,0.45998246829510503,0.5322948152988746
40,1,100,100,1,0.361958583917281,0.361958583917281
40,2,42,42,0,,
40,3,20,20,0,,
41,0,3560,3560,36,0.42681073403319036,0.5363827037892055
41,1,116,116,3,0.5348583691740395,0.5377755756189583
41,2,42,42,0,,
41,3,22,22,0,,
42,0,4072,4072,21,0.4832030369096267,0.5361364827950217
42,1,106,106,1,0.3725716790125475,0.3725716790125475
42,2,43,43,0,,
42,3,22,22,0,,
44,0,449,449,4,0.5126588317027834,0.5220323598923831
44,1,13,13,0,,
45,0,5463,5463,38,0.4558163214232458,0.5213587118890792
45,1,148,148,0,,
45,2,53,53,0,,
45,3,30,30,0,,
46,0,167,167,0,,
47,0,1259,1259,6,0.4776514234389474,0.5285254689080634
47,1,12,12,0,,
48,0,3117,3117,38,0.43417499297930345,0.5150430398162897
48,1,91,91,0,,
48,2,36,36,0,,
48,3,17,17,0,,
49,0,3288,3288,36,0.43595833650188676,0.5257970356995871
49,1,94,94,1,0.3232966161892929,0.3232966161892929
49,2,41,41,0,,
49,3,19,19,0,,
50,0,8351,8351,30,0.47709187079877957,0.5447076866696055
50,1,101,101,0,,
50,2,45,45,0,,
50,3,26,26,1,0.5493526212952089,0.5493526212952089
51,0,3474,3474,15,0.4889689053189991,0.536304394408204
51,1,44,44,0,,
51,2,21,21,0,,
51,3,12,12,0,,
52,0,1687,1687,6,0.5254735083173974,0.5473008892668975
52,1,22,22,0,,
53,0,7664,7664,17,0.5222629352181369,0.5462481713801715
53,1,84,84,4,0.5255831438185414,0.543471202032646
53,2,37,37,0,,
53,3,22,22,0,,
54,0,7238,7238,8,0.3913534924698904,0.5419267447231364
54,1,79,79,1,0.49935941689136754,0.49935941689136754
54,2,38,38,0,,
54,3,20,20,0,,
55,0,4090,4090,26,0.46510233857437855,0.5365359230306634
55,1,55,55,0,,
55,2,24,24,0,,
55,3,16,16,0,,
56,0,9469,9469,30,0.4988257793537363,0.5410291526842771
56,1,125,125,1,0.46282307860905475,0.46282307860905475
56,2,53,53,0,,
56,3,35,35,0,,
57,0,3038,3038,36,0.4603755622893733,0.5345006616978338
57,1,96,96,1,0.17833165714956586,0.17833165714956586
57,2,38,38,0,,
57,3,20,20,1,0.37528990832205866,0.37528990832205866
58,0,3803,3803,0,,
58,1,89,89,0,,
58,2,35,35,0,,
58,3,22,22,0,,
59,0,2260,2260,34,0.4092803627667505,0.47479218581723465
59,1,566,566,13,0.49248273583437796,0.5204888929743412
59,2,359,359,9,0.4578507319940326,0.49414418979519353
59,3,208,208,11,0.4686391230397302,0.5462405220129385
60,0,1468,1468,26,0.43683594174040885,0.4903802139746686
60,1,484,484,30,0.4544078564334061,0.5201022619381886
60,2,307,307,14,0.4886995337895172,0.5366110390301015
60,3,209,209,11,0.42830744647928914,0.512865224697972
61,0,1663,1663,33,0.4124139092789996,0.48565802714603207
61,1,500,500,25,0.4308321136017927,0.5309316949568559
61,2,350,350,11,0.4613890774486503,0.5402895150955342
61,3,243,243,12,0.5085478430848958,0.5327584564194813
62,0,1871,1871,35,0.42549450513746456,0.5050746802826306
62,1,489,489,16,0.4591187853741448,0.5126282449848261
62,2,339,339,14,0.4489076190475144,0.5179737672037352
62,3,211,211,9,0.4250372834264741,0.48912666453275455
63,0,2994,2994,39,0.40802124991229893,0.5236642560733561
63,1,373,373,5,0.4673067459815573,0.4948364432775633
63,2,176,176,3,0.5006483928440101,0.5151394077350799
63,3,100,100,1,0.4164000616070027,0.4164000616070027
64,0,2560,2560,30,0.4270485851045935,0.5317966169324683
64,1,248,248,6,0.46987856100036896,0.5357668935672211
64,2,110,110,2,0.41346639347510605,0.5173413868818852
64,3,60,60,0,,
65,0,2742,2742,36,0.36025381714232185,0.525368206543996
65,1,132,132,3,0.4478827145799232,0.49048632887300797
65,2,50,50,1,0.49298089830630865,0.49298089830630865
65,3,20,20,0,,
