run,depth_idx,weak_label_name,n
31,0,high_calibrated_range_energy_residual,6588
31,0,low_calibrated_range_energy_residual,6588
31,1,high_calibrated_range_energy_residual,94
31,1,low_calibrated_range_energy_residual,94
31,2,high_calibrated_range_energy_residual,34
31,2,low_calibrated_range_energy_residual,34
31,3,high_calibrated_range_energy_residual,18
31,3,low_calibrated_range_energy_residual,18
32,0,high_calibrated_range_energy_residual,6680
32,0,low_calibrated_range_energy_residual,6680
32,1,high_calibrated_range_energy_residual,99
32,1,low_calibrated_range_energy_residual,99
32,2,high_calibrated_range_energy_residual,31
32,2,low_calibrated_range_energy_residual,31
32,3,high_calibrated_range_energy_residual,18
32,3,low_calibrated_range_energy_residual,18
33,0,high_calibrated_range_energy_residual,11789
33,0,low_calibrated_range_energy_residual,11789
33,1,high_calibrated_range_energy_residual,83
33,1,low_calibrated_range_energy_residual,83
33,2,high_calibrated_range_energy_residual,37
33,2,low_calibrated_range_energy_residual,37
33,3,high_calibrated_range_energy_residual,24
33,3,low_calibrated_range_energy_residual,24
34,0,high_calibrated_range_energy_residual,8240
34,0,low_calibrated_range_energy_residual,8240
34,1,high_calibrated_range_energy_residual,58
34,1,low_calibrated_range_energy_residual,58
34,2,high_calibrated_range_energy_residual,29
34,2,low_calibrated_range_energy_residual,29
34,3,high_calibrated_range_energy_residual,18
34,3,low_calibrated_range_energy_residual,18
35,0,high_calibrated_range_energy_residual,2664
35,0,low_calibrated_range_energy_residual,2664
35,1,high_calibrated_range_energy_residual,59
35,1,low_calibrated_range_energy_residual,59
35,2,high_calibrated_range_energy_residual,22
35,2,low_calibrated_range_energy_residual,22
35,3,high_calibrated_range_energy_residual,12
35,3,low_calibrated_range_energy_residual,12
36,0,high_calibrated_range_energy_residual,2380
36,0,low_calibrated_range_energy_residual,2380
36,1,high_calibrated_range_energy_residual,49
36,1,low_calibrated_range_energy_residual,49
36,2,high_calibrated_range_energy_residual,23
36,2,low_calibrated_range_energy_residual,23
37,0,high_calibrated_range_energy_residual,5491
37,0,low_calibrated_range_energy_residual,5491
37,1,high_calibrated_range_energy_residual,151
37,1,low_calibrated_range_energy_residual,151
37,2,high_calibrated_range_energy_residual,62
37,2,low_calibrated_range_energy_residual,62
37,3,high_calibrated_range_energy_residual,30
37,3,low_calibrated_range_energy_residual,30
39,0,high_calibrated_range_energy_residual,3138
39,0,low_calibrated_range_energy_residual,3138
39,1,high_calibrated_range_energy_residual,97
39,1,low_calibrated_range_energy_residual,97
39,2,high_calibrated_range_energy_residual,37
39,2,low_calibrated_range_energy_residual,37
39,3,high_calibrated_range_energy_residual,19
39,3,low_calibrated_range_energy_residual,19
40,0,high_calibrated_range_energy_residual,3232
40,0,low_calibrated_range_energy_residual,3232
40,1,high_calibrated_range_energy_residual,100
40,1,low_calibrated_range_energy_residual,100
40,2,high_calibrated_range_energy_residual,42
40,2,low_calibrated_range_energy_residual,42
40,3,high_calibrated_range_energy_residual,20
40,3,low_calibrated_range_energy_residual,20
41,0,high_calibrated_range_energy_residual,3560
41,0,low_calibrated_range_energy_residual,3560
41,1,high_calibrated_range_energy_residual,116
41,1,low_calibrated_range_energy_residual,116
41,2,high_calibrated_range_energy_residual,42
41,2,low_calibrated_range_energy_residual,42
41,3,high_calibrated_range_energy_residual,22
41,3,low_calibrated_range_energy_residual,22
42,0,high_calibrated_range_energy_residual,4072
42,0,low_calibrated_range_energy_residual,4072
42,1,high_calibrated_range_energy_residual,106
42,1,low_calibrated_range_energy_residual,106
42,2,high_calibrated_range_energy_residual,43
42,2,low_calibrated_range_energy_residual,43
42,3,high_calibrated_range_energy_residual,22
42,3,low_calibrated_range_energy_residual,22
44,0,high_calibrated_range_energy_residual,449
44,0,low_calibrated_range_energy_residual,449
44,1,high_calibrated_range_energy_residual,13
44,1,low_calibrated_range_energy_residual,13
45,0,high_calibrated_range_energy_residual,5463
45,0,low_calibrated_range_energy_residual,5463
45,1,high_calibrated_range_energy_residual,148
45,1,low_calibrated_range_energy_residual,148
45,2,high_calibrated_range_energy_residual,53
45,2,low_calibrated_range_energy_residual,53
45,3,high_calibrated_range_energy_residual,30
45,3,low_calibrated_range_energy_residual,30
46,0,high_calibrated_range_energy_residual,167
46,0,low_calibrated_range_energy_residual,167
47,0,high_calibrated_range_energy_residual,1259
47,0,low_calibrated_range_energy_residual,1259
47,1,high_calibrated_range_energy_residual,12
47,1,low_calibrated_range_energy_residual,12
48,0,high_calibrated_range_energy_residual,3117
48,0,low_calibrated_range_energy_residual,3117
48,1,high_calibrated_range_energy_residual,91
48,1,low_calibrated_range_energy_residual,91
48,2,high_calibrated_range_energy_residual,36
48,2,low_calibrated_range_energy_residual,36
48,3,high_calibrated_range_energy_residual,17
48,3,low_calibrated_range_energy_residual,17
49,0,high_calibrated_range_energy_residual,3288
49,0,low_calibrated_range_energy_residual,3288
49,1,high_calibrated_range_energy_residual,94
49,1,low_calibrated_range_energy_residual,94
49,2,high_calibrated_range_energy_residual,41
49,2,low_calibrated_range_energy_residual,41
49,3,high_calibrated_range_energy_residual,19
49,3,low_calibrated_range_energy_residual,19
50,0,high_calibrated_range_energy_residual,8351
50,0,low_calibrated_range_energy_residual,8351
50,1,high_calibrated_range_energy_residual,101
50,1,low_calibrated_range_energy_residual,101
50,2,high_calibrated_range_energy_residual,45
50,2,low_calibrated_range_energy_residual,45
50,3,high_calibrated_range_energy_residual,26
50,3,low_calibrated_range_energy_residual,26
51,0,high_calibrated_range_energy_residual,3474
51,0,low_calibrated_range_energy_residual,3474
51,1,high_calibrated_range_energy_residual,44
51,1,low_calibrated_range_energy_residual,44
51,2,high_calibrated_range_energy_residual,21
51,2,low_calibrated_range_energy_residual,21
51,3,high_calibrated_range_energy_residual,12
51,3,low_calibrated_range_energy_residual,12
52,0,high_calibrated_range_energy_residual,1687
52,0,low_calibrated_range_energy_residual,1687
52,1,high_calibrated_range_energy_residual,22
52,1,low_calibrated_range_energy_residual,22
53,0,high_calibrated_range_energy_residual,7664
53,0,low_calibrated_range_energy_residual,7664
53,1,high_calibrated_range_energy_residual,84
53,1,low_calibrated_range_energy_residual,84
53,2,high_calibrated_range_energy_residual,37
53,2,low_calibrated_range_energy_residual,37
53,3,high_calibrated_range_energy_residual,22
53,3,low_calibrated_range_energy_residual,22
54,0,high_calibrated_range_energy_residual,7238
54,0,low_calibrated_range_energy_residual,7238
54,1,high_calibrated_range_energy_residual,79
54,1,low_calibrated_range_energy_residual,79
54,2,high_calibrated_range_energy_residual,38
54,2,low_calibrated_range_energy_residual,38
54,3,high_calibrated_range_energy_residual,20
54,3,low_calibrated_range_energy_residual,20
55,0,high_calibrated_range_energy_residual,4090
55,0,low_calibrated_range_energy_residual,4090
55,1,high_calibrated_range_energy_residual,55
55,1,low_calibrated_range_energy_residual,55
55,2,high_calibrated_range_energy_residual,24
55,2,low_calibrated_range_energy_residual,24
55,3,high_calibrated_range_energy_residual,16
55,3,low_calibrated_range_energy_residual,16
56,0,high_calibrated_range_energy_residual,9469
56,0,low_calibrated_range_energy_residual,9469
56,1,high_calibrated_range_energy_residual,125
56,1,low_calibrated_range_energy_residual,125
56,2,high_calibrated_range_energy_residual,53
56,2,low_calibrated_range_energy_residual,53
56,3,high_calibrated_range_energy_residual,35
56,3,low_calibrated_range_energy_residual,35
57,0,high_calibrated_range_energy_residual,3038
57,0,low_calibrated_range_energy_residual,3038
57,1,high_calibrated_range_energy_residual,96
57,1,low_calibrated_range_energy_residual,96
57,2,high_calibrated_range_energy_residual,38
57,2,low_calibrated_range_energy_residual,38
57,3,high_calibrated_range_energy_residual,20
57,3,low_calibrated_range_energy_residual,20
58,0,high_calibrated_range_energy_residual,3803
58,0,low_calibrated_range_energy_residual,3803
58,1,high_calibrated_range_energy_residual,89
58,1,low_calibrated_range_energy_residual,89
58,2,high_calibrated_range_energy_residual,35
58,2,low_calibrated_range_energy_residual,35
58,3,high_calibrated_range_energy_residual,22
58,3,low_calibrated_range_energy_residual,22
59,0,high_calibrated_range_energy_residual,2260
59,0,low_calibrated_range_energy_residual,2260
59,1,high_calibrated_range_energy_residual,566
59,1,low_calibrated_range_energy_residual,566
59,2,high_calibrated_range_energy_residual,359
59,2,low_calibrated_range_energy_residual,359
59,3,high_calibrated_range_energy_residual,208
59,3,low_calibrated_range_energy_residual,208
60,0,high_calibrated_range_energy_residual,1468
60,0,low_calibrated_range_energy_residual,1468
60,1,high_calibrated_range_energy_residual,484
60,1,low_calibrated_range_energy_residual,484
60,2,high_calibrated_range_energy_residual,307
60,2,low_calibrated_range_energy_residual,307
60,3,high_calibrated_range_energy_residual,209
60,3,low_calibrated_range_energy_residual,209
61,0,high_calibrated_range_energy_residual,1663
61,0,low_calibrated_range_energy_residual,1663
61,1,high_calibrated_range_energy_residual,500
61,1,low_calibrated_range_energy_residual,500
61,2,high_calibrated_range_energy_residual,350
61,2,low_calibrated_range_energy_residual,350
61,3,high_calibrated_range_energy_residual,243
61,3,low_calibrated_range_energy_residual,243
62,0,high_calibrated_range_energy_residual,1871
62,0,low_calibrated_range_energy_residual,1871
62,1,high_calibrated_range_energy_residual,489
62,1,low_calibrated_range_energy_residual,489
62,2,high_calibrated_range_energy_residual,339
62,2,low_calibrated_range_energy_residual,339
62,3,high_calibrated_range_energy_residual,211
62,3,low_calibrated_range_energy_residual,211
63,0,high_calibrated_range_energy_residual,2994
63,0,low_calibrated_range_energy_residual,2994
63,1,high_calibrated_range_energy_residual,373
63,1,low_calibrated_range_energy_residual,373
63,2,high_calibrated_range_energy_residual,176
63,2,low_calibrated_range_energy_residual,176
63,3,high_calibrated_range_energy_residual,100
63,3,low_calibrated_range_energy_residual,100
64,0,high_calibrated_range_energy_residual,2560
64,0,low_calibrated_range_energy_residual,2560
64,1,high_calibrated_range_energy_residual,248
64,1,low_calibrated_range_energy_residual,248
64,2,high_calibrated_range_energy_residual,110
64,2,low_calibrated_range_energy_residual,110
64,3,high_calibrated_range_energy_residual,60
64,3,low_calibrated_range_energy_residual,60
65,0,high_calibrated_range_energy_residual,2742
65,0,low_calibrated_range_energy_residual,2742
65,1,high_calibrated_range_energy_residual,132
65,1,low_calibrated_range_energy_residual,132
65,2,high_calibrated_range_energy_residual,50
65,2,low_calibrated_range_energy_residual,50
65,3,high_calibrated_range_energy_residual,20
65,3,low_calibrated_range_energy_residual,20
