heldout_run,status,train_negative,train_positive,test_negative,test_positive
31,evaluated,1015,1015,24,24
32,evaluated,1005,1005,34,34
33,skipped,1035,1035,4,4
34,evaluated,1032,1032,7,7
35,evaluated,1011,1011,28,28
36,evaluated,1018,1018,21,21
37,evaluated,986,986,53,53
39,evaluated,1001,1001,38,38
40,evaluated,999,999,40,40
41,evaluated,1000,1000,39,39
42,evaluated,1017,1017,22,22
44,skipped,1035,1035,4,4
45,evaluated,1001,1001,38,38
47,evaluated,1033,1033,6,6
48,evaluated,1001,1001,38,38
49,evaluated,1002,1002,37,37
50,evaluated,1008,1008,31,31
51,evaluated,1024,1024,15,15
52,evaluated,1033,1033,6,6
53,evaluated,1018,1018,21,21
54,evaluated,1030,1030,9,9
55,evaluated,1013,1013,26,26
56,evaluated,1008,1008,31,31
57,evaluated,1001,1001,38,38
59,evaluated,972,972,67,67
60,evaluated,958,958,81,81
61,evaluated,958,958,81,81
62,evaluated,965,965,74,74
63,evaluated,991,991,48,48
64,evaluated,1001,1001,38,38
65,evaluated,999,999,40,40
