method,pid_proxy,pedestal_bin,pileup_bin,saturation_bin,n_pair_residuals,timing_sigma68_ns,ci_low,ci_high
trapezoid_template,low_dE_proxy,0,mild_pileup,unsaturated_proxy,255,1.8374047966003424,1.8374047966003424,2.411992363136523
trapezoid_template,mid_dE_proxy,0,mild_pileup,unsaturated_proxy,1410,2.5618726770041027,2.30335200423507,2.6402709778982376
trapezoid_template,mid_dE_proxy,0,single_like,unsaturated_proxy,69,1.8374047966003424,1.8374047966003424,1.8374047966003424
ridge,low_dE_proxy,0,mild_pileup,unsaturated_proxy,255,1.5359444174062702,1.3356739536686209,1.6136929075893627
ridge,mid_dE_proxy,0,mild_pileup,unsaturated_proxy,1410,1.5597010647452825,1.4781948765229687,1.588691229779616
ridge,mid_dE_proxy,0,single_like,unsaturated_proxy,69,1.1400097980123995,1.0885208211526085,1.2128377385902205
gradient_boosted_trees,low_dE_proxy,0,mild_pileup,unsaturated_proxy,255,1.0150435583728374,0.9568571463683639,1.1155002336371003
gradient_boosted_trees,mid_dE_proxy,0,mild_pileup,unsaturated_proxy,1410,1.490934482465244,1.3220133070280782,1.5508841146188126
gradient_boosted_trees,mid_dE_proxy,0,single_like,unsaturated_proxy,69,1.302854787557852,1.080838660299193,1.4875106002711576
mlp,low_dE_proxy,0,mild_pileup,unsaturated_proxy,255,1.1034250399038463,1.032261387761363,1.159869558395463
mlp,mid_dE_proxy,0,mild_pileup,unsaturated_proxy,1410,1.4343781915823075,1.3857758344758382,1.491030929432861
mlp,mid_dE_proxy,0,single_like,unsaturated_proxy,69,0.9422503473250164,0.8594462932249984,0.9959515107764816
cnn_1d,low_dE_proxy,0,mild_pileup,unsaturated_proxy,255,1.1201856021076895,0.9817883868187365,1.1714194178679078
cnn_1d,mid_dE_proxy,0,mild_pileup,unsaturated_proxy,1410,1.4328565338497614,1.3259400778895902,1.4671325101039812
cnn_1d,mid_dE_proxy,0,single_like,unsaturated_proxy,69,1.2539454104748062,1.0807246489444957,1.4047973997922985
compact_waveform_transformer,low_dE_proxy,0,mild_pileup,unsaturated_proxy,255,0.922045224331662,0.9166763628753539,0.9403993339481966
compact_waveform_transformer,mid_dE_proxy,0,mild_pileup,unsaturated_proxy,1410,1.4272698351892426,1.3136467959036748,1.5262732351806623
compact_waveform_transformer,mid_dE_proxy,0,single_like,unsaturated_proxy,69,1.1573728432577721,0.914770209032374,1.3329830966286025
phase_conditioned_residual_fusion,low_dE_proxy,0,mild_pileup,unsaturated_proxy,255,0.97909030606371,0.9309361801323458,1.0203363811597714
phase_conditioned_residual_fusion,mid_dE_proxy,0,mild_pileup,unsaturated_proxy,1410,1.4159476339081236,1.2950403243752526,1.4698974465558616
phase_conditioned_residual_fusion,mid_dE_proxy,0,single_like,unsaturated_proxy,69,1.200078283620463,1.020926271224978,1.3140553099442684
