method,family,timing_sigma68_ns,timing_sigma68_ci_low,timing_sigma68_ci_high,energy_resolution_area_norm_proxy,energy_proxy_ci_low,energy_proxy_ci_high,pid_confusion_proxy_sigma68_spread,pileup_detection_proxy_sigma68_delta,pedestal_transfer_robustness_sigma68_spread,saturation_mask_sigma68_spread,joint_loss_score
phase_conditioned_residual_fusion,new_architecture,1.3147528435367175,1.2623084700744904,1.3503976199508203,0.0,0.0,0.0,0.3289226527005835,-0.002559313634546312,0.0,0.01856071082049615,1.3488290757112553
compact_waveform_transformer,neural_attention,1.326888075789141,1.244478948301431,1.3800683904306026,0.0,0.0,0.0,0.3702761148918453,0.017284686502680335,0.0,0.03883204455720102,1.3675857581564537
mlp,neural_mlp,1.3854106093809893,1.3215558616588836,1.407066801717198,0.0,0.0,0.0,0.08488922954981559,0.3266512684180606,0.0,0.011025352084618856,1.427115926782008
gradient_boosted_trees,tree_ml,1.3933885047952188,1.3411404899950805,1.4180427658602297,0.0,0.0,0.0,0.38185107663871043,-0.04986576713881141,0.0,0.015323392894950327,1.4373263588177188
cnn_1d,neural_cnn,1.4514685902050488,1.3113538119340484,1.493949016621807,0.0,0.0,0.0,0.22321537005459424,0.022575657503919322,0.0,0.024847181362106285,1.4772900520290053
ridge,linear_ml,1.5854052619616197,1.4806191881406616,1.611966632627149,0.0,0.0,0.0,0.1860889860274293,0.4078129430633768,0.0,0.0039002769464473452,1.6449904687180226
trapezoid_template,traditional,2.3356193586271403,1.93595869331471,2.4968232086431152,0.0,0.0,0.0,0.36223394020188016,0.36223394020188016,0.0,0.04303667703740599,2.410217980519387
