method,mask,n_pulses,n_pair_residuals,timing_sigma68_ns,ci_low,ci_high
trapezoid_template,amplitude_adc_lt_3600,64079,3780,2.40454324851327,2.150646590860514,2.449719149672727
ridge,amplitude_adc_lt_3600,64079,3780,1.5566695001027337,1.4509102529368765,1.6006158078709212
gradient_boosted_trees,amplitude_adc_lt_3600,64079,3780,1.3361263496779403,1.2600313639057008,1.3817332182525195
mlp,amplitude_adc_lt_3600,64079,3780,1.3267163739500356,1.2721872987454022,1.3810983693883974
cnn_1d,amplitude_adc_lt_3600,64079,3780,1.383273080648584,1.304442658923288,1.4499548410737055
compact_waveform_transformer,amplitude_adc_lt_3600,64079,3780,1.2496981780754455,1.1835889834114803,1.345808616346966
phase_conditioned_residual_fusion,amplitude_adc_lt_3600,64079,3780,1.2569843198887605,1.2126773708155378,1.3193671017904889
trapezoid_template,amplitude_adc_lt_3800,69247,4233,2.375097130193799,2.043132628490625,2.4268206636757266
ridge,amplitude_adc_lt_3800,69247,4233,1.554971346795941,1.4226402533609872,1.5903094188995934
gradient_boosted_trees,amplitude_adc_lt_3800,69247,4233,1.3433912933066539,1.2759068394971398,1.390074634830057
mlp,amplitude_adc_lt_3800,69247,4233,1.3306947553582917,1.29513987247673,1.3788534810754036
cnn_1d,amplitude_adc_lt_3800,69247,4233,1.405779927367942,1.3172192400691463,1.4646153796174926
compact_waveform_transformer,amplitude_adc_lt_3800,69247,4233,1.2710453514324798,1.2066231001823355,1.3780365708859765
phase_conditioned_residual_fusion,amplitude_adc_lt_3800,69247,4233,1.2676294552365697,1.2133298527326486,1.3281499207098533
trapezoid_template,amplitude_adc_lt_4000,73862,4587,2.361506571475864,2.0292748523047575,2.406268631686127
ridge,amplitude_adc_lt_4000,73862,4587,1.5588716237423885,1.4601773799544855,1.5897739816984386
gradient_boosted_trees,amplitude_adc_lt_4000,73862,4587,1.3514497425728906,1.2654543793293866,1.3907483469518274
mlp,amplitude_adc_lt_4000,73862,4587,1.3377417260346545,1.3135257970853242,1.3714458560439773
cnn_1d,amplitude_adc_lt_4000,73862,4587,1.4081202620106905,1.311215311645766,1.4606898388930505
compact_waveform_transformer,amplitude_adc_lt_4000,73862,4587,1.2885302226326467,1.203955437920951,1.3349342064352687
phase_conditioned_residual_fusion,amplitude_adc_lt_4000,73862,4587,1.2755450307092566,1.2197491858865546,1.3340146814867018
