run,lowering_stratum,n
31,s16_large_lowering,317
31,s16_mild_lowering,9657
31,s16_no_lowering,29274
32,s16_large_lowering,353
32,s16_mild_lowering,11068
32,s16_no_lowering,32931
33,s16_large_lowering,133
33,s16_mild_lowering,7691
33,s16_no_lowering,22924
34,s16_large_lowering,53
34,s16_mild_lowering,5416
34,s16_no_lowering,15103
35,s16_large_lowering,311
35,s16_mild_lowering,13577
35,s16_no_lowering,37924
36,s16_large_lowering,232
36,s16_mild_lowering,9541
36,s16_no_lowering,26315
37,s16_large_lowering,728
37,s16_mild_lowering,21376
37,s16_no_lowering,58276
39,s16_large_lowering,463
39,s16_mild_lowering,13879
39,s16_no_lowering,35130
40,s16_large_lowering,477
40,s16_mild_lowering,16419
40,s16_no_lowering,37376
41,s16_large_lowering,450
41,s16_mild_lowering,16240
41,s16_no_lowering,37730
42,s16_large_lowering,458
42,s16_mild_lowering,14664
42,s16_no_lowering,32878
44,s16_large_lowering,66
44,s16_mild_lowering,2044
44,s16_no_lowering,4838
45,s16_large_lowering,615
45,s16_mild_lowering,21439
45,s16_no_lowering,49682
46,s16_large_lowering,6
46,s16_mild_lowering,728
46,s16_no_lowering,1698
47,s16_large_lowering,62
47,s16_mild_lowering,5099
47,s16_no_lowering,13223
48,s16_large_lowering,450
48,s16_mild_lowering,15977
48,s16_no_lowering,37381
49,s16_large_lowering,468
49,s16_mild_lowering,16152
49,s16_no_lowering,36476
50,s16_large_lowering,171
50,s16_mild_lowering,9772
50,s16_no_lowering,22109
51,s16_large_lowering,130
51,s16_mild_lowering,5682
51,s16_no_lowering,12804
52,s16_large_lowering,60
52,s16_mild_lowering,2817
52,s16_no_lowering,6319
53,s16_large_lowering,154
53,s16_mild_lowering,7755
53,s16_no_lowering,17071
54,s16_large_lowering,123
54,s16_mild_lowering,7312
54,s16_no_lowering,16165
55,s16_large_lowering,184
55,s16_mild_lowering,6995
55,s16_no_lowering,15345
56,s16_large_lowering,230
56,s16_mild_lowering,12572
56,s16_no_lowering,25918
57,s16_large_lowering,471
57,s16_mild_lowering,17107
57,s16_no_lowering,34910
58,s16_large_lowering,100
58,s16_mild_lowering,18767
58,s16_no_lowering,39077
59,s16_large_lowering,179
59,s16_mild_lowering,29357
59,s16_no_lowering,58548
60,s16_large_lowering,199
60,s16_mild_lowering,26832
60,s16_no_lowering,53725
61,s16_large_lowering,159
61,s16_mild_lowering,26289
61,s16_no_lowering,52312
62,s16_large_lowering,158
62,s16_mild_lowering,26374
62,s16_no_lowering,52016
63,s16_large_lowering,112
63,s16_mild_lowering,22743
63,s16_no_lowering,46313
64,s16_large_lowering,124
64,s16_mild_lowering,24735
64,s16_no_lowering,49737
65,s16_large_lowering,135
65,s16_mild_lowering,27816
65,s16_no_lowering,54117
