run,lowering_stratum,n
31,s16_large_lowering,1634
31,s16_mild_lowering,435
31,s16_no_lowering,25802
32,s16_large_lowering,1736
32,s16_mild_lowering,496
32,s16_no_lowering,26008
33,s16_large_lowering,943
33,s16_mild_lowering,424
33,s16_no_lowering,47370
34,s16_large_lowering,603
34,s16_mild_lowering,324
34,s16_no_lowering,33191
35,s16_large_lowering,1161
35,s16_mild_lowering,385
35,s16_no_lowering,10121
36,s16_large_lowering,1050
36,s16_mild_lowering,296
36,s16_no_lowering,9045
37,s16_large_lowering,3050
37,s16_mild_lowering,851
37,s16_no_lowering,20636
39,s16_large_lowering,1903
39,s16_mild_lowering,519
39,s16_no_lowering,11796
40,s16_large_lowering,1988
40,s16_mild_lowering,598
40,s16_no_lowering,12122
41,s16_large_lowering,2063
41,s16_mild_lowering,585
41,s16_no_lowering,13498
42,s16_large_lowering,2038
42,s16_mild_lowering,579
42,s16_no_lowering,15495
44,s16_large_lowering,257
44,s16_mild_lowering,90
44,s16_no_lowering,1691
45,s16_large_lowering,2990
45,s16_mild_lowering,812
45,s16_no_lowering,20531
46,s16_large_lowering,37
46,s16_mild_lowering,11
46,s16_no_lowering,639
47,s16_large_lowering,263
47,s16_mild_lowering,86
47,s16_no_lowering,4927
48,s16_large_lowering,1791
48,s16_mild_lowering,521
48,s16_no_lowering,11688
49,s16_large_lowering,1938
49,s16_mild_lowering,592
49,s16_no_lowering,12285
50,s16_large_lowering,1244
50,s16_mild_lowering,512
50,s16_no_lowering,33461
51,s16_large_lowering,737
51,s16_mild_lowering,261
51,s16_no_lowering,13742
52,s16_large_lowering,341
52,s16_mild_lowering,157
52,s16_no_lowering,6654
53,s16_large_lowering,1154
53,s16_mild_lowering,479
53,s16_no_lowering,30567
54,s16_large_lowering,985
54,s16_mild_lowering,447
54,s16_no_lowering,29008
55,s16_large_lowering,946
55,s16_mild_lowering,330
55,s16_no_lowering,16111
56,s16_large_lowering,1566
56,s16_mild_lowering,641
56,s16_no_lowering,37941
57,s16_large_lowering,1753
57,s16_mild_lowering,579
57,s16_no_lowering,11501
58,s16_large_lowering,504
58,s16_mild_lowering,367
58,s16_no_lowering,15910
59,s16_large_lowering,3510
59,s16_mild_lowering,1555
59,s16_no_lowering,16312
60,s16_large_lowering,2542
60,s16_mild_lowering,1057
60,s16_no_lowering,13430
61,s16_large_lowering,2713
61,s16_mild_lowering,1201
61,s16_no_lowering,15051
62,s16_large_lowering,2833
62,s16_mild_lowering,1229
62,s16_no_lowering,15027
63,s16_large_lowering,2464
63,s16_mild_lowering,1014
63,s16_no_lowering,15339
64,s16_large_lowering,1729
64,s16_mild_lowering,765
64,s16_no_lowering,12136
65,s16_large_lowering,1235
65,s16_mild_lowering,651
65,s16_no_lowering,11152
