run,stave,amplitude_adc,lowering_stratum,large_lowering,ml_large_lowering_probability
65,B2,1264.5,s16_no_lowering,0,0.000123367316116257
57,B4,3290.5,s16_no_lowering,0,0.06222546308632028
65,B2,7031.0,s16_large_lowering,1,0.9999999957369861
65,B2,2823.0,s16_no_lowering,0,0.001629361716005063
65,B2,1061.5,s16_no_lowering,0,0.00012092130318376138
57,B2,2086.0,s16_no_lowering,0,0.001492381526225215
57,B4,2472.5,s16_no_lowering,0,0.00226543531750067
65,B2,1401.0,s16_large_lowering,1,0.9990120663574277
57,B2,3881.5,s16_no_lowering,0,0.005413229474952083
57,B2,1431.5,s16_large_lowering,1,1.0
65,B2,4042.5,s16_no_lowering,0,0.008528641414700644
65,B2,4546.5,s16_no_lowering,0,0.010390865714253447
57,B2,4090.5,s16_no_lowering,0,0.005457591671180913
65,B2,4584.0,s16_no_lowering,0,0.015552476603259547
57,B2,3906.0,s16_no_lowering,0,0.0066747973854709
57,B2,1173.0,s16_large_lowering,1,1.0
57,B2,1736.5,s16_large_lowering,1,1.0
65,B2,1116.5,s16_large_lowering,1,1.0
57,B2,2644.5,s16_no_lowering,0,0.0013605100339534595
65,B2,1095.5,s16_large_lowering,1,1.0
57,B2,4066.5,s16_no_lowering,0,0.008925677533380916
57,B2,6100.0,s16_no_lowering,0,0.02547771836216283
65,B2,4273.0,s16_no_lowering,0,0.3136600739817078
57,B2,9354.0,s16_no_lowering,0,0.08953340427076371
65,B2,5845.5,s16_large_lowering,1,0.9999824997577048
57,B2,3754.0,s16_large_lowering,1,0.999999999450172
57,B2,4662.5,s16_no_lowering,0,0.006519125369014887
65,B2,1643.5,s16_large_lowering,1,1.0
65,B2,3466.0,s16_no_lowering,0,0.005356865850720307
57,B2,1032.5,s16_large_lowering,1,1.0
65,B4,5483.0,s16_no_lowering,0,0.35385853775911447
57,B4,1555.5,s16_large_lowering,1,1.0
57,B2,5671.0,s16_no_lowering,0,0.02824308985937396
65,B2,1180.0,s16_no_lowering,0,0.00028139959948514885
65,B2,1495.5,s16_no_lowering,0,0.00021331359168680176
57,B2,1048.0,s16_large_lowering,1,1.0
65,B2,5386.5,s16_large_lowering,1,0.9999998276306115
57,B2,3557.0,s16_no_lowering,0,0.005057519852032831
57,B2,9454.5,s16_large_lowering,1,0.7759493621660982
65,B2,1519.0,s16_large_lowering,1,1.0
65,B2,4445.0,s16_no_lowering,0,0.0071222640374437336
57,B2,1709.5,s16_no_lowering,0,0.0003107749259575148
65,B4,3123.0,s16_no_lowering,0,0.009643376044050881
65,B2,2408.0,s16_no_lowering,0,0.0021461019492647216
65,B2,4891.0,s16_no_lowering,0,0.012300365553531265
65,B2,5398.5,s16_no_lowering,0,0.01528225695856674
57,B2,1263.5,s16_large_lowering,1,1.0
57,B2,7141.0,s16_large_lowering,1,0.10702945893195671
65,B2,1468.5,s16_large_lowering,1,1.0
65,B2,6453.0,s16_no_lowering,0,0.028166599138493953
57,B2,3072.0,s16_no_lowering,0,0.0022096833276109744
57,B2,6003.0,s16_no_lowering,0,0.033613300786445206
65,B2,3813.5,s16_no_lowering,0,0.006083183428370911
65,B2,1630.0,s16_large_lowering,1,0.9999999999998355
65,B2,3056.5,s16_large_lowering,1,0.9999999996699911
65,B2,4000.0,s16_large_lowering,1,1.0
57,B2,3168.0,s16_large_lowering,1,0.9999834199222378
57,B2,3650.0,s16_large_lowering,1,1.0
65,B2,2725.0,s16_no_lowering,0,0.0017250304690096428
57,B2,4624.5,s16_large_lowering,1,0.9999999907484266
65,B2,4748.5,s16_no_lowering,0,0.013534428702004858
65,B2,4033.0,s16_large_lowering,1,0.9748078943526275
57,B2,1390.5,s16_no_lowering,0,0.0004443433320721464
57,B2,5994.0,s16_no_lowering,0,0.017836597003935906
65,B2,2236.5,s16_no_lowering,0,0.0011576750483518648
57,B4,2661.0,s16_no_lowering,0,0.0011176996446576526
57,B2,3562.0,s16_mild_lowering,0,0.8336682020071592
57,B2,1278.0,s16_large_lowering,1,1.0
65,B2,5593.5,s16_no_lowering,0,0.015498186535905761
57,B2,4831.5,s16_no_lowering,0,0.024964516816929447
57,B2,6526.5,s16_no_lowering,0,0.031334456053099785
65,B8,3823.5,s16_mild_lowering,0,0.24854054730484207
57,B2,2366.0,s16_large_lowering,1,1.0
65,B6,3056.0,s16_no_lowering,0,0.03164966139299856
57,B2,2782.0,s16_large_lowering,1,0.9999955953303437
65,B2,3263.0,s16_no_lowering,0,0.00402432577954234
57,B2,6727.5,s16_no_lowering,0,0.12466799200077798
65,B2,4935.5,s16_no_lowering,0,0.025436060743196254
65,B4,3135.5,s16_no_lowering,0,0.05965504464389472
65,B2,3329.5,s16_no_lowering,0,0.005647350323849223
65,B2,2501.0,s16_no_lowering,0,0.0012208264722768833
65,B2,1754.0,s16_no_lowering,0,0.0009387244419673695
65,B2,3151.0,s16_no_lowering,0,0.0019197628831632383
57,B2,3514.0,s16_large_lowering,1,0.9978422373983293
57,B2,7090.0,s16_large_lowering,1,0.11994499372889664
57,B2,1198.5,s16_large_lowering,1,1.0
65,B2,4201.0,s16_large_lowering,1,0.9965461730868963
65,B2,9302.5,s16_no_lowering,0,0.11928768117562633
65,B2,4351.0,s16_large_lowering,1,1.0
65,B2,1227.5,s16_large_lowering,1,1.0
57,B2,7807.0,s16_no_lowering,0,0.051839258366756354
65,B2,2560.5,s16_no_lowering,0,0.001758596401901913
65,B2,2270.0,s16_no_lowering,0,0.0007429209551971003
57,B2,2672.0,s16_no_lowering,0,0.002302581949655327
65,B2,3224.5,s16_large_lowering,1,0.9999999999942395
57,B2,1865.0,s16_large_lowering,1,0.9999999969154292
65,B2,2959.5,s16_no_lowering,0,0.005853853665501615
57,B2,3350.0,s16_large_lowering,1,0.9999905196009602
57,B2,3380.5,s16_no_lowering,0,0.0026692617909911055
65,B2,1262.5,s16_no_lowering,0,0.0001624449335246502
65,B2,2615.0,s16_large_lowering,1,1.0
65,B2,3398.0,s16_large_lowering,1,0.9998719224469235
57,B2,1309.5,s16_large_lowering,1,1.0
57,B2,3785.0,s16_mild_lowering,0,0.06719717284199613
57,B2,6397.5,s16_no_lowering,0,0.028194428540484942
57,B2,4958.5,s16_no_lowering,0,0.009440069521945689
65,B2,3567.0,s16_large_lowering,1,0.9999791470354281
57,B2,1245.0,s16_large_lowering,1,1.0
57,B2,6830.5,s16_no_lowering,0,0.030191227916504484
65,B2,3491.5,s16_no_lowering,0,0.003217011254087117
57,B2,7272.5,s16_large_lowering,1,0.03990934173150583
57,B2,5066.0,s16_no_lowering,0,0.01393644518876251
57,B2,2278.0,s16_large_lowering,1,0.999999967517434
65,B2,3810.0,s16_no_lowering,0,0.009764274995221377
65,B2,4999.0,s16_no_lowering,0,0.01010366643962376
57,B2,3746.5,s16_large_lowering,1,0.9999999999996247
57,B2,2921.0,s16_no_lowering,0,0.0028770186269395565
65,B2,5902.0,s16_large_lowering,1,0.9980848199739816
65,B2,3129.0,s16_no_lowering,0,0.0427220561206936
57,B6,1800.0,s16_large_lowering,1,0.9999999998548319
65,B2,3006.5,s16_no_lowering,0,0.0027880192324622154
57,B4,6168.0,s16_no_lowering,0,0.013740619696048296
65,B2,4504.5,s16_no_lowering,0,0.010824659050296835
57,B2,1101.0,s16_large_lowering,1,1.0
65,B2,1102.0,s16_large_lowering,1,0.9999832002661613
57,B2,3560.5,s16_no_lowering,0,0.004830853733550793
57,B2,5993.5,s16_large_lowering,1,1.0
57,B2,6229.0,s16_no_lowering,0,0.03402521630967211
57,B2,6288.5,s16_large_lowering,1,1.0
57,B2,3404.0,s16_no_lowering,0,0.0033958317776150593
65,B2,2275.0,s16_no_lowering,0,0.0014681158823918543
57,B2,1346.5,s16_large_lowering,1,1.0
65,B2,1342.0,s16_no_lowering,0,9.91000046472906e-05
57,B2,3287.0,s16_no_lowering,0,0.008876028454652848
65,B4,3769.5,s16_no_lowering,0,0.0035252612157446474
65,B2,4465.0,s16_no_lowering,0,0.008452460664458436
57,B2,3084.0,s16_no_lowering,0,0.0028749456165296614
65,B2,1931.0,s16_no_lowering,0,0.0009183527846392001
57,B2,9093.0,s16_large_lowering,1,0.20173309476448387
57,B2,4126.0,s16_no_lowering,0,0.007178707832195718
65,B2,1002.0,s16_no_lowering,0,9.212057315707313e-05
57,B2,3860.5,s16_no_lowering,0,0.00793815278753427
57,B2,3988.0,s16_no_lowering,0,0.008671068781065138
57,B2,1270.0,s16_large_lowering,1,1.0
57,B2,1027.0,s16_large_lowering,1,1.0
57,B2,1416.0,s16_mild_lowering,0,0.0015226424091352813
57,B2,1332.0,s16_large_lowering,1,1.0
65,B2,3045.5,s16_no_lowering,0,0.0027849367144758214
57,B2,4162.5,s16_mild_lowering,0,0.7008360754417171
65,B2,2634.0,s16_no_lowering,0,0.0017172134771822327
57,B6,1228.5,s16_large_lowering,1,1.0
65,B2,3366.0,s16_large_lowering,1,0.9999999995989541
57,B4,1142.0,s16_mild_lowering,0,0.01941354400234356
65,B2,2291.5,s16_no_lowering,0,0.0011491138729212461
65,B2,3095.5,s16_large_lowering,1,0.40003840648365513
65,B2,1413.5,s16_large_lowering,1,1.0
57,B2,5603.0,s16_large_lowering,1,0.9999999999998306
57,B8,2812.5,s16_no_lowering,0,0.00018876090759134813
65,B2,2089.5,s16_large_lowering,1,1.0
65,B2,6561.5,s16_large_lowering,1,0.9711619778469501
65,B2,3045.5,s16_no_lowering,0,0.03196770278152501
57,B2,2115.5,s16_large_lowering,1,1.0
65,B2,5688.0,s16_large_lowering,1,0.9999999998721492
57,B2,8250.0,s16_large_lowering,1,0.13435770515907822
57,B2,4938.0,s16_no_lowering,0,0.011609719322623939
57,B2,1625.5,s16_large_lowering,1,1.0
65,B2,2937.0,s16_no_lowering,0,0.003487442530066846
57,B2,3034.5,s16_large_lowering,1,0.999999671031465
65,B2,3721.0,s16_mild_lowering,0,0.20102946123516688
65,B2,4342.0,s16_no_lowering,0,0.006346816565912633
65,B2,2473.0,s16_no_lowering,0,0.0012605725838042048
57,B2,2300.5,s16_no_lowering,0,0.0007242283528405217
65,B2,3040.5,s16_no_lowering,0,0.003088298179201801
65,B2,1394.0,s16_no_lowering,0,0.0005112080183785577
65,B2,4054.5,s16_no_lowering,0,0.0063523635652519535
57,B2,8675.5,s16_no_lowering,0,0.0651661260614492
57,B2,8018.0,s16_no_lowering,0,0.05844650625079293
65,B2,1277.5,s16_large_lowering,1,1.0
65,B2,4883.0,s16_no_lowering,0,0.012990035688212513
65,B2,1579.5,s16_mild_lowering,0,0.2280903319159414
65,B2,4834.0,s16_no_lowering,0,0.013103278559913618
65,B2,3314.0,s16_large_lowering,1,1.0
65,B4,2319.5,s16_large_lowering,1,0.9999999999999982
57,B2,9051.5,s16_no_lowering,0,0.13350628749978824
57,B4,3031.5,s16_mild_lowering,0,0.7848494888553914
57,B2,3442.0,s16_mild_lowering,0,0.0129991662738609
65,B2,2615.5,s16_large_lowering,1,0.9991374011791213
57,B2,2150.5,s16_no_lowering,0,0.000866020111358877
57,B2,4355.0,s16_no_lowering,0,0.006165634555845575
57,B2,1094.0,s16_large_lowering,1,1.0
65,B2,1054.5,s16_no_lowering,0,8.002191907514601e-05
57,B2,7157.5,s16_no_lowering,0,0.036594101679485916
57,B2,3209.5,s16_large_lowering,1,0.9999718977396311
65,B2,6372.0,s16_large_lowering,1,0.9686422122062173
65,B2,5925.5,s16_large_lowering,1,0.979271098952622
65,B4,1485.5,s16_mild_lowering,0,0.07621023542529166
57,B2,2660.0,s16_large_lowering,1,0.6366668436440767
57,B2,3616.0,s16_large_lowering,1,0.9999424203186486
57,B2,1133.5,s16_large_lowering,1,1.0
65,B2,2103.0,s16_no_lowering,0,0.0008940418586584688
57,B2,2778.0,s16_large_lowering,1,0.999999999976297
