run,events_total,quiet_proxy_events,quiet_proxy_stave_records
31,39990,9812,39248
32,41921,11088,44352
33,57173,7687,30748
34,39765,5143,20572
35,27786,12953,51812
36,21764,9022,36088
37,50513,20095,80380
39,30321,12368,49472
40,32613,13568,54272
41,33997,13605,54420
42,33972,12000,48000
44,4294,1737,6948
45,48181,17934,71736
46,1441,608,2432
47,10970,4596,18384
48,31713,13452,53808
49,32354,13274,53096
50,44804,8013,32052
51,20569,4654,18616
52,10005,2299,9196
53,39612,6245,24980
54,37413,5900,23600
55,24416,5631,22524
56,51823,9680,38720
57,31284,13122,52488
58,34141,14486,57944
59,42303,22021,88084
60,36074,20189,80756
61,36535,19690,78760
62,37584,19637,78548
63,37030,17292,69168
64,35943,18649,74596
65,38424,20517,82068
