method,lowering_stratum,n,mean_bias_adc,mae_adc,rmse_adc,median_bias_adc,q05_adc,q95_adc,mean_bias_ci_low_adc,mean_bias_ci_high_adc,mae_ci_low_adc,mae_ci_high_adc
adaptive_pc,s16_large_lowering,10921,-2186.389110429448,2362.642830784727,3378.306768832775,-1440.665,-6666.145,454.5050000000001,-2655.1961866081056,-1523.232693205043,1722.2630705750498,2808.0525089957023
adaptive_pc,s16_mild_lowering,3896,-470.8971868583162,521.6286396303902,1278.6744997049136,2.0,-3189.0825,96.05000000000018,-505.72068162859415,-420.073627401169,486.60099812499993,560.8459914741094
adaptive_pc,s16_no_lowering,92667,-55.563105150700906,64.68242108841336,402.45782011930777,0.0,-125.0,20.0,-65.12587126214935,-45.66759672247415,53.46701798682307,75.36184766397623
mean3,not_applicable,107484,-2.2744983052041525e-14,247.28183419547713,791.397217154484,1.6666666666669698,-642.5166666666664,706.6666666666669,-4.568460610496693,4.271510424561538,214.57557052781502,279.55379180823724
median3,not_applicable,107484,-35.32396449704142,260.1327732499721,898.2806891107233,0.0,-893.0,404.0,-45.38748734909275,-25.957625546479523,233.35815117349287,286.07060268018506
