sample,run,method,n_pairs,binned_gaussian_ns,student_t_df4_scale_ns,mad_sigma_ns,iqr_sigma_ns,trimmed_normal_sigma_ns,percentile_68_width_ns
sample_iii,44,traditional_period_poly_runheldout,69,2.8195796197457987,1.372509929558215,1.7660425211106496,1.7991481063387733,1.2622838669307306,1.6222906665835117
sample_iii,45,traditional_period_poly_runheldout,672,1.4292901183399576,1.1508533734097164,1.4815278790705495,1.4699027796339725,1.0928674328907981,1.3570404817315733
sample_iii,46,traditional_period_poly_runheldout,9,4.999999999999999,1.0511517632910963,1.5921733148424095,1.3979825852893903,1.0348105063274282,1.1506919250794971
sample_iii,47,traditional_period_poly_runheldout,103,2.0502527212544472,1.2531046521116511,1.3783915054253149,1.5395998003125746,1.1960714155374792,1.5088359886457954
sample_iii,48,traditional_period_poly_runheldout,510,1.5883867598575394,1.2141276788707902,1.5113530977828873,1.541709559381067,1.1441044616979512,1.5107919692941065
sample_iii,49,traditional_period_poly_runheldout,489,1.4835542198866691,1.161657978654956,1.417811541557618,1.4654768229844546,1.10434724673905,1.3865258133870033
sample_iii,50,traditional_period_poly_runheldout,60,1.9579914243970713,1.049112245118593,1.4620718370309962,1.3688268141098077,1.014003539055167,1.2967236653728624
sample_iii,51,traditional_period_poly_runheldout,7,4.999999999999945,1.0474474992272285,1.5241226498767513,1.3810592069768743,0.9284469172636614,1.13681474152832
sample_iii,52,traditional_period_poly_runheldout,6,4.999999999982285,1.081202984401412,1.4736858365424146,1.107284543165601,0.950668569330891,1.1621191957949022
sample_iii,53,traditional_period_poly_runheldout,4,4.99999999999869,0.550522855450581,0.3194402211618828,0.43588402675065885,,0.5349347054106791
sample_iii,54,traditional_period_poly_runheldout,5,4.999999999979544,0.9541683463423198,0.9907447823585985,0.6564543118403579,0.7343095564477433,0.9009693496607268
sample_iii,55,traditional_period_poly_runheldout,6,4.999999999999972,0.9128471009670523,1.2197873530246321,1.036223375130774,0.7594271581632231,0.9571250825711283
sample_iii,56,traditional_period_poly_runheldout,91,2.2232711499615556,1.1300399541166004,1.4630841013278315,1.3982563259303953,1.0725686482247734,1.3990894454559055
sample_iii,57,traditional_period_poly_runheldout,483,1.2948949614922882,1.0948998015734956,1.3207198454931823,1.3147194811120197,1.0345765318465745,1.2779801106023552
sample_iv,58,traditional_period_poly_runheldout,25,2.4170843789925827,1.0417859372209368,1.3101576098173413,1.276552637261516,0.9407483521033276,1.1481813420264437
sample_iv,59,traditional_period_poly_runheldout,11,3.542837692538492,0.920215310740028,1.098915185430727,1.2010898807106851,0.8417811832322695,0.9544777387597393
sample_iv,60,traditional_period_poly_runheldout,11,3.2919955267221854,0.9065553857685194,1.1844784935979127,1.1910782411415386,0.8354421796247933,1.0201425392540706
sample_iv,61,traditional_period_poly_runheldout,18,4.9999999999998295,1.4450987384767877,1.7981478136663107,1.8152299373968035,1.238462246662614,1.5190997569449647
sample_iv,62,traditional_period_poly_runheldout,7,2.2759481461136666,1.2163230903360567,1.0022833617993725,1.0207171032763613,0.9341645419364524,1.0489632855211894
sample_iv,63,traditional_period_poly_runheldout,28,2.492708832575775,1.1715535074648151,1.3635427751671396,1.4111641318861525,1.131772804600865,1.29011310652244
sample_iv,65,traditional_period_poly_runheldout,27,4.999999999997265,1.405136291158236,2.1576363316180496,1.9759542458512638,1.3252581326495982,1.6376778325239532
sample_iii,44,ml_ridge_shape_features_runheldout,69,2.7457003706053,1.3579113426177722,1.6947958555105194,1.8223724509667323,1.2445025066283941,1.5120407549653843
sample_iii,45,ml_ridge_shape_features_runheldout,672,1.5415230738159282,1.1820296160592494,1.5062535470579115,1.5153162870905963,1.1233424550089943,1.4611965372935851
sample_iii,46,ml_ridge_shape_features_runheldout,9,2.942555053184524,1.279661525658735,1.607646525481858,1.5170979455265223,1.2231000864334844,1.524131991692832
sample_iii,47,ml_ridge_shape_features_runheldout,103,1.707606268932759,1.2773473578950307,1.5547882288632202,1.621778752558795,1.2255879514206012,1.4481290257943071
sample_iii,48,ml_ridge_shape_features_runheldout,510,1.5549727117006558,1.2468048351120977,1.598744641915675,1.601224925707576,1.170710662595463,1.46925530049667
sample_iii,49,ml_ridge_shape_features_runheldout,489,1.440966198799193,1.1538233544559202,1.407588225372845,1.382008161735202,1.0970810482172817,1.407837784859364
sample_iii,50,ml_ridge_shape_features_runheldout,60,2.384550915544205,1.160433707410788,1.5668948135187615,1.5495865912718685,1.1086537393011437,1.3669433389669332
sample_iii,51,ml_ridge_shape_features_runheldout,7,4.999999999996575,0.7867585507700439,1.4041320267094362,0.9644856971799192,0.7473923462370855,0.974244074750561
sample_iii,52,ml_ridge_shape_features_runheldout,6,0.9326797490487645,1.0862282172154465,0.8694029000525997,0.8198251802817684,0.8096482177343711,0.9078438395795121
sample_iii,53,ml_ridge_shape_features_runheldout,4,4.999999999647867,1.034749926653888,1.40443869182794,0.9139432906243045,,0.9803899744592721
sample_iii,54,ml_ridge_shape_features_runheldout,5,1.9536990707892943,2.4439389953205404,1.8393483649646272,3.3345490300480263,2.178095747632434,2.5468048356428747
sample_iii,55,ml_ridge_shape_features_runheldout,6,1.8481891963912875,0.7728698736998998,0.9190018712217842,0.7326204664439009,0.7232027654489285,0.7631966143875476
sample_iii,56,ml_ridge_shape_features_runheldout,91,2.215422551122027,1.2207228351121586,1.4643022981459142,1.4395707685751011,1.1496538359752189,1.5144280266276295
sample_iii,57,ml_ridge_shape_features_runheldout,483,1.2228165546269287,1.115783059572057,1.37074311009179,1.3582932687399178,1.0557327686824576,1.3358212931582583
sample_iv,58,ml_ridge_shape_features_runheldout,25,4.9999999999999964,1.3328797816767488,1.5318181300078468,1.6159394645597323,1.2480992577684276,1.6433097756802275
sample_iv,59,ml_ridge_shape_features_runheldout,11,4.999999999999959,0.9979120282562807,1.1523668825974454,1.4296094832783715,0.8935034423025202,1.0471921717654864
sample_iv,60,ml_ridge_shape_features_runheldout,11,3.340691113525059,1.0533113262177909,0.9327024604757035,0.9008576321880186,1.106264100945841,1.2552126772552987
sample_iv,61,ml_ridge_shape_features_runheldout,18,4.999999999999999,1.6828828045716357,2.260658463512987,2.159883537137464,1.5379674715245424,1.953064908466482
sample_iv,62,ml_ridge_shape_features_runheldout,7,4.999999999999996,2.004919837154035,2.23122937368371,2.7228778435033894,1.7454892385555218,2.105263385808428
