method,estimator,sample_iv_minus_iii_ns,ci_low_ns,ci_high_ns
traditional_period_poly_runheldout,binned_gaussian,0.6368872506465433,-0.02585226284778034,3.570310531851423
traditional_period_poly_runheldout,student_t_df4_scale,0.07790859272080097,-0.06764003652212476,0.21004157356972517
traditional_period_poly_runheldout,mad_sigma,0.08828958891191929,-0.23876473536206422,0.4216853687784594
traditional_period_poly_runheldout,iqr_sigma,0.14177330176029623,-0.19450637577485416,0.40759710355343187
traditional_period_poly_runheldout,trimmed_normal_sigma,0.06542504027442941,-0.09090462679253637,0.18616749544960554
traditional_period_poly_runheldout,percentile_68_width,0.11338994182978723,-0.14105434492585178,0.2866369366630974
ml_ridge_shape_features_runheldout,binned_gaussian,0.722964070667788,0.07421566554317584,3.567723551138134
ml_ridge_shape_features_runheldout,student_t_df4_scale,0.25973685250190326,0.10238794035718253,0.4148140119963352
ml_ridge_shape_features_runheldout,mad_sigma,0.3798950797988283,0.056559582243028275,0.7178608581013373
ml_ridge_shape_features_runheldout,iqr_sigma,0.3058071254993515,0.022472980303169708,0.686757369706063
ml_ridge_shape_features_runheldout,trimmed_normal_sigma,0.2704073814999457,0.1233339140024152,0.4304816615124901
ml_ridge_shape_features_runheldout,percentile_68_width,0.3286559301604086,-0.03790112538227627,0.5691783667682094
