sample,method,estimator,n_pairs,value_ns,ci_low_ns,ci_high_ns
sample_iii,traditional_period_poly_runheldout,binned_gaussian,2514,1.439780830223861,1.3336568471157968,1.4866638368755187
sample_iii,traditional_period_poly_runheldout,student_t_df4_scale,2514,1.1619591380035232,1.1212557327347723,1.2032063743839214
sample_iii,traditional_period_poly_runheldout,mad_sigma,2514,1.4531024661879748,1.3893015305806093,1.5288624786537108
sample_iii,traditional_period_poly_runheldout,iqr_sigma,2514,1.4475170697233528,1.4011817206199533,1.5440066665963013
sample_iii,traditional_period_poly_runheldout,trimmed_normal_sigma,2514,1.1021157996214217,1.0650103571168321,1.1396745915483093
sample_iii,traditional_period_poly_runheldout,percentile_68_width,2514,1.3924764411415405,1.3311443370237375,1.4804032498304176
sample_iv,traditional_period_poly_runheldout,binned_gaussian,127,2.0766680808704043,1.4262853078250304,4.999999999998359
sample_iv,traditional_period_poly_runheldout,student_t_df4_scale,127,1.2398677307243242,1.0584363458066193,1.3684612725611534
sample_iv,traditional_period_poly_runheldout,mad_sigma,127,1.541392055099894,1.233003923212522,1.8335196495522992
sample_iv,traditional_period_poly_runheldout,iqr_sigma,127,1.589290371483649,1.2337752936156865,1.8533516749432264
sample_iv,traditional_period_poly_runheldout,trimmed_normal_sigma,127,1.1675408398958511,1.0089410860688106,1.2814196144407728
sample_iv,traditional_period_poly_runheldout,percentile_68_width,127,1.5058663829713277,1.2957580986900135,1.6831468015083413
sample_iii,ml_ridge_shape_features_runheldout,binned_gaussian,2514,1.4805992975914537,1.3656348120909885,1.5489916764552556
sample_iii,ml_ridge_shape_features_runheldout,student_t_df4_scale,2514,1.190394510248657,1.1503704267044852,1.2490861666122608
sample_iii,ml_ridge_shape_features_runheldout,mad_sigma,2514,1.480830570799836,1.3984332385005445,1.5873421997777963
sample_iii,ml_ridge_shape_features_runheldout,iqr_sigma,2514,1.479862268080337,1.3983857491870768,1.5943692430147398
sample_iii,ml_ridge_shape_features_runheldout,trimmed_normal_sigma,2514,1.127959643303329,1.0923843226431948,1.1749324549715912
sample_iii,ml_ridge_shape_features_runheldout,percentile_68_width,2514,1.442962720995287,1.384941638197777,1.4805022692413095
sample_iv,ml_ridge_shape_features_runheldout,binned_gaussian,127,2.2035633682592417,1.5868809480571031,4.9999999999999964
sample_iv,ml_ridge_shape_features_runheldout,student_t_df4_scale,127,1.4501313627505603,1.3213276302232304,1.612072722289943
sample_iv,ml_ridge_shape_features_runheldout,mad_sigma,127,1.8607256505986642,1.5335618069154264,2.169707594357485
sample_iv,ml_ridge_shape_features_runheldout,iqr_sigma,127,1.7856693935796886,1.5130985441239806,2.127654732899077
sample_iv,ml_ridge_shape_features_runheldout,trimmed_normal_sigma,127,1.3983670248032747,1.2661246494221667,1.5492787994920525
sample_iv,ml_ridge_shape_features_runheldout,percentile_68_width,127,1.7716186511556957,1.4560902254002293,2.0277319463125885
