quantity,expected,reproduced,delta,tolerance,pass
sample_iii_A1_A3_pairs,2514.0,2514.0,0.0,0.0,True
sample_iii_core_sigma_ns,1.4509207,1.450920420766654,-2.792333460011065e-07,0.001,True
sample_iv_A1_A3_pairs,127.0,127.0,0.0,0.0,True
sample_iv_robust_width_ns,1.7936261,1.7936260637768346,-3.622316535611958e-08,0.001,True
sample_iv_core_sigma_ns,1.9921764,1.9921759383821824,-4.616178175265162e-07,0.001,True
