group,n_quiet_selected_events,quiet_fraction_of_selected_events,downstream_fraction,median_pretrigger_absmax_adc,median_pretrigger_ptp_adc
high_20nA,153340,0.6461998777892497,0.03265292813355941,13.0,19.0
low_2nA,3675,0.6294964028776978,0.022585034013605444,13.0,19.0
