method,metric,value,ci_low,ci_high,n_bootstrap,n_finite
constrained_template_fit,resolvable_delay_ns,60.0,40.0,60.0,400,386
compact_mlp_classifier_regressor,resolvable_delay_ns,20.0,15.0,60.0,400,221
