method,run,group,n_quiet_scored,candidate_rate,candidate_delay_median_ns,rate_delay_ge_s10d_ml_resolvable_delay,rate_delay_ge_s10d_template_resolvable_delay,rate_delay_ge_s10_assumed_tau_eff,rate_delay_ge_s10b_measured_live10
traditional,44,high_20nA,420,0.9166666666666666,20.0,0.8690476190476191,0.002380952380952381,0.0,0.0
traditional,45,high_20nA,420,0.9142857142857143,29.999999999999993,0.8857142857142857,0.007142857142857143,0.0,0.0
traditional,46,low_2nA,373,0.8766756032171582,20.0,0.8579088471849866,0.002680965147453083,0.0,0.0
traditional,47,low_2nA,420,0.8904761904761904,20.0,0.8690476190476191,0.0,0.0,0.0
traditional,48,high_20nA,420,0.930952380952381,29.999999999999993,0.9095238095238095,0.0,0.0,0.0
traditional,49,high_20nA,420,0.9261904761904762,20.000000000000007,0.888095238095238,0.0,0.0,0.0
traditional,50,high_20nA,420,0.8714285714285714,20.0,0.8166666666666667,0.004761904761904762,0.0,0.0
traditional,51,high_20nA,420,0.8738095238095238,20.0,0.819047619047619,0.014285714285714285,0.0,0.0
traditional,52,high_20nA,420,0.861904761904762,20.0,0.8238095238095238,0.0,0.0,0.0
traditional,53,high_20nA,420,0.8690476190476191,20.0,0.8452380952380952,0.0,0.0,0.0
traditional,54,high_20nA,420,0.8785714285714286,20.0,0.8333333333333334,0.002380952380952381,0.0,0.0
traditional,55,high_20nA,420,0.8642857142857143,20.0,0.8238095238095238,0.0,0.0,0.0
traditional,56,high_20nA,420,0.8642857142857143,20.0,0.8095238095238095,0.002380952380952381,0.0,0.0
traditional,57,high_20nA,420,0.9285714285714286,20.000000000000007,0.9047619047619048,0.007142857142857143,0.0,0.0
ml,44,high_20nA,420,0.03333333333333333,18.921913784642015,0.014285714285714285,0.002380952380952381,0.0,0.0
ml,45,high_20nA,420,0.06190476190476191,18.142963229884607,0.02857142857142857,0.004761904761904762,0.0,0.0
ml,46,low_2nA,373,0.029490616621983913,7.944451586909507,0.005361930294906166,0.0,0.0,0.0
ml,47,low_2nA,420,0.01904761904761905,12.979734455431403,0.002380952380952381,0.0,0.0,0.0
ml,48,high_20nA,420,0.06666666666666667,22.201857777894148,0.03571428571428571,0.002380952380952381,0.0,0.0
ml,49,high_20nA,420,0.06190476190476191,27.984867242064404,0.03571428571428571,0.002380952380952381,0.0,0.0
ml,50,high_20nA,420,0.04523809523809524,11.0595966523704,0.014285714285714285,0.0,0.0,0.0
ml,51,high_20nA,420,0.06666666666666667,19.70486621189864,0.03333333333333333,0.0,0.0,0.0
ml,52,high_20nA,420,0.03333333333333333,19.770111732367337,0.014285714285714285,0.0,0.0,0.0
ml,53,high_20nA,420,0.047619047619047616,24.502771270110063,0.02857142857142857,0.002380952380952381,0.0,0.0
ml,54,high_20nA,420,0.03333333333333333,19.00475322737418,0.014285714285714285,0.0,0.0,0.0
ml,55,high_20nA,420,0.04047619047619048,15.46623733629671,0.016666666666666666,0.0,0.0,0.0
ml,56,high_20nA,420,0.047619047619047616,12.112307091445327,0.011904761904761904,0.0,0.0,0.0
ml,57,high_20nA,420,0.02857142857142857,30.05671721414988,0.02142857142857143,0.0,0.0,0.0
