delay_sample,delay_ns,method,n_positive,timing_bias_ns,abs_timing_bias_ns,area_bias_fraction,abs_area_bias_fraction,time_sigma68_ns,area_res68_fraction,passes_bias_criteria,timing_bias_requirement_ns,area_bias_requirement_fraction
0.5,5.0,compact_mlp_classifier_regressor,35,2.0061542930531395,2.0061542930531395,0.02720666621651661,0.02720666621651661,7.18245571312352,0.07506635434012474,False,1.0,0.2
0.75,7.5,compact_mlp_classifier_regressor,25,1.720543493715181,1.720543493715181,0.01033522837031766,0.01033522837031766,7.9021669354563215,0.08964731727294159,False,1.0,0.2
1.0,10.0,compact_mlp_classifier_regressor,48,1.2095660101645844,1.2095660101645844,0.0032611086045410257,0.0032611086045410257,7.293854843027561,0.08138326051817842,False,1.0,0.2
1.5,15.0,compact_mlp_classifier_regressor,35,1.6750292773403164,1.6750292773403164,0.036579738247662835,0.036579738247662835,5.774531636719165,0.0800363059155913,False,1.0,0.2
2.0,20.0,compact_mlp_classifier_regressor,35,0.07751701768688335,0.07751701768688335,-0.012070765382458415,0.012070765382458415,5.173478808070508,0.05827247740458655,True,1.0,0.2
3.0,30.0,compact_mlp_classifier_regressor,46,-0.7390310598424987,0.7390310598424987,-0.015298520539182297,0.015298520539182297,6.475901192653657,0.08119292825465296,True,1.0,0.2
4.0,40.0,compact_mlp_classifier_regressor,65,-0.8068629372906599,0.8068629372906599,-0.020628382321454284,0.020628382321454284,7.487817030891213,0.07504809637675555,True,1.0,0.2
5.0,50.0,compact_mlp_classifier_regressor,57,-0.4333801994953568,0.4333801994953568,-0.022426713656960647,0.022426713656960647,6.9661960676425885,0.07097838322772634,True,1.0,0.2
6.0,60.0,compact_mlp_classifier_regressor,60,0.012040732271576537,0.012040732271576537,-0.0017397090673486183,0.0017397090673486183,7.203952181591248,0.0871622786837902,True,1.0,0.2
0.5,5.0,constrained_template_fit,41,-1.0668442810977652,1.0668442810977652,-0.00035253647636981846,0.00035253647636981846,5.310026628530334,0.09459434343577945,False,1.0,0.2
0.75,7.5,constrained_template_fit,43,-0.6678532914574253,0.6678532914574253,-0.01397795018587234,0.01397795018587234,6.417965223831322,0.11549957777453218,True,1.0,0.2
1.0,10.0,constrained_template_fit,63,-0.845296730853895,0.845296730853895,-0.013851135707387748,0.013851135707387748,6.315569846723408,0.10461306378717825,True,1.0,0.2
1.5,15.0,constrained_template_fit,53,-2.1110756400113573,2.1110756400113573,-0.026775009919318003,0.026775009919318003,9.246339250037835,0.10047552632895287,False,1.0,0.2
2.0,20.0,constrained_template_fit,50,-1.3165980683219258,1.3165980683219258,-0.01943986020869748,0.01943986020869748,8.140508404071314,0.07028033697233996,False,1.0,0.2
3.0,30.0,constrained_template_fit,51,-3.3049122541516507,3.3049122541516507,-0.04277783662461294,0.04277783662461294,6.959042799114237,0.06998898369531378,False,1.0,0.2
4.0,40.0,constrained_template_fit,66,-0.13240337909624422,0.13240337909624422,-0.030852503738187393,0.030852503738187393,8.065149890292776,0.07414904044178044,True,1.0,0.2
5.0,50.0,constrained_template_fit,62,-1.397252135137812,1.397252135137812,-0.08130326360770868,0.08130326360770868,6.57203377444012,0.08509981741036597,False,1.0,0.2
6.0,60.0,constrained_template_fit,68,-0.41478526471281807,0.41478526471281807,-0.06204416935748695,0.06204416935748695,5.317698227138216,0.11171310025612016,True,1.0,0.2
