method,subset,n_covariances,n_runs,mean_abs_cov_ns2,mean_abs_cov_ci_low_ns2,mean_abs_cov_ci_high_ns2,median_abs_cov_ns2,signed_mean_cov_ns2
ml_extra_trees,all_pair_covariances,300,20,13.719333429883163,7.949858085082642,23.493236817878255,2.4044937380364395,7.585850452256227
ml_extra_trees,both_B2_containing,60,20,28.56642572036223,20.807604018297912,36.50642334922461,26.23449446755069,27.664797561592177
ml_extra_trees,both_downstream_only,60,20,10.637645770916446,1.8469044875272502,27.057126870679507,0.9021309192532851,9.930235092138865
ml_extra_trees,mixed_B2_downstream,180,20,9.79753188604571,4.013999720779231,19.080519109462845,2.0427590961357653,0.11140653585004036
raw_pair_median,all_pair_covariances,300,20,228.53460933649947,172.18558702302164,290.4643167998596,15.068802573845682,223.08852655337424
raw_pair_median,both_B2_containing,60,20,1041.840074907271,748.0831570619991,1311.9119638747977,1189.0007715282618,1041.840074907271
raw_pair_median,both_downstream_only,60,20,15.98821500999724,4.757995407732066,37.12793607865683,1.636856312721993,15.410983937114526
raw_pair_median,mixed_B2_downstream,180,20,28.281585588409968,16.132392127457386,44.82776779677617,10.427458676276462,19.397191307495262
traditional_hier_ridge,all_pair_covariances,300,20,81.85463814114871,67.15499169151228,95.94890075052126,45.028682025068264,39.72291087687631
traditional_hier_ridge,both_B2_containing,60,20,235.51391811861203,184.19833333834765,289.39666099816617,222.8263478570637,235.51391811861203
traditional_hier_ridge,both_downstream_only,60,20,43.29839344144609,33.914618834307404,58.212077848320334,33.905383536933584,42.111157152239954
traditional_hier_ridge,mixed_B2_downstream,180,20,43.48695971522871,34.12411213405039,54.002009234920656,34.63938433950847,-26.336840295490138
