run,event,B2_amp,B2_log_amp,B2_peak,B2_area,B2_log_area,B2_tail,B2_time_ns,B2_selected,B4_amp,B4_log_amp,B4_peak,B4_area,B4_log_area,B4_tail,B4_time_ns,B4_selected,B6_amp,B6_log_amp,B6_peak,B6_area,B6_log_area,B6_tail,B6_time_ns,B6_selected,B8_amp,B8_log_amp,B8_peak,B8_area,B8_log_area,B8_tail,B8_time_ns,B8_selected,pair,left,right,has_b2,subset,raw_residual_ns,tof_ns,target_residual_ns,left_log_amp,left_peak,left_tail,left_log_area,right_log_amp,right_peak,right_tail,right_log_area,log_amp_sum,log_amp_diff,peak_diff,tail_diff,log_area_diff
44,16040,2947.0,7.988882253309227,11.0,19773.0,9.892123222457078,0.8962726950892631,80.95857988165679,True,3177.0,8.064007347096661,10.0,24813.0,10.119163289002817,0.8401644299359207,75.86328125,True,11.5,2.5257286443082556,1.0,-87.0,0.0,-63.0,5.4,False,25.5,3.2771447329921766,16.0,88.0,4.48863636973214,1.3068181818181819,109.73333333333332,False,B2-B4,B2,B4,True,B2_containing,-5.095298631656789,0.156,-5.2512986316567885,7.988882253309227,11.0,0.8962726950892631,9.892123222457078,8.064007347096661,10.0,0.8401644299359207,10.119163289002817,16.052889600405887,0.0751250937874337,-1.0,-0.05610826515334244,0.22704006654573838
44,16129,1548.5,7.345687577227803,17.0,3551.0,8.17526610411206,0.7000844832441566,160.60803639120547,True,2871.0,7.962763930168115,17.0,3256.0,8.088561805276234,1.0003071253071254,160.87122416534183,True,18.5,2.970414465569701,0.0,-320.0,0.0,-209.0,0.0,False,13.5,2.6741486494265287,4.0,-152.0,0.0,-172.0,22.200000000000003,False,B2-B4,B2,B4,True,B2_containing,0.2631877741363553,0.156,0.1071877741363553,7.345687577227803,17.0,0.7000844832441566,8.17526610411206,7.962763930168115,17.0,1.0003071253071254,8.088561805276234,15.308451507395919,0.6170763529403116,0.0,0.3002226420629688,-0.08670429883582642
44,16170,9087.5,9.114765157053153,5.0,41495.0,10.633352316031235,0.7518737197252681,35.44896640826873,True,3262.0,8.09040229659332,6.0,28916.0,10.272184936452078,0.42796375708950063,35.46561886051081,True,3740.5,8.227241879520413,6.0,35135.0,10.466981524869203,0.5125088942649779,40.13320912901723,True,4.5,1.7047480922384253,4.0,-354.0,0.0,-254.0,31.0,False,B2-B4,B2,B4,True,B2_containing,0.01665245224207723,0.156,-0.13934754775792277,9.114765157053153,5.0,0.7518737197252681,10.633352316031235,8.09040229659332,6.0,0.42796375708950063,10.272184936452078,17.205167453646474,-1.0243628604598332,1.0,-0.32390996263576743,-0.36116737957915745
44,16194,3350.5,8.117163285798012,6.0,28022.0,10.240780880540958,0.42562986225108845,39.22383720930233,True,3134.0,8.050384453067021,9.0,27170.0,10.209905507043057,0.42200956937799045,36.56778679026652,True,2498.5,7.823845990853625,7.0,18379.0,9.819018395909678,0.42205778333968114,43.28184553660983,True,51.5,3.960813169597578,16.0,87.0,4.477336814478207,1.4942528735632183,138.42857142857144,False,B2-B4,B2,B4,True,B2_containing,-2.6560504190358145,0.156,-2.8120504190358147,8.117163285798012,6.0,0.42562986225108845,10.240780880540958,8.050384453067021,9.0,0.42200956937799045,10.209905507043057,16.167547738865032,-0.06677883273099106,3.0,-0.0036202928730980077,-0.030875373497901037
44,16274,6615.5,8.797321808213104,7.0,52315.0,10.865057530609043,0.5519640638440217,48.85364193328796,True,4240.5,8.35267225924779,7.0,38110.0,10.548258233355712,0.5712673838887431,47.58126721763085,True,19.0,2.995732273553991,8.0,-6.0,0.0,-45.0,8.31578947368421,False,60.0,4.110873864173311,11.0,399.0,5.991464547107982,0.681704260651629,60.90909090909091,False,B2-B4,B2,B4,True,B2_containing,-1.272374715657108,0.156,-1.4283747156571078,8.797321808213104,7.0,0.5519640638440217,10.865057530609043,8.35267225924779,7.0,0.5712673838887431,10.548258233355712,17.149994067460895,-0.44464954896531417,0.0,0.01930332004472135,-0.3167992972533309
44,16292,9319.0,9.139917907679637,4.0,57367.0,10.957241935562411,0.48609827949866646,24.022247446084,True,2467.0,7.811163385025279,6.0,17947.0,9.795233967095873,0.28639884103192736,29.745967741935484,True,2603.5,7.864995997185246,6.0,20004.0,9.903737521291335,0.3618276344731054,35.846547314578004,True,5490.5,8.610956721228401,5.0,50172.0,10.823232312381798,0.4712190066172367,32.039915331115814,True,B2-B4,B2,B4,True,B2_containing,5.723720295851486,0.156,5.567720295851486,9.139917907679637,4.0,0.48609827949866646,10.957241935562411,7.811163385025279,6.0,0.28639884103192736,9.795233967095873,16.951081292704917,-1.328754522654358,2.0,-0.1996994384667391,-1.162007968466538
44,16293,8020.5,8.98988071579113,7.0,42280.0,10.652093091549318,0.7091769157994323,31.606926972716877,True,4740.0,8.464003362902119,6.0,43829.0,10.688073793412855,0.5094800246412193,37.36541598694943,True,23.5,3.1986731175506815,7.0,171.0,5.147494476813453,0.36257309941520466,23.875,False,3.0,1.3862943611198906,3.0,-331.0,0.0,-242.0,16.5,False,B2-B4,B2,B4,True,B2_containing,5.758489014232552,0.156,5.602489014232552,8.98988071579113,7.0,0.7091769157994323,10.652093091549318,8.464003362902119,6.0,0.5094800246412193,10.688073793412855,17.45388407869325,-0.5258773528890117,-1.0,-0.19969689115821299,0.035980701863536524
44,16305,9429.0,9.151651375627504,6.0,52662.0,10.871668400664227,0.5997683339030041,42.987392435461274,True,4221.0,8.348064228408266,7.0,37368.0,10.528596762688789,0.5798811817597945,49.104864864864865,True,6.5,2.0149030205422647,15.0,-82.0,0.0,-23.0,21.6,False,38.5,3.676300671907076,8.0,55.0,4.02535169073515,-0.9090909090909091,18.347826086956523,False,B2-B4,B2,B4,True,B2_containing,6.117472429403591,0.156,5.9614724294035915,9.151651375627504,6.0,0.5997683339030041,10.871668400664227,8.348064228408266,7.0,0.5798811817597945,10.528596762688789,17.49971560403577,-0.803587147219238,1.0,-0.019887152143209574,-0.34307163797543794
44,16312,3145.5,8.054046002966988,12.0,20084.0,9.907728546793383,1.0013941445927106,94.4314063848145,True,3925.5,8.27550372281493,11.0,26594.0,10.188478507176418,0.9912386252538167,92.3748743718593,True,18.5,2.970414465569701,10.0,8.0,2.1972245773362196,-0.125,64.48,False,35.0,3.58351893845611,10.0,231.0,5.44673737166631,0.42857142857142855,23.157894736842106,False,B2-B4,B2,B4,True,B2_containing,-2.056532012955188,0.156,-2.212532012955188,8.054046002966988,12.0,1.0013941445927106,9.907728546793383,8.27550372281493,11.0,0.9912386252538167,10.188478507176418,16.329549725781916,0.22145771984794216,-1.0,-0.010155519338893915,0.28074996038303546
44,16340,1612.5,7.386161011492017,3.0,-3399.0,0.0,-3161.0,16.08476286579213,True,2543.0,7.841492924460013,15.0,12491.0,9.43284371840297,1.0024017292450564,114.75878787878787,True,2355.0,7.764720544771477,15.0,10848.0,9.29182818882245,0.9892146017699115,119.68085106382979,True,2546.5,7.84286776509688,15.0,11638.0,9.362116806941977,0.9849630520708026,121.04426559356136,True,B2-B4,B2,B4,True,B2_containing,98.67402501299574,0.156,98.51802501299574,7.386161011492017,3.0,-3161.0,0.0,7.841492924460013,15.0,1.0024017292450564,9.43284371840297,15.22765393595203,0.45533191296799647,12.0,3162.002401729245,9.43284371840297
