method,family,n,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
geant4_birks_lookup,traditional_geant4_birks,332852,-0.02309863561869246,0.040243978309137673,1.0824359599765987,"[0.03885687265429256, 0.041606317494948857]","[-0.0266749274997614, -0.018225939767685054]","[0.9581666378891074, 1.2490247117015882]"
gradient_boosted_trees,ml_tree,332852,-0.01673558721036294,0.056684632176214236,1.0028925714276464,"[0.04880395769058964, 0.06719740156251883]","[-0.020389423104361468, -0.008551688140306596]","[0.8834536125134582, 1.1522014685477935]"
physics_residual_mlp,neural_physics_residual,332852,-0.014574435323059211,0.0586801621140033,1.0515086306752381,"[0.049024699196538256, 0.0778824801768244]","[-0.020885696085487543, -0.0047773882153127984]","[0.915232896371761, 1.283148307965791]"
ridge,ml_linear,332852,-0.023572945894808656,0.09667293554037164,1.4114180808798578,"[0.08871564277716167, 0.11720596181535417]","[-0.0356187950680932, 0.0005685026805842689]","[1.2981406436020448, 1.5619015065797548]"
1d_cnn,neural_waveform,332852,-0.1777390561183705,0.2657039478238139,3.86211397876782,"[0.24926581203810588, 0.2890790024307048]","[-0.18795890770622958, -0.15251679050833633]","[3.555703160404124, 4.079882043269256]"
old_power_law,traditional_empirical,332852,-0.2976286420901741,0.46235791884618826,7.862801924429272,"[0.44430951830938165, 0.5643756103049054]","[-0.35264949912989263, -0.1294368714611283]","[7.42342199636934, 8.245181080653241]"
mlp,neural_tabular,332852,-0.5826860883867211,0.6923472493440915,10.616250817321617,"[0.6842365680562779, 0.6996464636631826]","[-0.5937934430047808, -0.566110948628985]","[9.375327351755741, 11.524740747434535]"
