energy_bin_mev,energy_lo_mev,energy_hi_mev,method,n,median_truth_target_mev,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,old_power_law,66571,4.5472071430113035,2.0154103690545284,3.1667980184249305,9.285954116430942,"[2.9055925553183752, 3.4833657091920953]","[1.8869686507941215, 2.1446282253403655]","[9.1067778044527, 9.454941930843287]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,geant4_birks_lookup,66571,4.5472071430113035,-0.005236531463566088,0.17363787493149832,1.5208720108214178,"[0.05237051835870767, 0.342213748596141]","[-0.007706561856987516, 0.0]","[1.2536282045978147, 1.7543221306885854]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,ridge,66571,4.5472071430113035,0.042457461184079816,0.24720956805691205,1.140804964904054,"[0.21508324691207645, 0.3013486041223937]","[0.009728104077189988, 0.06916043973486324]","[1.0581204027520366, 1.206450312220163]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,gradient_boosted_trees,66571,4.5472071430113035,0.0548942885186481,0.1456236953514694,0.5415877314680915,"[0.11214799299212043, 0.17676972575079497]","[0.052239519995227676, 0.057393219772092025]","[0.5033179381324351, 0.5825914272309519]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,mlp,66571,4.5472071430113035,-0.16013311105132036,0.6821051008280444,3.4010632177593654,"[0.6630884478696863, 0.702563784628732]","[-0.22506772631873767, -0.09229862353159504]","[3.244512542473113, 3.6065283080429786]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,1d_cnn,66571,4.5472071430113035,0.035379652869145836,0.45549639481449933,2.123468873112948,"[0.4239110130875146, 0.48167731924071466]","[-0.016391524878331173, 0.08145696298114938]","[1.9537982948321222, 2.3360382584678034]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,physics_residual_mlp,66571,4.5472071430113035,0.024935654298786712,0.1725213722491493,0.9922199648586792,"[0.1066290863369558, 0.3025528816239598]","[0.007932539726281093, 0.033395792015754044]","[0.8674139863135804, 1.1119710796757367]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,old_power_law,66566,12.929203199035143,0.060521906776180516,0.21102637018757325,2.218206950196654,"[0.19561706287907363, 0.23004930562747833]","[0.04750949497080326, 0.07506616671356628]","[2.188211517132174, 2.2571838870050898]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,geant4_birks_lookup,66566,12.929203199035143,-0.017648150960052095,0.027196351598621993,0.914140441374924,"[0.02630567887833759, 0.0283626631408768]","[-0.018928468374660803, -0.016415768769079873]","[0.7417673464604303, 1.1265537320915076]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,ridge,66566,12.929203199035143,0.015046195514826322,0.11933183035622104,1.5119541346454044,"[0.11242842333324693, 0.13050202052098633]","[-0.01060119561967062, 0.03966044001638145]","[1.3858887250215945, 1.6834101809858997]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,gradient_boosted_trees,66566,12.929203199035143,0.00703974837332107,0.04477398144852563,0.6818621142451116,"[0.042450559906491415, 0.047339076515033295]","[0.005093768491861386, 0.00856310530547004]","[0.6046312721193495, 0.7626588517068]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,mlp,66566,12.929203199035143,-0.7080541798276873,0.7579652253732638,9.347171578968542,"[0.7382684259086939, 0.7763654395552779]","[-0.7272167969607614, -0.6914520901075487]","[9.13278381905201, 9.61403402569227]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,1d_cnn,66566,12.929203199035143,-0.23296995017254232,0.32340638883983613,3.504591614756103,"[0.2991026847463797, 0.34389835958222553]","[-0.2688126304652103, -0.20507624394218898]","[3.2698100282351303, 3.733091697190817]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,physics_residual_mlp,66566,12.929203199035143,0.011455719125622193,0.06640949271681654,0.9677584190021477,"[0.06174355488433446, 0.07315166092541002]","[-0.005367934669383822, 0.028738433826710517]","[0.8472148320011854, 1.0951686536596106]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,old_power_law,66574,19.522017635692162,-0.29762864001994266,0.32152376627484996,5.674946954963654,"[0.3154509093434502, 0.3245458978029031]","[-0.3022642273740051, -0.2878039929756424]","[5.493552683410238, 5.774408018533252]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,geant4_birks_lookup,66574,19.522017635692162,-0.029957560821255287,0.03423506077820838,0.7200361756760643,"[0.03338068104986673, 0.0356029738304443]","[-0.03113468302851256, -0.02874364495730203]","[0.6366967173127946, 0.8405891784401175]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,ridge,66574,19.522017635692162,-0.04611350025180113,0.09052129762987488,1.4466038678110316,"[0.08908928322608166, 0.09310310989117469]","[-0.06193475515210074, -0.01809251945520316]","[1.3441589438529924, 1.6277507611077704]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,gradient_boosted_trees,66574,19.522017635692162,-0.013672844451429378,0.02740367338610681,0.5600536438967866,"[0.025363988822351424, 0.031439288115392115]","[-0.016292668917715844, -0.011762905820586292]","[0.48621781101887174, 0.6589988139008184]"
