n_pair_residuals,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,run,method,policy,pair_scope,n_accepted_events,acceptance
210,1.8189355548095707,2.709283827706111,0.08095238095238096,58,traditional_explicit_timewalk,fixed_q_shape_veto,B2_excluded_downstream,70,0.9722222222222222
2220,1.757522010803219,4.598101161683004,0.06171171171171171,59,traditional_explicit_timewalk,fixed_q_shape_veto,B2_excluded_downstream,740,0.9879839786381842
2385,1.9658052825927739,6.694419493761021,0.07714884696016772,60,traditional_explicit_timewalk,fixed_q_shape_veto,B2_excluded_downstream,795,0.9912718204488778
2769,1.9754636160278296,6.535805422342485,0.08125677139761647,61,traditional_explicit_timewalk,fixed_q_shape_veto,B2_excluded_downstream,923,0.9978378378378379
2376,1.8385514526367182,2.713101350999669,0.056818181818181816,62,traditional_explicit_timewalk,fixed_q_shape_veto,B2_excluded_downstream,792,0.9924812030075187
1071,1.7364327697753932,6.399603085941834,0.07376283846872082,63,traditional_explicit_timewalk,fixed_q_shape_veto,B2_excluded_downstream,357,0.9780821917808219
183,1.6501083755493156,2.135829476206556,0.0273224043715847,65,traditional_explicit_timewalk,fixed_q_shape_veto,B2_excluded_downstream,61,0.9682539682539683
213,1.8521880090332021,4.488656367705477,0.0892018779342723,58,traditional_explicit_timewalk,rf_external_veto,B2_excluded_downstream,71,0.9861111111111112
2235,1.7563765332031256,5.536438272706135,0.0621923937360179,59,traditional_explicit_timewalk,rf_external_veto,B2_excluded_downstream,745,0.9946595460614153
2394,1.9776497186279283,6.911708742054541,0.07936507936507936,60,traditional_explicit_timewalk,rf_external_veto,B2_excluded_downstream,798,0.9950124688279302
2769,1.9767305673217752,6.536564089137804,0.08125677139761647,61,traditional_explicit_timewalk,rf_external_veto,B2_excluded_downstream,923,0.9978378378378379
2388,1.8406305389404327,4.627792514495966,0.05862646566164154,62,traditional_explicit_timewalk,rf_external_veto,B2_excluded_downstream,796,0.9974937343358395
1092,1.72499492614746,6.343084005032637,0.07417582417582418,63,traditional_explicit_timewalk,rf_external_veto,B2_excluded_downstream,364,0.9972602739726028
189,1.6175984136962818,2.1178579071115062,0.026455026455026454,65,traditional_explicit_timewalk,rf_external_veto,B2_excluded_downstream,63,1.0
216,1.8245217864990244,4.462135416601213,0.08796296296296297,58,traditional_explicit_timewalk,logistic_external_veto,B2_excluded_downstream,72,1.0
2220,1.752993288879394,4.59620943423018,0.06171171171171171,59,traditional_explicit_timewalk,logistic_external_veto,B2_excluded_downstream,740,0.9879839786381842
2394,1.9681071008300748,6.031447507559494,0.0785296574770259,60,traditional_explicit_timewalk,logistic_external_veto,B2_excluded_downstream,798,0.9950124688279302
2775,1.9755566973876928,6.530108594451872,0.08108108108108109,61,traditional_explicit_timewalk,logistic_external_veto,B2_excluded_downstream,925,1.0
2385,1.8388794024658208,2.7219788265386384,0.05744234800838575,62,traditional_explicit_timewalk,logistic_external_veto,B2_excluded_downstream,795,0.9962406015037594
1086,1.7380692749023445,6.360431311005105,0.07458563535911603,63,traditional_explicit_timewalk,logistic_external_veto,B2_excluded_downstream,362,0.9917808219178083
189,1.6175984136962818,2.1178579071115062,0.026455026455026454,65,traditional_explicit_timewalk,logistic_external_veto,B2_excluded_downstream,63,1.0
213,1.8199895608520527,4.492593404009943,0.0892018779342723,58,traditional_explicit_timewalk,topology_only_sentinel,B2_excluded_downstream,71,0.9861111111111112
2196,1.7491518020629897,4.510027827650231,0.058287795992714025,59,traditional_explicit_timewalk,topology_only_sentinel,B2_excluded_downstream,732,0.9773030707610146
2376,1.9678572921752906,5.445284038053991,0.07744107744107744,60,traditional_explicit_timewalk,topology_only_sentinel,B2_excluded_downstream,792,0.9875311720698254
2763,1.9705212402343746,6.5396367504374,0.08070937386898298,61,traditional_explicit_timewalk,topology_only_sentinel,B2_excluded_downstream,921,0.9956756756756757
2385,1.83998905975342,2.721620872809118,0.05744234800838575,62,traditional_explicit_timewalk,topology_only_sentinel,B2_excluded_downstream,795,0.9962406015037594
1074,1.7533870773315448,6.394145090462936,0.07541899441340782,63,traditional_explicit_timewalk,topology_only_sentinel,B2_excluded_downstream,358,0.9808219178082191
183,1.6501083755493156,2.135829476206556,0.0273224043715847,65,traditional_explicit_timewalk,topology_only_sentinel,B2_excluded_downstream,61,0.9682539682539683
213,1.7796800744628913,4.458849823970091,0.08450704225352113,58,traditional_explicit_timewalk,shuffled_label_sentinel,B2_excluded_downstream,71,0.9861111111111112
2205,1.7460087585449227,5.5633771369709075,0.06213151927437642,59,traditional_explicit_timewalk,shuffled_label_sentinel,B2_excluded_downstream,735,0.9813084112149533
2382,1.962485615844725,6.916637898624073,0.07766582703610411,60,traditional_explicit_timewalk,shuffled_label_sentinel,B2_excluded_downstream,794,0.9900249376558603
2757,1.9654214096069333,5.656831511179396,0.07907145447950671,61,traditional_explicit_timewalk,shuffled_label_sentinel,B2_excluded_downstream,919,0.9935135135135135
2364,1.8386357574462886,4.641466562693341,0.0583756345177665,62,traditional_explicit_timewalk,shuffled_label_sentinel,B2_excluded_downstream,788,0.9874686716791979
1065,1.7287037493896482,6.413595021532537,0.07417840375586854,63,traditional_explicit_timewalk,shuffled_label_sentinel,B2_excluded_downstream,355,0.9726027397260274
189,1.6175984136962818,2.1178579071115062,0.026455026455026454,65,traditional_explicit_timewalk,shuffled_label_sentinel,B2_excluded_downstream,63,1.0
