method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
ML_gradient_boosted_trees,9745,2038,0.9567711980225717,0.9351438505570733,0.9719106919675754,0.9271929505583527,ml_panel,
NN_transformer_sequence_encoder_new,9745,2038,0.9146203322801634,0.8918060808405465,0.9321638406151067,0.8702581543853485,ml_panel,
ML_mlp,9745,2038,0.9072143672709757,0.8821981319193984,0.9261190128415442,0.8656468003616106,ml_panel,
ML_ridge_classifier,9745,2038,0.8984510340891684,0.874301395887352,0.9196515667237777,0.8500617968134444,ml_panel,
traditional_fisher_gatti_all_features,9745,2038,0.8940218245956896,0.8651292949621732,0.9150657711156844,0.8517432379466723,traditional_multivariate,fisher_gatti_engineered_features
traditional_scalar__early_0_4_over_total,9745,2038,0.8891751861892755,0.8598735615509328,0.9125017651098164,0.8415158147608595,traditional_scalar,charge_comparison_psd
traditional_scalar__late_minus_early_asym,9745,2038,0.8723835168645355,0.8448526503087337,0.8962325891804797,0.8276072809697408,traditional_scalar,charge_comparison_psd
traditional_scalar__cfd20_time,9745,2038,0.8699636833980757,0.8396075413309917,0.8915932498506541,0.8331551616323144,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__mean_time,9745,2038,0.8685394654796189,0.8416909375620142,0.8891358596663349,0.818788043791943,traditional_scalar,mean_time_moments
traditional_gatti_waveform,9745,2038,0.8676767854261951,0.8391600495967151,0.891201686944445,0.8153900432619183,traditional_multivariate,current_integration_gatti
traditional_scalar__cfd50_time,9745,2038,0.8675950377369999,0.8448017345218073,0.888874438663267,0.8275432530052687,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__tail_10_17_over_total,9745,2038,0.8642904001345653,0.8392005522304445,0.8873946503753237,0.8056315443077068,traditional_scalar,charge_comparison_psd
traditional_scalar__haar_l3_d00,9745,2038,0.862997239551162,0.8327864009075595,0.886884539385424,0.7977347465275786,traditional_scalar,wavelet_haar
traditional_scalar__matched_template_delta_chi2,9745,2038,0.860849293550986,0.8330263505467003,0.8844260465466516,0.7950886835964146,traditional_scalar,matched_filter_template_chi2
traditional_scalar__tail_12_17_over_total,9745,2038,0.8516539200117961,0.8260990672383796,0.8750741453360098,0.788469684745114,traditional_scalar,charge_comparison_psd
