run,time_block,rows,high_drift_fraction,abs_drift_median_adc,shape_energy_proxy_median_adc,pid_proxy_median_adc
31,q1,202,0.13861386138613863,15.375,3196.75,3154.0
31,q2,230,0.19130434782608696,17.625,3570.0,3504.5
31,q3,255,0.16862745098039217,15.5,3315.5,3248.5
31,q4,344,0.19186046511627908,18.75,3390.5,3326.0
32,q1,203,0.1724137931034483,16.25,3222.5,3125.0
32,q2,208,0.15384615384615385,16.75,3926.5,3839.25
32,q3,264,0.22348484848484848,19.125,3284.25,3182.5
32,q4,344,0.20348837209302326,18.5,3322.25,3187.5
33,q1,168,0.10714285714285714,11.875,3518.75,3555.25
33,q2,164,0.0975609756097561,14.0,3421.5,3419.75
33,q3,207,0.10144927536231885,12.0,3224.0,3201.0
33,q4,615,0.12032520325203253,13.75,3305.5,3263.5
34,q1,198,0.10101010101010101,11.5,3637.75,3626.0
34,q2,220,0.17272727272727273,14.25,3793.5,3793.0
34,q3,277,0.16967509025270758,17.5,3589.0,3580.5
34,q4,338,0.15976331360946747,14.5,3401.0,3382.75
35,q1,262,0.1984732824427481,16.875,3043.25,2886.0
35,q2,289,0.1903114186851211,18.75,3364.0,3265.0
35,q3,358,0.19553072625698323,15.625,3172.75,3076.5
35,q4,26,0.23076923076923078,14.125,3178.25,2993.75
36,q1,285,0.1368421052631579,14.5,3241.0,3217.5
36,q2,409,0.19070904645476772,17.5,3412.5,3310.0
36,q3,200,0.155,13.75,3494.5,3487.25
37,q1,158,0.21518987341772153,19.0,3304.25,3167.0
37,q2,203,0.21674876847290642,19.0,3060.0,2929.0
37,q3,245,0.1510204081632653,15.25,3120.5,3126.5
37,q4,605,0.24462809917355371,17.75,3217.5,3063.0
39,q1,288,0.21180555555555555,20.0,2998.0,2934.75
39,q2,313,0.24600638977635783,18.5,3122.5,2982.0
39,q3,342,0.20175438596491227,18.625,3128.0,3108.0
39,q4,138,0.2536231884057971,18.0,3137.25,3017.5
40,q1,242,0.2396694214876033,18.75,3237.25,3096.5
40,q2,327,0.20489296636085627,16.75,3166.5,3116.5
40,q3,338,0.23964497041420119,18.875,3044.5,2960.75
40,q4,219,0.1963470319634703,17.0,3109.5,3015.0
41,q1,256,0.17578125,17.0,3256.75,3200.0
41,q2,339,0.23008849557522124,18.5,3176.0,3069.5
41,q3,324,0.22839506172839505,16.0,3349.25,3295.5
41,q4,206,0.2766990291262136,19.75,3291.75,3185.0
42,q1,260,0.21923076923076923,16.0,3202.75,3155.5
42,q2,294,0.23129251700680273,18.25,3294.0,3188.0
42,q3,335,0.1880597014925373,19.5,3289.5,3286.5
42,q4,235,0.18723404255319148,16.0,3087.5,3025.0
44,q1,504,0.22817460317460317,19.5,3734.75,3582.0
45,q1,204,0.27450980392156865,18.875,3038.5,2993.5
45,q2,240,0.175,18.125,3156.0,3118.75
45,q3,253,0.233201581027668,16.75,3145.5,3093.0
45,q4,530,0.1830188679245283,17.0,3079.25,3062.25
46,q1,362,0.09944751381215469,14.5,4511.25,4491.0
47,q1,336,0.14583333333333334,15.0,3772.25,3655.5
47,q2,174,0.12643678160919541,15.125,3422.75,3329.0
48,q1,230,0.23478260869565218,17.25,3287.75,3151.75
48,q2,286,0.25524475524475526,19.0,3088.75,3025.0
48,q3,369,0.21138211382113822,16.5,3335.0,3186.0
48,q4,172,0.23837209302325582,21.5,2975.75,2964.5
49,q1,259,0.25868725868725867,20.5,2857.5,2811.0
49,q2,301,0.2026578073089701,18.0,3281.0,3191.5
49,q3,364,0.25,20.5,3117.25,3028.5
49,q4,172,0.25,16.5,3035.25,2981.75
50,q1,205,0.16097560975609757,14.5,3379.5,3323.0
50,q2,234,0.1581196581196581,15.75,3337.5,3360.25
50,q3,253,0.1541501976284585,14.5,3596.0,3537.0
50,q4,478,0.19246861924686193,16.0,3347.75,3343.0
51,q1,350,0.19714285714285715,18.25,3610.5,3592.5
51,q2,379,0.18469656992084432,15.75,3836.0,3845.0
51,q3,161,0.14906832298136646,16.75,3316.0,3289.0
52,q1,473,0.15644820295983086,15.5,4811.0,4750.5
52,q2,136,0.22794117647058823,16.625,4171.0,4098.0
53,q1,212,0.25,20.0,3469.5,3301.25
53,q2,240,0.1875,18.25,3443.75,3453.5
53,q3,296,0.16216216216216217,17.375,3588.5,3605.25
53,q4,368,0.16576086956521738,16.25,3454.75,3462.0
54,q1,232,0.16379310344827586,16.25,3420.5,3346.25
54,q2,287,0.20209059233449478,19.25,3509.0,3461.0
54,q3,290,0.19310344827586207,18.25,3593.25,3606.25
54,q4,302,0.17549668874172186,18.125,3334.25,3331.75
55,q1,300,0.15666666666666668,17.875,3473.0,3412.75
55,q2,391,0.1918158567774936,17.5,3466.0,3370.5
55,q3,289,0.15916955017301038,15.25,3631.0,3696.5
56,q1,189,0.164021164021164,16.0,3444.5,3428.5
56,q2,225,0.18222222222222223,17.0,3386.5,3336.0
56,q3,248,0.24193548387096775,16.5,3388.25,3395.0
56,q4,560,0.16785714285714284,15.5,3439.0,3405.0
57,q1,281,0.2206405693950178,17.0,3124.5,3068.0
57,q2,320,0.234375,17.5,3134.0,3091.25
57,q3,340,0.17941176470588235,15.5,3045.0,3006.5
57,q4,162,0.24074074074074073,18.25,2987.0,2851.5
58,q1,241,0.12863070539419086,12.5,3248.0,3150.5
58,q2,283,0.18374558303886926,15.25,3111.5,3087.5
58,q3,331,0.1691842900302115,14.25,3207.0,3173.5
58,q4,244,0.1680327868852459,13.125,3134.75,3138.5
59,q1,254,0.2755905511811024,21.5,2893.75,2777.5
59,q2,313,0.24281150159744408,20.0,2849.0,2668.5
59,q3,321,0.2523364485981308,19.0,2972.5,2862.5
59,q4,512,0.26171875,19.5,3009.5,2898.25
60,q1,318,0.25471698113207547,18.25,3132.5,2968.75
60,q2,375,0.22666666666666666,17.75,3091.5,2909.5
60,q3,356,0.25842696629213485,19.0,3162.0,3025.75
60,q4,351,0.2678062678062678,18.25,3104.0,3036.0
61,q1,269,0.1821561338289963,17.0,3032.0,3000.5
61,q2,356,0.23595505617977527,17.0,3143.75,3038.25
61,q3,375,0.25066666666666665,18.5,3080.5,2893.5
61,q4,400,0.2225,17.0,3104.0,3011.75
62,q1,288,0.2986111111111111,19.75,2948.5,2705.0
62,q2,339,0.22123893805309736,19.5,3032.5,2961.0
62,q3,391,0.21483375959079284,19.0,3031.5,2935.5
62,q4,382,0.2696335078534031,20.75,3000.75,2818.0
63,q1,276,0.213768115942029,16.0,2916.25,2812.5
63,q2,322,0.21739130434782608,18.125,2962.25,2849.75
63,q3,380,0.21052631578947367,19.0,2986.5,2914.75
63,q4,422,0.26540284360189575,18.625,2850.75,2672.0
64,q1,279,0.17204301075268819,15.5,2844.5,2780.5
64,q2,335,0.21194029850746268,17.75,2833.5,2757.5
64,q3,373,0.20107238605898123,16.0,2856.5,2769.5
64,q4,334,0.20958083832335328,16.25,2927.25,2855.25
65,q1,226,0.17699115044247787,14.5,2819.75,2809.5
65,q2,277,0.23104693140794225,15.0,2784.0,2715.5
65,q3,274,0.21532846715328466,14.5,2645.5,2564.5
65,q4,351,0.1737891737891738,15.25,2628.0,2599.5
