method,run,n,positives,roc_auc,average_precision
ML_gradient_boosted_trees,42,1124,232,0.9183957978970156,0.8669003001676843
ML_gradient_boosted_trees,50,1170,201,0.9085840149099702,0.8407074161595981
ML_gradient_boosted_trees,57,1103,237,0.9456933765993314,0.9123503649593817
ML_gradient_boosted_trees,58,1099,180,0.9723491718051022,0.9359786082357516
ML_gradient_boosted_trees,60,1400,352,0.9764893086398335,0.9656549204437278
ML_gradient_boosted_trees,62,1400,348,0.9797539443206154,0.9689017433142899
ML_gradient_boosted_trees,64,1321,264,0.962234095926149,0.9291592830927166
ML_gradient_boosted_trees,65,1128,224,0.9622757980404553,0.9312772041572871
ML_mlp,42,1124,232,0.8522208906757384,0.7951510235692811
ML_mlp,50,1170,201,0.8567636533534597,0.7709347161872913
ML_mlp,57,1103,237,0.8822999191198683,0.8352040129264201
ML_mlp,58,1099,180,0.9039233466328135,0.8436778933041928
ML_mlp,60,1400,352,0.9379716776544067,0.9168171571905235
ML_mlp,62,1400,348,0.9467871815043049,0.929979885579713
ML_mlp,64,1321,264,0.9137997763825578,0.8710480122035539
ML_mlp,65,1128,224,0.9114056573957017,0.8651574710222116
ML_ridge_classifier,42,1124,232,0.8537140482449359,0.7935594356790725
ML_ridge_classifier,50,1170,201,0.8482664078985876,0.7470651865580893
ML_ridge_classifier,57,1103,237,0.8656805137350054,0.81226598009218
ML_ridge_classifier,58,1099,180,0.910790714544795,0.8473899833312885
ML_ridge_classifier,60,1400,352,0.9217774115197779,0.903957818283174
ML_ridge_classifier,62,1400,348,0.9446757134740615,0.9250530554789289
ML_ridge_classifier,64,1321,264,0.8932119205298014,0.8340589246343251
ML_ridge_classifier,65,1128,224,0.8945905104298358,0.8375826156352245
NN_1d_cnn,42,1124,232,0.674235541982372,0.5326656104670449
NN_1d_cnn,50,1170,201,0.6681042671061617,0.49023048706910344
NN_1d_cnn,57,1103,237,0.7286520302861987,0.5915673014821425
NN_1d_cnn,58,1099,180,0.7179301172772338,0.5503206467324716
NN_1d_cnn,60,1400,352,0.7170665987161693,0.6518922713952983
NN_1d_cnn,62,1400,348,0.7674926795157553,0.7005710646185768
NN_1d_cnn,64,1321,264,0.6989120151371807,0.5816669774765133
NN_1d_cnn,65,1128,224,0.6966310445638433,0.553554750597662
NN_transformer_sequence_encoder_new,42,1124,232,0.866587096025978,0.8107367294787432
NN_transformer_sequence_encoder_new,50,1170,201,0.857379767827529,0.7648735269941338
NN_transformer_sequence_encoder_new,57,1103,237,0.9063788113544011,0.8462117915774726
NN_transformer_sequence_encoder_new,58,1099,180,0.9233708136863742,0.8551360233283376
NN_transformer_sequence_encoder_new,60,1400,352,0.9451173230395558,0.9239057733892
NN_transformer_sequence_encoder_new,62,1400,348,0.9466205585420218,0.9280103775328907
NN_transformer_sequence_encoder_new,64,1321,264,0.9161112066741206,0.8756789080001336
NN_transformer_sequence_encoder_new,65,1128,224,0.906580870733249,0.8601850860647533
traditional_fisher_gatti_all_features,42,1124,232,0.8442912092160199,0.7919253051617953
traditional_fisher_gatti_all_features,50,1170,201,0.8469058217683513,0.7502020660159212
traditional_fisher_gatti_all_features,57,1103,237,0.8696270743804874,0.8204748955155654
traditional_fisher_gatti_all_features,58,1099,180,0.8957199854914764,0.843680920540214
traditional_fisher_gatti_all_features,60,1400,352,0.9189012621443442,0.9019035801641296
traditional_fisher_gatti_all_features,62,1400,348,0.940690419999126,0.9227556741366664
traditional_fisher_gatti_all_features,64,1321,264,0.892753218084344,0.8464856720295555
traditional_fisher_gatti_all_features,65,1128,224,0.891138590391909,0.8363528755984565
traditional_gatti_waveform,42,1124,232,0.811784830678831,0.7432790256481522
traditional_gatti_waveform,50,1170,201,0.7995676930106947,0.6846069732025528
traditional_gatti_waveform,57,1103,237,0.8431120335993607,0.7843643786250629
traditional_gatti_waveform,58,1099,180,0.8709285455204931,0.7966243697564407
traditional_gatti_waveform,60,1400,352,0.8942628816793892,0.8726199511919296
traditional_gatti_waveform,62,1400,348,0.9187180411695292,0.9013154331762167
traditional_gatti_waveform,64,1321,264,0.8713267968234857,0.8167389194320389
traditional_gatti_waveform,65,1128,224,0.867691213653603,0.8026941137091163
traditional_scalar__area_over_peak,42,1124,232,0.6190563630740683,0.4673629074388391
traditional_scalar__area_over_peak,50,1170,201,0.6132803474885633,0.41028826478027614
traditional_scalar__area_over_peak,57,1103,237,0.6802043441400882,0.5331847280752721
traditional_scalar__area_over_peak,58,1099,180,0.6661346874622174,0.44767681887368826
traditional_scalar__area_over_peak,60,1400,352,0.6914496226578765,0.5888913153762196
traditional_scalar__area_over_peak,62,1400,348,0.7553756391766093,0.6599233595121969
traditional_scalar__area_over_peak,64,1321,264,0.6839647659184083,0.5064952262697037
traditional_scalar__area_over_peak,65,1128,224,0.6677465233881164,0.47671685882793513
traditional_scalar__cf_ratio_s6_s8,42,1124,232,0.5960501391680841,0.2894351229585428
traditional_scalar__cf_ratio_s6_s8,50,1170,201,0.5453639952969929,0.20230614166952365
traditional_scalar__cf_ratio_s6_s8,57,1103,237,0.5283470244881652,0.2548853604166126
traditional_scalar__cf_ratio_s6_s8,58,1099,180,0.6500906782734857,0.2807959463949119
traditional_scalar__cf_ratio_s6_s8,60,1400,352,0.7459744751908397,0.5458160193659317
traditional_scalar__cf_ratio_s6_s8,62,1400,348,0.7760532756435469,0.5673751696147378
traditional_scalar__cf_ratio_s6_s8,64,1321,264,0.7696865772196899,0.48041482232169075
traditional_scalar__cf_ratio_s6_s8,65,1128,224,0.717411701959545,0.39907241778919456
traditional_scalar__cfd20_time,42,1124,232,0.8394493196226999,0.7832582619232034
traditional_scalar__cfd20_time,50,1170,201,0.7966514178334334,0.7061013889790366
traditional_scalar__cfd20_time,57,1103,237,0.8327876360588963,0.7942124172540306
traditional_scalar__cfd20_time,58,1099,180,0.8749304799903277,0.8155440742391491
traditional_scalar__cfd20_time,60,1400,352,0.8958920671408743,0.8850203164970598
traditional_scalar__cfd20_time,62,1400,348,0.9105507844936848,0.9014311705667474
traditional_scalar__cfd20_time,64,1321,264,0.8848979387058857,0.8452080732117598
traditional_scalar__cfd20_time,65,1128,224,0.8605305783817953,0.8182042479528784
traditional_scalar__cfd50_time,42,1124,232,0.8406283825576001,0.7825125505310355
traditional_scalar__cfd50_time,50,1170,201,0.7960609747957837,0.7020316003191431
traditional_scalar__cfd50_time,57,1103,237,0.8307948665477827,0.7899398307527882
traditional_scalar__cfd50_time,58,1099,180,0.8670596058517713,0.7993035863011761
traditional_scalar__cfd50_time,60,1400,352,0.8963244383240805,0.8836344590154867
traditional_scalar__cfd50_time,62,1400,348,0.9058552947860671,0.8939663489670979
traditional_scalar__cfd50_time,64,1321,264,0.8831348011811588,0.8373752209727905
traditional_scalar__cfd50_time,65,1128,224,0.8596466103034135,0.8155545482765582
traditional_scalar__early_0_4_over_total,42,1124,232,0.8374487784134839,0.7862317793015507
traditional_scalar__early_0_4_over_total,50,1170,201,0.8198070534838706,0.7173974039538018
traditional_scalar__early_0_4_over_total,57,1103,237,0.8532269223648181,0.801833363155623
traditional_scalar__early_0_4_over_total,58,1099,180,0.9049026719864588,0.8309451146683219
traditional_scalar__early_0_4_over_total,60,1400,352,0.9186003643303262,0.8964254971968091
traditional_scalar__early_0_4_over_total,62,1400,348,0.9357736768497881,0.9142702571143886
traditional_scalar__early_0_4_over_total,64,1321,264,0.8942762535477767,0.846447695585611
traditional_scalar__early_0_4_over_total,65,1128,224,0.8818593947534766,0.8284984101481043
traditional_scalar__fft_high_over_low,42,1124,232,0.5768178830988093,0.31697844408314035
traditional_scalar__fft_high_over_low,50,1170,201,0.5621787861518004,0.2746819302450718
traditional_scalar__fft_high_over_low,57,1103,237,0.5387786125646797,0.2927766696065356
traditional_scalar__fft_high_over_low,58,1099,180,0.5652883569096845,0.25962055893916924
traditional_scalar__fft_high_over_low,60,1400,352,0.5235567748091603,0.3130597097261953
traditional_scalar__fft_high_over_low,62,1400,348,0.5395114942528736,0.33468425657562606
traditional_scalar__fft_high_over_low,64,1321,264,0.5312634385482068,0.2917987021059642
traditional_scalar__fft_high_over_low,65,1128,224,0.55146274494311,0.3111917915429912
traditional_scalar__fft_k1_fraction,42,1124,232,0.4955060306169785,0.20487872555763648
traditional_scalar__fft_k1_fraction,50,1170,201,0.4865610030343638,0.17384857153870764
traditional_scalar__fft_k1_fraction,57,1103,237,0.5294773974137846,0.21848221931214357
traditional_scalar__fft_k1_fraction,58,1099,180,0.5368093338169507,0.1721389649353065
traditional_scalar__fft_k1_fraction,60,1400,352,0.6353579328591256,0.3357684750797054
traditional_scalar__fft_k1_fraction,62,1400,348,0.6363767973427735,0.3311061815132402
traditional_scalar__fft_k1_fraction,64,1321,264,0.6234465038272985,0.2479504406344536
