run,rows,high_drift_fraction,baseline_median_adc,abs_drift_median_adc,abs_drift_p90_adc,cfd_proxy_median_sample,energy_proxy_median_adc,pid_proxy_median_adc
31,1031,0.1755577109602328,6947.0,17.0,175.0,7.0,3360.0,3289.0
32,1019,0.19234543670264967,6941.25,17.75,308.1000000000004,7.0,3348.5,3246.5
33,1154,0.11178509532062392,6928.0,13.5,41.85000000000002,7.0,3312.0,3302.0
34,1033,0.15392061955469508,6930.5,15.0,102.70000000000095,7.0,3529.5,3510.0
35,935,0.19572192513368983,6938.0,16.75,359.70000000000005,7.0,3195.0,3079.0
36,894,0.16554809843400448,6932.0,16.5,122.70000000000027,7.0,3402.25,3314.75
37,1211,0.2171758876961189,6932.25,17.5,716.75,7.0,3166.0,3064.5
39,1081,0.2238667900092507,6932.0,18.5,818.75,7.0,3106.5,3012.5
40,1126,0.2211367673179396,6932.25,17.75,461.5,7.0,3126.25,3034.0
41,1125,0.22577777777777777,6935.0,18.0,499.70000000000005,7.0,3259.5,3183.0
42,1124,0.20640569395017794,6936.5,17.75,234.20000000000005,7.0,3204.75,3173.0
44,504,0.22817460317460317,6759.25,19.5,1280.5999999999992,6.0,3734.75,3582.0
45,1227,0.20700896495517523,6935.25,17.5,829.750000000001,7.0,3084.0,3055.5
46,362,0.09944751381215469,6756.0,14.5,38.0,6.0,4511.25,4491.0
47,510,0.1392156862745098,6751.5,15.0,48.05000000000001,6.0,3654.0,3578.75
48,1057,0.23273415326395458,6937.5,18.0,488.79999999999956,7.0,3150.0,3096.5
49,1096,0.23905109489051096,6933.5,19.0,698.25,7.0,3089.75,2973.75
50,1170,0.1717948717948718,6938.0,15.5,82.55000000000007,7.0,3376.75,3366.75
51,890,0.18314606741573033,6942.5,16.5,102.05000000000052,7.0,3614.5,3586.5
52,609,0.1724137931034483,6755.25,16.0,96.90000000000009,6.0,4539.0,4374.0
53,1116,0.18548387096774194,6939.5,17.75,125.0,7.0,3477.75,3467.75
54,1111,0.1845184518451845,6940.25,17.75,121.75,7.0,3449.5,3433.5
55,980,0.17142857142857143,6939.5,17.0,245.72500000000056,7.0,3548.0,3511.0
56,1222,0.18494271685761046,6936.25,16.25,173.10000000000082,7.0,3426.0,3401.5
57,1103,0.21486854034451497,6941.0,17.0,378.50000000000034,7.0,3067.0,3014.0
58,1099,0.1637852593266606,6937.0,13.75,215.10000000000008,7.0,3165.0,3118.5
59,1400,0.25785714285714284,6930.25,20.0,731.1000000000001,7.0,2929.0,2815.5
60,1400,0.25142857142857145,6926.5,18.25,819.3750000000002,7.0,3118.5,2995.0
61,1400,0.2257142857142857,6922.75,17.0,566.0500000000001,7.0,3089.25,3002.25
62,1400,0.24857142857142858,6929.375,19.75,960.2750000000001,7.0,3007.25,2879.25
63,1400,0.2292857142857143,6924.75,18.25,473.77500000000276,7.5,2920.5,2833.75
64,1321,0.19984859954579864,6924.25,16.25,381.25,7.0,2864.0,2786.5
65,1128,0.19858156028368795,6932.0,15.0,280.1750000000005,8.0,2740.5,2651.25
