selector,method,n_runs,mean_sigma68_ns,ci_low,ci_high,min_run_sigma68_ns,max_run_sigma68_ns
dynamic_range,S02 ML ridge,7,2.316115234463623,2.230934502870247,2.4253049510238878,2.1839509552064427,2.595122966157286
median_first4,S02 ML ridge,7,1.9054928392097812,1.823734017183286,2.0253926180749855,1.7698393506968229,2.2424329131323475
dynamic_range,S02 train-best global template (template_phase),7,2.6404273161023992,2.5778957008076024,2.710621421052045,2.5507605240619498,2.804139516343625
median_first4,S02 train-best global template (template_phase),7,2.8102293063017076,2.7162067048531746,2.9016080397239805,2.6428031039120548,2.9923192689628024
dynamic_range,S02b binned timewalk no drift,7,4.727483457841644,4.518431937740181,4.918539445977079,4.28668974436906,5.116289296718521
median_first4,S02b binned timewalk no drift,7,3.1484944174882767,2.7508192937958458,3.4599625645897825,2.127410063722653,3.6379339992367563
dynamic_range,S02b global timewalk no drift,7,1.8500523104013877,1.7286939957852552,2.023571017981067,1.6156389184913906,2.3180370606108154
median_first4,S02b global timewalk no drift,7,1.6551640399789107,1.5319739690756538,1.8435350315768406,1.4718970274976448,2.188417727408664
dynamic_range,S02d binned selected drift,7,4.727483457841644,4.522599506020829,4.919792993665775,4.28668974436906,5.116289296718521
median_first4,S02d binned selected drift,7,3.1810442555275737,2.7690070083009237,3.539362546543344,2.13066211092533,3.86253081830916
dynamic_range,S02d global selected drift,7,1.8501471046658362,1.7269595344941675,2.0265331318115756,1.6139724014687298,2.3180370606108154
median_first4,S02d global selected drift,7,1.6583862547369363,1.5347875164701434,1.8459754994595567,1.4765858367091966,2.188417727408664
