heldout_run,stave,forbidden_heldout_target_median_ns,n_heldout_pulses,selector
58,B4,-3.4326984352334122,73,median_first4
58,B6,2.172314832344213,73,median_first4
58,B8,1.195825652711605,73,median_first4
59,B4,-4.974114624590449,763,median_first4
59,B6,3.167666063624793,763,median_first4
59,B8,1.9846460422496932,763,median_first4
60,B4,-3.535383610966882,808,median_first4
60,B6,2.406588378333595,808,median_first4
60,B8,0.988449732852331,808,median_first4
61,B4,-2.9391727106500127,933,median_first4
61,B6,2.179767712668969,933,median_first4
61,B8,1.0551540927423844,933,median_first4
62,B4,-4.0345769282411865,807,median_first4
62,B6,2.6480074282284463,807,median_first4
62,B8,1.433100320253672,807,median_first4
63,B4,-4.422545074662395,370,median_first4
63,B6,3.0844912436275926,370,median_first4
63,B8,1.5710820814164315,370,median_first4
65,B4,-4.272708030196995,66,median_first4
65,B6,2.53857588661797,66,median_first4
65,B8,1.7226729896550097,66,median_first4
58,B4,-2.50747616004422,90,dynamic_range
58,B6,1.7575968812930114,90,dynamic_range
58,B8,0.8368241993179737,90,dynamic_range
59,B4,-3.399659931353934,900,dynamic_range
59,B6,2.171415877687397,900,dynamic_range
59,B8,1.2574466106694757,900,dynamic_range
60,B4,-2.715068012021696,955,dynamic_range
60,B6,2.3979271583699386,955,dynamic_range
60,B8,0.7007892908473679,955,dynamic_range
61,B4,-2.445105265984857,1075,dynamic_range
61,B6,1.9334538317745995,1075,dynamic_range
61,B8,0.723107255549067,1075,dynamic_range
62,B4,-3.511244867115863,941,dynamic_range
62,B6,2.4294595357347646,941,dynamic_range
62,B8,1.070512386801198,941,dynamic_range
63,B4,-3.407711108824728,441,dynamic_range
63,B6,2.179677795134003,441,dynamic_range
63,B8,0.9765923560730272,441,dynamic_range
65,B4,-2.1319745187039594,90,dynamic_range
65,B6,1.5776115826729407,90,dynamic_range
65,B8,0.7648745997226278,90,dynamic_range
