n,pred_mean_ns,target_mean_ns,heldout_run,selector
32,-4.873290922877682,-4.034604794587328,58,median_first4
31,-3.5049605669719073,-4.479655501056725,58,median_first4
31,-0.10154203246691142,-0.26810339646055775,58,median_first4
31,1.8680054827729797,1.933354018692256,58,median_first4
31,2.596370781991285,1.378892015290243,58,median_first4
31,3.3880172885059157,2.6152855490305895,58,median_first4
32,4.805369702061484,2.8917000055132682,58,median_first4
327,-4.777334231209703,-4.8041913775783085,59,median_first4
327,-4.013490269499909,-4.372216920860455,59,median_first4
327,-0.6037149015695464,-0.7068112887897068,59,median_first4
327,1.6555497764284608,1.8164673271918355,59,median_first4
327,2.4344868999694995,2.452665347990856,59,median_first4
327,2.822355823998877,2.763263310308255,59,median_first4
327,3.621684941260962,2.850823601737519,59,median_first4
347,-5.09954214125566,-5.703552871636738,60,median_first4
346,-4.252214330701998,-4.155301826336261,60,median_first4
346,-0.6109648997577405,-0.960351056725502,60,median_first4
346,1.275172765539504,1.3309419058322771,60,median_first4
346,1.8008912307761127,2.18361432705196,60,median_first4
346,2.311777738587227,2.6860655489422753,60,median_first4
347,3.3002797160373945,4.621710684395811,60,median_first4
400,-5.344703549803232,-4.268635626746558,61,median_first4
400,-4.595494312628749,-4.104635917866233,61,median_first4
400,-0.8596464014462536,-1.089705055376477,61,median_first4
399,1.2838731052331844,1.080156339520324,61,median_first4
400,2.08035697145922,2.239704043577853,61,median_first4
400,2.616476392623259,2.2524549435476766,61,median_first4
400,3.476497731257311,3.893361664192219,61,median_first4
346,-4.870739614322479,-4.328456370569876,62,median_first4
346,-4.04117224266504,-4.567270703560631,62,median_first4
346,-0.5748072076000343,-0.44474378547356935,62,median_first4
345,1.475661454190223,1.4053393767522422,62,median_first4
346,2.2770674871861925,2.366843916253922,62,median_first4
346,2.751998218895413,2.454863748901964,62,median_first4
346,3.7117865068204408,3.117485492195234,62,median_first4
159,-4.676725121756653,-5.074092813924301,63,median_first4
158,-3.9946052468081104,-4.422453867072323,63,median_first4
159,-0.5150118251444548,-1.312056263586191,63,median_first4
158,1.6414618578136881,1.578778831455531,63,median_first4
159,2.4222558736937363,2.584335656561884,63,median_first4
158,2.7959965888012004,2.716690813160878,63,median_first4
159,3.7896364520338257,3.927999000495992,63,median_first4
29,-4.481498123015305,-4.799948759939747,65,median_first4
28,-3.910188643749362,-4.80347236655888,65,median_first4
28,0.08587756250184346,-0.539465071449252,65,median_first4
28,2.0940474723313702,2.0911680210583006,65,median_first4
28,2.637308902274803,2.7221682875011277,65,median_first4
28,3.047750710115553,2.840000267962334,65,median_first4
29,4.557300121381894,2.569218557236933,65,median_first4
39,-4.900387947870207,-4.461037501467083,58,dynamic_range
38,-2.9299048408288955,-4.302167046962786,58,dynamic_range
39,0.007804604488546431,-0.6334537305349286,58,dynamic_range
38,1.583279461494059,1.2159130766419637,58,dynamic_range
39,2.2320400256311332,2.6634289040421373,58,dynamic_range
38,3.432869190294413,3.052222917266736,58,dynamic_range
39,5.955828311132507,2.4642207899100117,58,dynamic_range
386,-4.695666262857634,-4.598558028737139,59,dynamic_range
386,-3.948843352414418,-3.8491724108769376,59,dynamic_range
385,-0.44708437364960124,-1.2925368463037121,59,dynamic_range
386,1.449829731724649,1.3807309015462677,59,dynamic_range
385,1.8958012443469956,2.4674207114857873,59,dynamic_range
386,2.239424824119901,2.440484761424737,59,dynamic_range
386,3.0917460736981,3.454674652044366,59,dynamic_range
410,-4.637594059309611,-4.860877432722614,60,dynamic_range
409,-3.917093389139458,-3.585947193800975,60,dynamic_range
409,-0.37565368688865897,-1.432686663823198,60,dynamic_range
409,1.4259463176751872,1.1609141881389484,60,dynamic_range
409,1.7577363608252592,1.9385169870107397,60,dynamic_range
409,2.0980536822197506,2.311324233833757,60,dynamic_range
410,3.332857664299728,4.469712275391041,60,dynamic_range
461,-4.7198521138411,-3.7376644911843835,61,dynamic_range
461,-3.8720050870865874,-3.3513176025289577,61,dynamic_range
460,-0.4413693541148547,-2.4834011370093703,61,dynamic_range
461,1.4102712930510368,1.1323549417225482,61,dynamic_range
460,1.832250949438951,1.8451441986387545,61,dynamic_range
461,2.2408848187034045,2.338075949966372,61,dynamic_range
461,3.4302195288602775,4.255423635105735,61,dynamic_range
404,-4.607691069503078,-3.999734885040655,62,dynamic_range
403,-3.987157628318847,-4.17128350073196,62,dynamic_range
403,-0.4620575737565206,-1.529669227890152,62,dynamic_range
403,1.5340770405214303,1.6894121841954592,62,dynamic_range
403,1.891181306355377,2.024369595270605,62,dynamic_range
403,2.225987175288819,2.3064177439223132,62,dynamic_range
404,3.2814291928866997,3.681278305112924,62,dynamic_range
189,-4.629216609770434,-4.51678024030839,63,dynamic_range
189,-3.8752911052290857,-3.657819845838403,63,dynamic_range
189,-0.36542203387764255,-1.4318111461416947,63,dynamic_range
189,1.485620577995233,0.9675972893122635,63,dynamic_range
189,1.9344617501795023,2.0711175809028117,63,dynamic_range
189,2.315421069270426,2.541622516592243,63,dynamic_range
189,3.550596050410552,4.026073845481172,63,dynamic_range
39,-4.971567348336606,-3.4145639213475656,65,dynamic_range
38,-3.6596047062385124,-3.247284344130273,65,dynamic_range
39,-0.31920966358454617,-2.225429364380934,65,dynamic_range
38,1.4265909490214823,1.499289107918136,65,dynamic_range
39,2.0215022502403683,2.326784447320038,65,dynamic_range
38,2.499608821965034,2.419772651542716,65,dynamic_range
39,4.927356028183398,2.6586564850094363,65,dynamic_range
