method,base_method,drift_order,n,pred_mean_ns,target_mean_ns,heldout_run,selector
s02d_binned_timewalk_drift0,s02b_template,0,37,-7.430450596206829,-8.335991681735733,58,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,36,-3.2294085599671445,-3.5490308132635318,58,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,37,1.2140450474721494,1.263780814826872,58,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,36,2.282341010432164,2.8404869824016674,58,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,36,3.148503570594629,2.8236279841904275,58,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,37,4.735506767448132,5.014291150156743,58,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,37,-7.634169249568058,-8.335991681735733,58,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,36,-3.4216276322996966,-3.5490308132635318,58,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,37,1.2782543575164527,1.251510301794405,58,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,36,2.326382035423292,2.9814393977278737,58,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,36,3.203945812643713,2.695286929480923,58,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,37,4.77366942410861,5.014291150156743,58,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,37,-7.690551181291297,-8.335991681735733,58,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,36,-3.481527120922958,-3.5490308132635318,58,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,37,1.520420306327769,1.6838549559156741,58,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,36,2.4526696726224237,2.4827593867025803,58,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,36,3.3908142120198956,2.827418626044973,58,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,37,4.869443627366888,4.938588099295061,58,median_first4
s02d_global_timewalk_drift0,template_phase,0,37,-4.360469198566743,-4.906445441602827,58,median_first4
s02d_global_timewalk_drift0,template_phase,0,36,-3.386069863964352,-4.038920480766592,58,median_first4
s02d_global_timewalk_drift0,template_phase,0,37,1.2712623759391515,1.3930848155330913,58,median_first4
s02d_global_timewalk_drift0,template_phase,0,36,2.395743427204596,2.4953951608172735,58,median_first4
s02d_global_timewalk_drift0,template_phase,0,36,2.588823764325782,2.9311052159229445,58,median_first4
s02d_global_timewalk_drift0,template_phase,0,37,3.0008488518763747,2.163282889446754,58,median_first4
s02d_global_timewalk_drift1,template_phase,1,37,-4.408736070072667,-4.906445441602827,58,median_first4
s02d_global_timewalk_drift1,template_phase,1,36,-3.432181977844268,-4.038920480766592,58,median_first4
s02d_global_timewalk_drift1,template_phase,1,37,1.3337917194329023,1.3930848155330913,58,median_first4
s02d_global_timewalk_drift1,template_phase,1,36,2.464146854672944,2.4953951608172735,58,median_first4
s02d_global_timewalk_drift1,template_phase,1,36,2.6593504352106248,2.9311052159229445,58,median_first4
s02d_global_timewalk_drift1,template_phase,1,37,3.0756469300436837,2.163282889446754,58,median_first4
s02d_global_timewalk_drift2,template_phase,2,37,-5.133630036000544,-4.946985982143368,58,median_first4
s02d_global_timewalk_drift2,template_phase,2,36,-4.156376438508328,-4.155882378539762,58,median_first4
s02d_global_timewalk_drift2,template_phase,2,37,1.6244459528817319,1.547426121474554,58,median_first4
s02d_global_timewalk_drift2,template_phase,2,36,2.6519218281026125,2.14940772969936,58,median_first4
s02d_global_timewalk_drift2,template_phase,2,36,2.847663132670991,3.3278335217034427,58,median_first4
s02d_global_timewalk_drift2,template_phase,2,37,3.2808123147524144,2.11391338977505,58,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,382,-9.163553440419982,-9.451356339055252,59,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,381,-4.051924340917333,-4.050278242940455,59,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,382,1.3578444061146928,1.4365863363339135,59,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,381,2.6247054557541665,2.9875644324428867,59,median_first4
