method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals,heldout_run,selector
s02d_binned_timewalk_drift2,s02b_template,2,4.837120007759284,3,10251,61,dynamic_range
s02d_global_timewalk_drift0,template_phase,0,1.844635394593424,3,10251,61,dynamic_range
s02d_global_timewalk_drift1,template_phase,1,1.8662660549147463,3,10251,61,dynamic_range
s02d_global_timewalk_drift2,template_phase,2,1.877936618155173,3,10251,61,dynamic_range
s02d_binned_timewalk_drift0,s02b_template,0,4.651040673767228,3,10653,62,dynamic_range
s02d_binned_timewalk_drift1,s02b_template,1,4.722677187598773,3,10653,62,dynamic_range
s02d_binned_timewalk_drift2,s02b_template,2,4.841152085997315,3,10653,62,dynamic_range
s02d_global_timewalk_drift0,template_phase,0,1.9600519622153527,3,10653,62,dynamic_range
s02d_global_timewalk_drift1,template_phase,1,2.0025758029218395,3,10653,62,dynamic_range
s02d_global_timewalk_drift2,template_phase,2,2.173396390441173,3,10653,62,dynamic_range
s02d_binned_timewalk_drift0,s02b_template,0,4.631334118154263,3,12153,63,dynamic_range
s02d_binned_timewalk_drift1,s02b_template,1,4.709841418929748,3,12153,63,dynamic_range
s02d_binned_timewalk_drift2,s02b_template,2,4.872407945385651,3,12153,63,dynamic_range
s02d_global_timewalk_drift0,template_phase,0,1.9013435183657863,3,12153,63,dynamic_range
s02d_global_timewalk_drift1,template_phase,1,1.9371232569622332,3,12153,63,dynamic_range
s02d_global_timewalk_drift2,template_phase,2,2.1397671200241315,3,12153,63,dynamic_range
s02d_binned_timewalk_drift0,s02b_template,0,4.641638933902226,3,13206,65,dynamic_range
s02d_binned_timewalk_drift1,s02b_template,1,4.749260422942071,3,13206,65,dynamic_range
s02d_binned_timewalk_drift2,s02b_template,2,5.007316609847653,3,13206,65,dynamic_range
s02d_global_timewalk_drift0,template_phase,0,1.9368291982258439,3,13206,65,dynamic_range
s02d_global_timewalk_drift1,template_phase,1,1.9454072778647664,3,13206,65,dynamic_range
s02d_global_timewalk_drift2,template_phase,2,2.1447681925005124,3,13206,65,dynamic_range
