alpha,fold,sigma68_ns,n_pair_residuals,heldout_run,selector
10.0,0,2.2537146140158093,2799,63,median_first4
10.0,1,1.8336058707591802,2841,63,median_first4
10.0,2,1.9052723522610704,4710,63,median_first4
10.0,-1,1.9975309456786867,0,63,median_first4
100.0,0,2.2202640099880373,2799,63,median_first4
100.0,1,1.789498761249646,2841,63,median_first4
100.0,2,1.8565252521513063,4710,63,median_first4
100.0,-1,1.9554293411296635,0,63,median_first4
0.01,0,2.3322694648578532,3018,65,median_first4
0.01,1,1.849840406472277,3534,65,median_first4
0.01,2,1.9421578555212688,4710,65,median_first4
0.01,-1,2.041422575617133,0,65,median_first4
0.1,0,2.3306875105329934,3018,65,median_first4
0.1,1,1.8489444770101298,3534,65,median_first4
0.1,2,1.9418921699952267,4710,65,median_first4
0.1,-1,2.0405080525127834,0,65,median_first4
1.0,0,2.3283899110813753,3018,65,median_first4
1.0,1,1.844800187281031,3534,65,median_first4
1.0,2,1.942528178285319,4710,65,median_first4
1.0,-1,2.0385727588825753,0,65,median_first4
10.0,0,2.3043583523022337,3018,65,median_first4
10.0,1,1.839820539816819,3534,65,median_first4
10.0,2,1.9369122934048923,4710,65,median_first4
10.0,-1,2.0270303951746484,0,65,median_first4
100.0,0,2.232618930319321,3018,65,median_first4
100.0,1,1.817061638077665,3534,65,median_first4
100.0,2,1.8791014950428426,4710,65,median_first4
100.0,-1,1.9762606878132762,0,65,median_first4
0.01,0,2.4540123029047707,3495,58,dynamic_range
0.01,1,2.411353586504702,4188,58,dynamic_range
0.01,2,2.2169964649557836,5523,58,dynamic_range
0.01,-1,2.3607874514550855,0,58,dynamic_range
0.1,0,2.436990160027422,3495,58,dynamic_range
0.1,1,2.355319718336271,4188,58,dynamic_range
0.1,2,2.2187136482048566,5523,58,dynamic_range
0.1,-1,2.3370078421895166,0,58,dynamic_range
1.0,0,2.359540341896045,3495,58,dynamic_range
1.0,1,2.2813794176921087,4188,58,dynamic_range
1.0,2,2.231760868161573,5523,58,dynamic_range
1.0,-1,2.2908935425832424,0,58,dynamic_range
10.0,0,2.336213865197429,3495,58,dynamic_range
10.0,1,2.234603010526182,4188,58,dynamic_range
10.0,2,2.2389622411885863,5523,58,dynamic_range
10.0,-1,2.269926372304066,0,58,dynamic_range
100.0,0,2.3127649146083042,3495,58,dynamic_range
100.0,1,2.2270203033045517,4188,58,dynamic_range
100.0,2,2.2149734891577366,5523,58,dynamic_range
100.0,-1,2.2515862356901977,0,58,dynamic_range
0.01,0,2.446927789098308,3225,59,dynamic_range
0.01,1,2.3635498065344303,3405,59,dynamic_range
0.01,2,2.2957617039909888,4146,59,dynamic_range
0.01,-1,2.368746433207909,0,59,dynamic_range
0.1,0,2.429215337060051,3225,59,dynamic_range
0.1,1,2.356746931161351,3405,59,dynamic_range
0.1,2,2.283517906301446,4146,59,dynamic_range
0.1,-1,2.356493391507616,0,59,dynamic_range
1.0,0,2.411370636124547,3225,59,dynamic_range
1.0,1,2.3125810639159523,3405,59,dynamic_range
1.0,2,2.27159252209878,4146,59,dynamic_range
1.0,-1,2.3318480740464267,0,59,dynamic_range
10.0,0,2.383492239005886,3225,59,dynamic_range
10.0,1,2.344583014862408,3405,59,dynamic_range
10.0,2,2.28444862103274,4146,59,dynamic_range
10.0,-1,2.337507958300345,0,59,dynamic_range
100.0,0,2.3258419334892055,3225,59,dynamic_range
100.0,1,2.311994712003134,3405,59,dynamic_range
100.0,2,2.2563466511880925,4146,59,dynamic_range
100.0,-1,2.2980610988934775,0,59,dynamic_range
0.01,0,2.4088012530118124,3225,60,dynamic_range
0.01,1,2.4580246965354347,3363,60,dynamic_range
0.01,2,2.2140576128521587,4023,60,dynamic_range
0.01,-1,2.3602945207998016,0,60,dynamic_range
0.1,0,2.354942328808082,3225,60,dynamic_range
0.1,1,2.4042873256892077,3363,60,dynamic_range
0.1,2,2.179825776708354,4023,60,dynamic_range
0.1,-1,2.313018477068548,0,60,dynamic_range
1.0,0,2.281232350046408,3225,60,dynamic_range
1.0,1,2.3092252926758836,3363,60,dynamic_range
1.0,2,2.171807110411591,4023,60,dynamic_range
1.0,-1,2.2540882510446276,0,60,dynamic_range
10.0,0,2.2492713939018176,3225,60,dynamic_range
10.0,1,2.232762786241475,3363,60,dynamic_range
10.0,2,2.1691206086175545,4023,60,dynamic_range
10.0,-1,2.2170515962536155,0,60,dynamic_range
100.0,0,2.2348529468551863,3225,60,dynamic_range
100.0,1,2.199965700562846,3363,60,dynamic_range
100.0,2,2.1687542921492295,4023,60,dynamic_range
100.0,-1,2.201190979855754,0,60,dynamic_range
0.01,0,2.436036382317082,3135,61,dynamic_range
0.01,1,2.4439326707607885,3093,61,dynamic_range
0.01,2,2.394352185574423,4023,61,dynamic_range
0.01,-1,2.424773746217431,0,61,dynamic_range
0.1,0,2.349773862288572,3135,61,dynamic_range
0.1,1,2.4068225411163877,3093,61,dynamic_range
0.1,2,2.387832219628357,4023,61,dynamic_range
0.1,-1,2.381476207677772,0,61,dynamic_range
1.0,0,2.2821309759573056,3135,61,dynamic_range
1.0,1,2.3189693752897744,3093,61,dynamic_range
1.0,2,2.3518281144331707,4023,61,dynamic_range
1.0,-1,2.317642821893417,0,61,dynamic_range
10.0,0,2.2448498718551946,3135,61,dynamic_range
10.0,1,2.300582023228375,3093,61,dynamic_range
10.0,2,2.304243050366856,4023,61,dynamic_range
10.0,-1,2.2832249818168084,0,61,dynamic_range
100.0,0,2.218563010517385,3135,61,dynamic_range
100.0,1,2.2583758163923324,3093,61,dynamic_range
100.0,2,2.2760680331571725,4023,61,dynamic_range
100.0,-1,2.2510022866889634,0,61,dynamic_range
0.01,0,2.4668747058291043,3225,62,dynamic_range
0.01,1,2.481911427892315,3405,62,dynamic_range
0.01,2,2.2474242575961196,4023,62,dynamic_range
0.01,-1,2.398736797105846,0,62,dynamic_range
0.1,0,2.4234099979806287,3225,62,dynamic_range
0.1,1,2.411412463213355,3405,62,dynamic_range
0.1,2,2.2325503988385376,4023,62,dynamic_range
0.1,-1,2.3557909533441737,0,62,dynamic_range
1.0,0,2.325278320207861,3225,62,dynamic_range
1.0,1,2.2714008692352397,3405,62,dynamic_range
1.0,2,2.2523572946101202,4023,62,dynamic_range
1.0,-1,2.2830121613510737,0,62,dynamic_range
10.0,0,2.292404247909861,3225,62,dynamic_range
10.0,1,2.2461031479635065,3405,62,dynamic_range
10.0,2,2.2397573585627626,4023,62,dynamic_range
10.0,-1,2.2594215848120434,0,62,dynamic_range
100.0,0,2.2715202711297144,3225,62,dynamic_range
100.0,1,2.26063142652073,3405,62,dynamic_range
100.0,2,2.2366662159810335,4023,62,dynamic_range
100.0,-1,2.2562726378771596,0,62,dynamic_range
0.01,0,2.47431851112641,3225,63,dynamic_range
0.01,1,2.4522225046076533,3405,63,dynamic_range
0.01,2,2.2348992373265775,5523,63,dynamic_range
0.01,-1,2.3871467510202136,0,63,dynamic_range
0.1,0,2.424011893715611,3225,63,dynamic_range
0.1,1,2.390791889874637,3405,63,dynamic_range
0.1,2,2.2305288265280643,5523,63,dynamic_range
0.1,-1,2.348444203372771,0,63,dynamic_range
1.0,0,2.3466628496255355,3225,63,dynamic_range
1.0,1,2.3054578669036605,3405,63,dynamic_range
1.0,2,2.2384718624003845,5523,63,dynamic_range
1.0,-1,2.296864192976527,0,63,dynamic_range
10.0,0,2.2892047113164122,3225,63,dynamic_range
10.0,1,2.2822078884637347,3405,63,dynamic_range
10.0,2,2.2368175435990776,5523,63,dynamic_range
10.0,-1,2.269410047793075,0,63,dynamic_range
100.0,0,2.287782690158627,3225,63,dynamic_range
100.0,1,2.265267678592839,3405,63,dynamic_range
